variant,catch_center,live_window_end,reset_complete,points,type_i,uncertified,max_abs_rho_plus_p_l,max_abs_j_l,min_angular_null,min_angular_null_s,min_angular_null_l,angular_violating_fraction,angular_deficit_integral,live_min_angular_null,min_p_omega,p_omega_negative_fraction,p_omega_deficit_integral,velocity_reading_l_at_live_end,velocity_reading_reaches_l_1p75,velocity_reading_reaches_l_3,velocity_reading_reaches_l_5,window_reading_reaches_l_5,centerline_probes_escaped,centerline_probes,centerline_probes_at_ledger_time_limit,max_live_packet_norm
current,0.0,1.645,2.6,21384,21384,0,0.0,0.0,-0.270272509079425,1.6,2.1,0.020622895622895623,0.37274240851141954,-0.06522145253185822,-0.28326474933182466,0.06018518518518518,0.4399442609380674,0.853,3.636,6.136,10.136,5.0,24,24,0,-9.93512860272053
after_live_window_quarter_rate,0.0,1.645,14.045,21384,21384,0,0.0,0.0,-0.05208646859458159,-0.6,-0.5,0.00968013468013468,0.006289684583818936,-0.05208646859458159,-0.0650787088469812,0.2189487467265245,0.13521990522976024,0.757,10.372,13.128,17.128,5.0,3,24,21,-11.922196787947192
trailing_front,0.0,1.645,8.875,21384,21384,0,0.0,0.0,-0.18322791846259925,2.4,-1.4,0.02193228582117471,0.24712332146945212,-0.05208646859458159,-0.19622015871499887,0.07248410026187804,0.32363119884266517,0.757,5.706,8.206,12.206,5.0,24,24,0,-11.922196787947192
trailing_front_half_rate,0.0,1.645,11.875,21384,21384,0,0.0,0.0,-0.05208646859458159,-0.6,-0.5,0.026795735129068462,0.07273208821750901,-0.05208646859458159,-0.0650787088469812,0.11728395061728394,0.17781501521529933,0.757,7.66,10.196,14.196,5.0,3,24,21,-11.922196787947192
trailing_front_quarter_rate,0.0,1.645,17.875,21384,21384,0,0.0,0.0,-0.05208646859458159,-0.6,-0.5,0.009259259259259259,0.01022662686331948,-0.05208646859458159,-0.0650787088469812,0.21099887766554434,0.12350672840495176,0.757,10.52,13.418,17.42,5.0,3,24,21,-11.922196787947192
extended_carry_0p4,0.4,2.045,14.445,21384,21384,0,0.0,0.0,-0.24689383113533211,1.9,2.4,0.010521885521885523,0.0211321805779218,-0.08072456837281028,-0.25988607138773173,0.22423307145529367,0.15243405069085544,1.172,8.086,11.526,15.526,5.0,6,24,18,-8.484848064228956
extended_carry_0p8,0.8,2.445,14.844999999999999,21384,21384,0,0.0,0.0,-0.5978284907742584,2.3,2.8,0.01122334455667789,0.057483510502929866,-0.08218132239427714,-0.610820731026658,0.23180882903105127,0.19086382551072872,1.623,3.688,8.368,12.372,5.0,19,24,5,-5.880803277281639
extended_carry_1p2,1.2,2.8449999999999998,15.245,21384,21384,0,0.0,0.0,-0.707420315223202,2.6,3.1,0.012345679012345678,0.10989354910059432,-0.11338441173008248,-0.7204125554756017,0.24111485222596335,0.24767480538571118,2.26,1.408,4.662,8.668,5.0,24,24,0,-4.094823590966669
extended_carry_2p2,2.2,3.845,16.245,21384,21384,0,0.0,0.0,-0.8078683042878988,3.7,4.2,0.017209128320239433,0.34479699399372543,-0.18252463174023234,-0.8208605445402984,0.2608492330714553,0.4990002362420073,,1.29,1.758,2.294,5.0,24,24,0,6.816125913732176
