backbone_fraction,label,coordinate,proper,radius,demanded_rho,demanded_pr,demanded_pt,backbone_rho,backbone_pr,backbone_pt,matter_rho,matter_pr,matter_pt,quantum_rho,quantum_pr,quantum_pt,host_rho,host_pr,host_pt,radial_weight,radial_null_only_lower_bound,radial_ideal_em_gap,angular_weight,angular_null_only_lower_bound,angular_ideal_em_gap,backbone_radial_divergence
0.0,throat,-1.599758090333156e-06,-0.00021118374296260736,2.0395751057921525,0.009563542625752259,-0.009564906638261055,3.264183276220582e-05,0.0,-0.0,0.0,5.850001052663276e-05,-5.8498125674692564e-05,-5.850001052663276e-05,-3.4147434018437506e-07,-1.0244230205531252e-06,3.4147434018437506e-07,0.00950538408956581,-0.00950538408956581,9.08003689486542e-05,3.4147434018437506e-07,3.4147434018437506e-07,0.9920468787442515,0.0,0.0,,-0.0
0.0,coordinate,-7.000000000000035,-177.10805123327017,7.210505038851204,6.197665809862589e-05,-5.571449062614403e-05,-4.636664327456982e-05,0.0,-0.0,0.0,6.623634810344777e-05,-5.646199636261835e-05,-5.0762073410567324e-05,-1.1158718011467479e-05,-6.151522270171286e-06,-2.5035978706480964e-06,6.899028006645603e-06,6.899028006645603e-06,6.899028006645603e-06,4.327560070409691e-06,8.780460670868897e-07,0.525788323725562,3.415578970528894e-06,0.0,0.5578348348058246,-0.0
0.0,coordinate,-4.0000000000000115,-174.10796864226637,4.367011987004031,-0.001068006430906987,-0.0004051171770277366,0.000844031470551751,0.0,-0.0,0.0,5.9349884025701834e-05,-5.795493284237865e-05,-5.8205888879434605e-05,-0.00241969070973754,-0.0016394966389902089,-0.0003900970353736654,0.0012923343948048512,0.001292334394804851,0.001292334394804851,0.0010147968371819372,0.0003686296397795117,0.13436214777908204,0.0007024469362778013,5.627973887537582e-05,0.14730528646499816,-0.0
0.0,coordinate,-3.0000000000000093,-173.1045971021554,3.534872998813947,-0.00607103644893372,-0.0035122283921106994,0.023050738715987337,0.0,-0.0,0.0,5.9398661087040114e-05,-5.769738503277901e-05,-5.889623321417056e-05,-0.030578022110693683,-0.027902118007750845,-0.0013379520514714173,0.024447587000672923,0.024447587000672923,0.024447587000672923,0.014620035029611133,0.00239624152927467,0.06896593212179172,0.007978993540541275,0.0,0.08023884808595504,-0.0
0.0,coordinate,-2.5000000000010143,-172.54307198549498,3.1976826085196306,-0.0094589283473473,-0.009964917987512837,0.05475896426925877,0.0,-0.0,0.0,5.929245220787715e-05,-5.7746454393621036e-05,-5.9051327713362544e-05,-0.06414176102974528,-0.06453071176330932,0.00019447536678202093,0.0546235402301901,0.05462354023019011,0.05462354023019011,0.03216811819826365,0.004856348083168599,0.05662592373587128,0.015986821415740815,0.0,0.06744211521183002,-0.0
0.0,coordinate,-1.9999999999988636,-171.15538376025344,2.8807354843664044,0.002617860932001727,-0.0064750042139808395,0.0031017887554190254,0.0,-0.0,0.0,5.863034768213705e-05,-5.837177420596643e-05,-5.8615770370240846e-05,-0.0009643504638638207,-0.002893051391591462,0.0009643504638638207,0.003523581048183411,-0.003523581048183411,0.0021960540619254455,0.0009643504638638207,0.0009643504638638207,0.13608585625747296,0.0,0.0,,-0.0
0.0,coordinate,-0.9999999999992134,-123.94263333328803,2.3130599395013007,0.007434246375348146,-0.007437803891949079,-2.438522041996122e-05,0.0,-0.0,0.0,5.8499758662214373e-05,-5.8498377539110944e-05,-5.8499758662214373e-05,-8.897244310091153e-07,-2.669173293027346e-06,8.897244310091153e-07,0.007376636341116941,-0.007376636341116941,3.322481381124404e-05,8.897244310091153e-07,8.897244310091153e-07,0.7808324160545022,0.0,0.0,,-0.0
0.0,coordinate,0.5000000000465697,35.74976646293122,2.1145354733919226,0.007765974673844488,-0.00961034994400203,0.018890932245783122,0.0,-0.0,0.0,5.853018627849569e-05,-5.846795008579605e-05,-5.853018543690322e-05,-0.005621008971827017,-0.01686302691548105,0.005621008971827017,0.01332845345939301,0.007311144921564814,0.013328453459393009,0.005621008971827017,0.0004611093765875603,0.08758266260167141,0.0,0.0,,0.0
0.0,coordinate,1.0000000000197873,38.64373977080269,2.311896165650238,0.008607933410291145,-0.0061905970240927555,0.014909106328390744,0.0,-0.0,0.0,5.851415902550098e-05,-5.848397872335249e-05,-5.8514156288129854e-05,-0.003209100616706614,-0.009627301850119842,0.003209100616706614,0.011758519867972259,0.003495188804750439,0.011758519867972259,0.003209100616706614,0.0,0.10075715128878629,0.0,0.0,,0.0
0.0,coordinate,1.9999999999779305,67.56666858423638,2.8807355400324797,0.0026178180089279626,-0.006474944003046699,0.003100753249203066,0.0,-0.0,0.0,7.295874270676134e-05,-4.859309815122334e-05,-5.865869264924223e-05,-0.0009703729096685685,-0.0029111187290057055,0.0009703729096685685,0.00351523217588977,-0.00351523217588977,0.00218903903218374,0.0009703729096685685,0.0009703729096685685,0.1358742149226378,0.0,0.0,,0.0
