level,points,type_i,type_iv,other_type,uncertified,min_delta,min_delta_s,min_delta_l,min_nec_type_i,min_wec_type_i,min_dec_type_i,max_abs_p_omega,max_abs_j_l,max_imaginary_eigenvalue,max_eigen_equation_error
0,441,52,389,0,0,-0.0020798641504859326,1.8589893617021285,-1.7999999999999998,-0.05232595091057492,-0.05232595091057492,-0.05232595091057492,0.12856391297782627,0.023009805406734547,0.022802763815412446,1.2723933587929954e-16
1,1681,198,1483,0,0,-0.0020915114517561294,1.8689893617021285,-1.7999999999999998,-0.05480816148186939,-0.05480816148186939,-0.05480816148186939,0.12856146818874625,0.023041833300451876,0.02286652275574562,1.665695898455916e-16
2,6561,762,5799,0,0,-0.0020939202593818155,1.863989361702128,-1.805,-0.05510754740921404,-0.05510754740921404,-0.05510754740921404,0.1285608572561984,0.023062362897862412,0.02287968672961791,1.6653345369377348e-16
