study,width_factor,s,level,holding,points,type_i,type_iv,other_type,uncertified,min_delta,min_delta_s,min_delta_l,min_nec_type_i,min_wec_type_i,min_dec_type_i,max_abs_p_omega,max_abs_j_l,max_imaginary_eigenvalue,max_eigen_equation_error,l_min,l_max,source_frame_norm_proper_integral,source_frame_norm_volume_integral,type_iv_proper_length,imaginary_eigenvalue_proper_integral,max_projection_relative_error,max_transverse_to_density,variant
phase_profile,1.0,-1.5,0,False,81,79,2,0,0,-1.5635177671262988e-05,-1.5,-1.2999999999999998,-0.0647180622457297,-0.0647180622457297,-0.2364489218347488,0.2272463482917365,0.0056184359601255,0.001977067125268,2.2204460492503104e-16,-4.0,4.0,16.45606197794178,1005.8914928395686,3.1540117145202453,0.002775996927172,0.0005350021877688,373.8992411809031,baseline
phase_profile,1.0,-1.5,0,True,81,81,0,0,0,3.629502637904954e-15,-1.5,0.0,-0.0231910091735986,-0.0231910091735986,-0.0906133603228124,0.0782546037602344,0.0,0.0,1.1102230246251563e-16,-4.0,4.0,16.10784329901227,968.5347356690364,0.0,0.0,1.0847479283142334e-08,38.39885645698447,baseline
phase_profile,1.0,-1.5,1,False,161,156,5,0,0,-1.5796331319951478e-05,-1.5,-1.2999999999999998,-0.0647245163100877,-0.0647245163100877,-0.2407826818297703,0.2332400287640548,0.0056681277094544,0.0019872299388817,2.2204460492496154e-16,-4.0,4.0,16.45659006639849,1005.9801762859884,4.5006485208981815,0.0030162533716699,0.0001750066361083,390.8810604679968,baseline
phase_profile,1.0,-1.5,1,True,161,161,0,0,0,3.62950717401628e-15,-1.5,0.0,-0.0232628643451312,-0.0232628643451312,-0.091430606484254,0.0791379998813968,0.0,0.0,1.1102230246251563e-16,-4.0,4.0,16.10659707381139,968.4126361649292,0.0,0.0,1.0847523752962877e-08,38.27374931590142,baseline
phase_profile,1.0,-1.5,2,False,321,311,10,0,0,-1.71849714032221e-05,-1.5,-1.3249999999999995,-0.0647261271995599,-0.0647261271995599,-0.2424449633353703,0.2340816012045098,0.0057350670340068,0.0020727380082406,2.220446049250136e-16,-4.0,4.0,16.45603251018942,1005.9084905204132,4.061298797701685,0.0029658137402773,7.353942488772495e-05,395.36960827842233,baseline
phase_profile,1.0,-1.5,2,True,321,321,0,0,0,3.629505058752513e-15,-1.5,0.0,-0.0233375801537482,-0.0233375801537482,-0.0915308949589789,0.079144492481629,0.0,0.0,1.1102230246251563e-16,-4.0,4.0,16.107177791184384,968.4717440060142,0.0,0.0,1.0847534839219896e-08,38.24259746821504,baseline
phase_profile,1.0,-0.6662234042553191,0,False,81,67,14,0,0,-7.872318324924285e-06,-0.6662234042553191,-0.8999999999999999,-0.0531490042179527,-0.0531490042179527,-0.0906152997749743,0.0782562250411504,0.0033099544147176,0.0014028825970946,2.220446045348321e-16,-4.0,4.0,11.468268423154992,728.6281907905416,107.45654015566323,0.0043989928879554,0.0008119155048347,63.261041376543645,baseline
phase_profile,1.0,-0.6662234042553191,0,True,81,81,0,0,0,3.108389447711332e-15,-0.6662234042553191,0.1000000000000005,-0.0231918449115632,-0.0231918449115632,-0.0906136680198882,0.0782545933408076,0.0,0.0,1.1102230246251563e-16,-4.0,4.0,11.180811515264413,701.2291020149157,0.0,0.0,1.084839377780632e-08,41.11230424362271,baseline
phase_profile,1.0,-0.6662234042553191,1,False,161,136,25,0,0,-1.1521524419166657e-05,-0.6662234042553191,-0.8499999999999996,-0.053137656006934,-0.053137656006934,-0.0914326820303843,0.0791396593386309,0.0033157834905828,0.0016971685552094,2.482534153247273e-16,-4.0,4.0,11.46769396617934,728.5374732626299,90.6102584761552,0.0040079843279471,0.0003005333578976,63.671336325222256,baseline
phase_profile,1.0,-0.6662234042553191,1,True,161,161,0,0,0,3.1072249309607986e-15,-0.6662234042553191,0.1000000000000005,-0.0232635879174038,-0.0232635879174038,-0.0914310468501778,0.0791380243370568,0.0,0.0,1.1102230246251563e-16,-4.0,4.0,11.182342401997625,701.2890000898942,0.0,0.0,1.0848437961530933e-08,40.98671039201641,baseline
