stress_algebraic_type,classification_radial_scale,radial_discriminant_normalized,radial_type_margin_normalized,radial_block_discriminant,rho_plus_p_l,radial_flux_ratio,boost_velocity_to_flux_frame,rest_frame_energy_density,rest_frame_radial_pressure,rest_frame_angular_pressure,type_i_heat_flux_compatible,minimal_type_i_regulator,nec_margin,wec_margin,dec_margin,classification_resolved,exact_vacuum,eigenbasis_rank,eigen_equation_relative_error,spherical_block_relative_error,jordan_chain_error,full_eigensystem_certified,s,l,holding,h_s,h_l,h_theta,rho,p_l,j_l,p_omega,alpha,beta,gamma_ll,gamma_omega,source_frame_frobenius,imaginary_eigenvalue_scale,raw_imaginary_eigenvalue_scale,legacy_j_l,spherical_projection_absolute_error,spherical_projection_relative_error,level,shoulder_off
type_i_boost_diagonalizable,0.009552771114098382,7.660642767165175e-09,7.336433074081893e-05,6.99075295438809e-13,-8.491625610798637e-07,0.17467786307630417,-0.08801552285698348,0.009551928479204223,-0.009552764586431459,0.00015162107422517413,True,0.0,-8.361072272363573e-07,-8.361072272363573e-07,-8.361072272363573e-07,True,False,4,2.2118287272567225e-16,0.0,,True,0.6502659574468086,0.0,False,0.0025,0.0025,0.0001,0.009551921951537302,-0.009552771114098382,7.416495078691859e-08,0.00015162107422517413,115.4327813484818,-0.021522593981852935,23334.492337065887,4.165067426406126,0.013510759669164126,0.0,0.0,7.561661934131132e-08,1.4516685543927308e-09,1.519630834921081e-07,0,False
type_i_boost_diagonalizable,0.009552771152179096,7.662076234607257e-09,7.336598739381082e-05,6.992061127091139e-13,-8.492525390615263e-07,0.17474666758031043,-0.08805073327331267,0.009551928433182795,-0.009552764618636333,0.00015121683063879074,True,0.0,-8.361854535385294e-07,-8.361854535385294e-07,-8.361854535385294e-07,True,False,4,1.3823886360948914e-17,0.0,,True,0.6502659574468086,0.0,False,0.0025,0.0025,0.0001,0.009551921899640034,-0.009552771152179096,7.420202556759388e-08,0.00015121683063879074,115.42885976885141,-0.021522593981852935,23334.492337065887,4.165067426406126,0.01351075059844851,0.0,0.0,7.561912882279356e-08,1.4171032551996799e-09,1.4834472977785327e-07,0,True
type_i_boost_diagonalizable,0.009552969907618376,1.1672539968575407e-08,0.00010803952965732222,1.0652270570181497e-12,-1.0320983756494095e-06,0.0,0.0,0.009551937809242727,-0.009552969907618376,1.108081221500669e-05,True,0.0,-1.0320983756494095e-06,-1.0320983756494095e-06,-1.0320983756494095e-06,True,False,4,1.1102230246251565e-16,0.0,,True,0.6502659574468086,0.0,True,0.0025,0.0025,0.0001,0.009551937809242727,-0.009552969907618376,-0.0,1.108081221500669e-05,115.4327813484818,0.0,23334.492337065887,4.165067426406126,0.013509218909185744,0.0,0.0,-0.0,4.7764815087992054e-11,4.999996393781185e-09,0,False
type_i_boost_diagonalizable,0.009552969961807866,1.1674991393830847e-08,0.00010805087410026282,1.0654507842977624e-12,-1.032206754627077e-06,0.0,0.0,0.009551937755053239,-0.009552969961807866,1.0666991661998935e-05,True,0.0,-1.032206754627077e-06,-1.032206754627077e-06,-1.032206754627077e-06,True,False,4,1.1102230246251565e-16,0.0,,True,0.6502659574468086,0.0,True,0.0025,0.0025,0.0001,0.009551937755053239,-0.009552969961807866,-0.0,1.0666991661998935e-05,115.42885976885141,0.0,23334.492337065887,4.165067426406126,0.013509218243001225,0.0,0.0,-0.0,4.7764815087992054e-11,4.9999963654185645e-09,0,True
type_i_boost_diagonalizable,0.009552765323876545,7.498779599474016e-09,7.404989621627469e-05,6.84303571950164e-13,-8.373785683399304e-07,0.15524315099982874,-0.07809497592566922,0.009551933021375724,-0.009552760247809024,0.00015217090736650634,True,0.0,-8.272264332993134e-07,-8.272264332993134e-07,-8.272264332993134e-07,True,False,4,2.2136646375436657e-16,0.0,,True,0.6502659574468086,0.0,False,0.00125,0.00125,0.0001,0.009551927945308205,-0.009552765323876545,6.499864376444227e-08,0.00015217090736650634,115.4327813484818,-0.021522593981852935,23334.492337065887,4.165067426406126,0.013510772175710947,0.0,0.0,6.53640314561123e-08,3.6538769167003626e-10,3.824941566990789e-08,1,False
type_i_boost_diagonalizable,0.009552765336198575,7.499375276736439e-09,7.404987912179357e-05,6.843579324384991e-13,-8.37417021944814e-07,0.1552821355584489,-0.07811482785505994,0.00955193299804274,-0.009552760257332467,0.00015136969948682322,True,0.0,-8.272592897269615e-07,-8.272592897269615e-07,-8.272592897269615e-07,True,False,4,2.2136611841190895e-16,0.0,,True,0.6502659574468086,0.0,False,0.00125,0.00125,0.0001,0.00955192791917663,-0.009552765336198575,6.501795176030624e-08,0.00015136969948682322,115.42885976885141,-0.021522593981852935,23334.492337065887,4.165067426406126,0.013510754165549872,0.0,0.0,6.536620070835687e-08,3.482489480506364e-10,3.645530229147432e-08,1,True
type_i_boost_diagonalizable,0.00955296477164687,1.143829349955037e-08,0.00010694995792215334,1.043848781262584e-12,-1.02168918035897e-06,0.0,0.0,0.009551943082466511,-0.00955296477164687,1.1501910647477524e-05,True,0.0,-1.02168918035897e-06,-1.02168918035897e-06,-1.02168918035897e-06,True,False,4,1.1102230246251565e-16,0.0,,True,0.6502659574468086,0.0,True,0.00125,0.00125,0.0001,0.009551943082466511,-0.00955296477164687,-0.0,1.1501910647477524e-05,115.4327813484818,0.0,23334.492337065887,4.165067426406126,0.0135092197097724,0.0,0.0,-0.0,4.7764815087992054e-11,4.999999081935032e-09,1,False
type_i_boost_diagonalizable,0.009552964798386954,1.14394909383794e-08,0.00010695555590234385,1.0439580643411615e-12,-1.0217426605271807e-06,0.0,0.0,0.009551943055726427,-0.009552964798386954,1.0691115584514148e-05,True,0.0,-1.0217426605271807e-06,-1.0217426605271807e-06,-1.0217426605271807e-06,True,False,4,1.1102230246251565e-16,0.0,,True,0.6502659574468086,0.0,True,0.00125,0.00125,0.0001,0.009551943055726427,-0.009552964798386954,-0.0,1.0691115584514148e-05,115.42885976885141,0.0,23334.492337065887,4.165067426406126,0.01350921837779542,0.0,0.0,-0.0,4.7764815087992054e-11,4.999999067939335e-09,1,True
type_i_boost_diagonalizable,0.009552763884902223,7.457940074970104e-09,7.422262297671559e-05,6.805765428201594e-13,-8.344497303830467e-07,0.15030089123573812,-0.07557972714428346,0.009551934174721288,-0.009552759145352776,0.00015300371209055126,True,0.0,-8.24970631488342e-07,-8.24970631488342e-07,-8.24970631488342e-07,True,False,4,1.3838094030959067e-17,0.0,,True,0.6502659574468086,0.0,False,0.000625,0.000625,0.0001,0.00955192943517184,-0.009552763884902223,6.270926908396387e-08,0.00015300371209055126,115.4327813484818,-0.021522593981852935,23334.492337065887,4.165067426406126,0.01351079102254514,0.0,0.0,6.280479087992901e-08,9.552179596515799e-11,9.999388356717004e-09,2,False
type_i_boost_diagonalizable,0.00955276388480314,7.458130473148228e-09,7.422182039085974e-05,6.805939176473874e-13,-8.344633392644296e-07,0.1503239364368551,-0.075591448750009,0.00955193416255251,-0.009552759143714505,0.0001514081698351871,True,0.0,-8.24981161995364e-07,-8.24981161995364e-07,-8.24981161995364e-07,True,False,4,0.0,0.0,,True,0.6502659574468086,0.0,False,0.000625,0.000625,0.0001,0.009551929421463875,-0.00955276388480314,6.271990698525303e-08,0.0001514081698351871,115.42885976885141,-0.021522593981852935,23334.492337065887,4.165067426406126,0.013510755063543992,0.0,0.0,6.280689354501899e-08,8.698655976596652e-11,9.105904931278338e-09,2,True
