geometry_label,sphere_diameter_um,cylinder_diameter_um,seed,wall_thickness_um,scale_window,n_loops,n_points_per_loop,grid_n,grid_extent_um,n_scales,scale_min_um,scale_max_um,elapsed_s,loop_scale_tests_per_s,min,mean,negative_fraction,contrast_abs_min_to_abs_mean,min_x_um,min_section_um,min_radius_from_sphere_um,source_role_area_fraction,source_role_mag_fraction,source_role_enrichment,near_shell_area_fraction,near_shell_mag_fraction,near_shell_enrichment,mid_gap_mag_fraction,wall_band_mag_fraction,boundary_mag_fraction,far_mag_fraction,readout_mag_fraction,central_axis_mag_fraction,top_decile_near_shell_fraction,top_decile_source_role_fraction,top_decile_boundary_fraction,top_decile_far_fraction,top_decile_count,peak_radial_bin_mid_um
baseline,1.0,4.0,1,0.2,broad_0p25_5p00,96,192,37,2.5,20,0.25,5.0,85.29253290989436,30817.234643234322,-0.5212540203799224,-0.06289699538446576,1.0,8.287423225762883,0.13888888888888884,-1.1111111111111112,1.1197580205970208,0.7567567567567568,0.9279684192381428,4.14089986880438,0.15777940102264426,0.5068877313877044,5.487082980397819,0.3130611632190412,0.045750397898912706,0.021534099084310438,0.015136137225360046,0.023427995414713,0.0736239812633858,0.7007299270072993,1.0,0.0,0.0,137,1.125
baseline,1.0,4.0,7,0.2,broad_0p25_5p00,96,192,37,2.5,20,0.25,5.0,100.4739632899873,26160.807376670295,-0.5039992793569575,-0.06352208380251788,1.0,7.9342371847218915,0.0,1.1111111111111112,1.1111111111111112,0.7567567567567568,0.933115706583041,4.484312134012906,0.15777940102264426,0.5046484850749998,5.438148146278661,0.3140463501247206,0.04420635196231471,0.02073191238587294,0.014297140095401253,0.02189719247125976,0.06784425176346964,0.6934306569343066,1.0,0.0,0.0,137,1.125
baseline,1.0,4.0,17,0.2,broad_0p25_5p00,96,192,37,2.5,20,0.25,5.0,105.28652724507265,24965.01754570893,-0.4564225910522071,-0.05745351858858312,1.0,7.9442060689196,0.13888888888888884,-1.1111111111111112,1.1197580205970208,0.7567567567567568,0.9301745594441295,4.281887481713723,0.15777940102264426,0.5022693718083958,5.3866391824932816,0.31239663955906616,0.04165832794335,0.01960377046509331,0.013052778915464107,0.024032570469650516,0.07440467263797741,0.7299270072992701,1.0,0.0,0.0,137,1.125
baseline,1.0,4.0,1,0.2,mid_0p75_1p50,96,192,37,2.5,8,0.75,1.5,36.63841645489447,28696.436738590164,-0.6323198096056859,-0.027922131406959955,0.3725346968590212,22.645828872794144,0.0,1.1111111111111112,1.1111111111111112,0.7567567567567568,0.9941956419630372,55.05568107302876,0.15777940102264426,0.6325578308178591,9.189392388885446,0.35494857392350265,0.0023415801760829956,0.00048445587326101435,0.0,0.0009150833161596936,0.0043601028593491286,0.7450980392156863,1.0,0.0,0.0,51,1.125
baseline,1.0,4.0,7,0.2,mid_0p75_1p50,96,192,37,2.5,8,0.75,1.5,29.77545933192596,35310.6895272199,-0.7211255947045806,-0.03333503872210064,0.38276113951789625,21.632661078221126,0.0,1.1111111111111112,1.1111111111111112,0.7567567567567568,0.9930836640358939,46.15239414289448,0.15777940102264426,0.6476580002999276,9.811985006642848,0.33579051206315974,0.0024566401911932144,0.0002254391420597089,0.0,0.001037020053474661,0.0032914114740717503,0.7735849056603774,1.0,0.0,0.0,53,1.125
baseline,1.0,4.0,17,0.2,mid_0p75_1p50,96,192,37,2.5,8,0.75,1.5,47.732285768026486,22026.8521207982,-0.4922629039305058,-0.021788486043532604,0.28780131482834187,22.5927998368947,0.0,1.1111111111111112,1.1111111111111112,0.7567567567567568,0.996322020180526,87.07126720321246,0.15777940102264426,0.6596202887209276,10.34441405916937,0.3336140871826118,0.0009681672193756102,0.00013796318872312288,0.0,0.0,0.001103705509784983,0.825,1.0,0.0,0.0,40,1.125
baseline,1.0,4.0,1,0.2,upper_1p50_2p75,96,192,37,2.5,8,1.5,2.75,36.69305821205489,28653.703213393717,-0.37476163625940223,-0.054324667795159674,0.8794740686632578,6.8985536675991135,0.13888888888888884,-0.9722222222222221,0.9820927516479826,0.7567567567567568,0.9389162260720884,4.940665611028235,0.15777940102264426,0.5471126609563536,6.448551039029315,0.3187446688307195,0.03208636877618948,0.014343273865859995,0.005768046420150328,0.0207063496284471,0.06579762739933628,0.7851239669421488,1.0,0.0,0.0,121,1.125
baseline,1.0,4.0,7,0.2,upper_1p50_2p75,96,192,37,2.5,8,1.5,2.75,32.26246808608994,32588.703294318355,-0.35351931639012585,-0.053172376813485314,0.9225712198685172,6.64855207865126,0.0,0.9722222222222223,0.9722222222222223,0.7567567567567568,0.9410129930619273,5.127713334788526,0.15777940102264426,0.5325870852427221,6.082266975987064,0.32217432960308506,0.03223404982577297,0.014079666377653958,0.005728028732928204,0.01938320784360664,0.062476105958071404,0.7637795275590551,1.0,0.0,0.0,127,1.125
baseline,1.0,4.0,17,0.2,upper_1p50_2p75,96,192,37,2.5,8,1.5,2.75,46.89628132991493,22419.517500832666,-0.3800988869808781,-0.0505098228947986,0.8765522279035792,7.525246876682673,0.13888888888888884,-1.1111111111111112,1.1197580205970208,0.7567567567567568,0.9435625929501588,5.373882184870193,0.15777940102264426,0.5427762237296127,6.336764468110666,0.32645230594243846,0.02392559772549071,0.010139477233357983,0.0037318295642288298,0.019521424315387153,0.06202588937524752,0.7666666666666667,1.0,0.0,0.0,120,1.125
baseline,1.0,4.0,1,0.4,broad_0p25_5p00,96,192,37,2.5,20,0.25,5.0,82.72882461198606,31772.239147939934,-0.6286750208943256,-0.07324467747198188,1.0,8.583217819954374,0.13888888888888884,-1.1111111111111112,1.1197580205970208,0.7567567567567568,0.929169758387883,4.216584629045728,0.15777940102264426,0.5500006477809857,6.524194030465286,0.28524587582085376,0.03928698527734158,0.033592985189872596,0.003097737655261148,0.024157644006757094,0.07515145967679816,0.8029197080291971,1.0,0.0,0.0,137,1.125
