variant,speed,alpha_v_radius,extent,outer_radius,cone_base,cone_tip,cone_half_angle,peak_nec_content,nec_content_over_sigma,front_window_over_sigma,peak_negative_energy,peak_positive_energy,peak_stress,max_alpha,pattern_samples,pattern_type_i,pattern_type_iv,pattern_other,pattern_estimated_band_samples,pattern_envelope_violations,pattern_worst_envelope_ratio,pattern_min_null,front_samples,front_type_i,front_type_iv,front_other,front_estimated_band_samples,front_envelope_violations,front_worst_envelope_ratio,front_min_null
reference,2.1,10.15,5.75,10.75,14.0,57.998711305964285,14.999999999999998,246.9667895853094,2313.0459936763723,381.8742092409648,0.009014848622725218,0.0,1.8149336320132203,395.38037120938355,1904,233796,0,0,0,0,0.5040328796924103,-0.8236530386990427,2968,49368,0,0,0,0,0.0,-0.15886818380576356
end_fall_3,2.1,10.175,6.75,10.75,14.0,58.998711305964285,14.999999999999998,244.5833678660581,2243.3784264760425,381.87420924252524,0.009014848622725218,0.0,1.8149336320132203,601.754122276451,2184,275878,0,0,0,0,0.5040328796924103,-0.7223824561775528,2968,49368,0,0,0,0,0.0,-0.15886818380629364
end_fall_4,2.1,10.175,7.75,10.75,14.0,59.998711305964285,14.999999999999998,242.2949195592681,2219.2038605370826,381.87420924412197,0.009014848622725218,0.0,1.8149336320132203,737.8224430171043,2464,319510,0,0,0,0,0.5040328796924103,-0.6928617067336303,2968,49368,0,0,0,0,0.0,-0.15886818381206622
end_fall_6,2.1,10.175,9.75,10.75,14.0,61.998711305964285,14.999999999999998,253.63998959190255,2319.612969959373,381.8742092459138,0.009014848622725218,0.0,1.8149336320132203,911.9775356939123,3024,405164,0,0,0,0,0.5040328796924103,-0.6928617067336303,2968,49368,0,0,0,0,0.0,-0.15886818381206622
radial_fall_3,2.1,10.875,5.75,11.75,14.75,60.79774941164094,14.999999999999998,254.895130480756,2342.565802425564,425.549852424283,0.009014848622725218,0.0,1.8149336320132203,395.38037120938355,1904,249816,0,0,0,0,0.5040328796924103,-0.6928617067336303,3136,51540,0,0,0,0,0.0,-0.15896749710226754
radial_fall_4,2.1,11.575000000000001,5.75,12.75,15.5,63.5967875173176,14.999999999999998,269.23353348134196,2443.847802103758,471.36350527643077,0.009014848622725218,0.0,1.8149336320132203,395.38037120938355,1904,266088,0,0,0,0,0.5040328796924103,-0.6928617067336303,3276,53988,0,0,0,0,0.0,-0.15866883588961483
radial_fall_from_8p25,2.1,9.65,5.75,10.25,13.5,56.132685902179844,14.999999999999998,230.95211380504276,2165.3917509868666,354.1629530150064,0.008231771093038824,0.0,1.8149336320132203,395.38037120938355,1904,250166,46,0,0,0,0.5040328796924103,-0.8236530386990427,2856,52488,0,0,0,0,0.0,-0.15874078341105774
radial_fall_3_from_8p25,2.1,10.375,5.75,11.25,14.25,58.9317240078565,14.999999999999998,238.80714127239528,2196.204705452452,396.29936941602557,0.008231771093038824,0.0,1.8149336320132203,395.38037120938355,1904,266186,46,0,0,0,0.5040328796924103,-0.6928617067336303,3024,54468,0,0,0,0,0.0,-0.15894700308552612
shift_edge_0p75,2.1,10.15,5.5,10.75,14.0,57.748711305964285,14.999999999999998,243.16295779416964,2219.7595805459987,381.87420924221385,0.00881392923500021,0.0,1.8413234494478188,346.16249889890236,1848,221748,0,0,0,0,0.6554421638733235,-0.7289094768024843,2968,49368,0,0,0,0,0.0,-0.15886818380576356
hole_edge_1p5,2.1,10.15,6.25,10.75,14.0,58.498711305964285,14.999999999999998,250.46173593064356,2353.990936882581,381.8742092419943,0.010837492487576619,0.0,1.1569565075939097,395.38037120938355,2044,253306,0,0,0,0,0.5040328796924103,-0.8236530386990427,2968,49368,0,0,0,0,0.0,-0.15886818380576356
hole_radial_edge_2,2.1,10.15,5.75,10.75,14.0,57.998711305964285,14.999999999999998,247.73037731890395,2321.8439790265884,381.8757670326021,0.009014848622725218,0.0,1.7155339171430912,395.38037120938355,1904,228180,0,0,0,0,0.5040328796924103,-0.8236530386990427,2968,47916,0,0,0,0,0.0,-0.15886818380576356
join_0p25,2.1,10.15,5.75,10.75,14.0,57.998711305964285,14.999999999999998,251.1033405751071,2354.7019261399414,382.00417047718577,0.009123646779451359,0.0,2.0370074472065394,395.38037120938355,1904,199464,1068,0,0,0,0.5040328796924103,-0.9730431468736347,2968,43260,0,0,0,0,0.0,-0.15886818380576356
join_0p4,2.1,10.15,5.75,10.75,14.0,57.998711305964285,14.999999999999998,263.3661861556963,2501.5477471961085,381.8605052124807,0.010120027246257915,0.0,2.1706244692215915,405.9995898455911,1904,231443,1463,0,0,0,0.5040328796924103,-1.0146455956860867,2968,49464,0,0,0,0,0.0,-0.15886818380576356
cone_lapse_1,2.1,10.15,5.75,10.75,14.0,57.998711305964285,14.999999999999998,218.78582127345774,2143.960183839406,274.2263368132806,0.009014848622725218,0.0,1.8149336320132203,262.7126970828868,1904,233796,0,0,0,0,0.5040328796924103,-0.7405483939355901,2968,49332,0,0,0,0,0.0,-0.1059193997289891
cone_lapse_1p25,2.1,10.15,5.75,10.75,14.0,57.998711305964285,14.999999999999998,233.31026645430285,2231.1068549091883,329.719821049383,0.009014848622725218,0.0,1.8149336320132203,322.29093020755346,1904,233796,0,0,0,0,0.5040328796924103,-0.7852122617116647,2968,49356,0,0,0,0,0.0,-0.13239467492058438
cone_layer_4,2.1,10.15,5.75,10.75,15.0,61.73076211353316,14.999999999999998,238.49486973831688,2262.2144745933892,325.14001691003176,0.009014848622725218,0.0,1.8149336320132203,395.38037120938355,1904,236124,0,0,0,0,0.5040328796924103,-0.8236530386990427,3164,67764,0,0,0,0,0.0,-0.1192415124674351
cone_rise_3,2.1,10.15,5.75,10.75,14.0,57.998711305964285,14.999999999999998,226.2414326058995,2188.6938518021448,381.8742092409648,0.009014848622725218,0.0,1.8149336320132203,165.36791530975768,1904,238224,0,0,0,0,0.5040328796924103,-0.6928617067336303,2968,49368,0,0,0,0,0.0,-0.15886818380576356
