variant,speed,alpha_v_radius,extent,outer_radius,cone_base,cone_tip,cone_half_angle,peak_nec_content,nec_content_over_sigma,front_window_over_sigma,peak_negative_energy,peak_positive_energy,peak_stress,max_alpha,pattern_samples,pattern_type_i,pattern_type_iv,pattern_other,pattern_estimated_band_samples,pattern_envelope_violations,pattern_worst_envelope_ratio,pattern_min_null,front_samples,front_type_i,front_type_iv,front_other,front_estimated_band_samples,front_envelope_violations,front_worst_envelope_ratio,front_min_null
alpha_falls,2.1,10.4,5.75,10.75,14.25,58.9317240078565,14.999999999999998,246.54032117708692,2270.308583114362,396.2501725885919,0.009014848622725218,0.0,7.734391569711387,635.832560767684,1904,233732,0,0,0,0,0.5040328796924103,-0.7502949140724401,3024,49932,0,0,0,0,0.0,-0.15894700308552612
alpha_falls_warp_0p5,2.1,10.125,5.75,10.75,14.0,57.998711305964285,14.999999999999998,216.10026062074962,1915.647249239597,381.8742092409648,0.009014848622725218,0.0,2.5257667069084695,288.3408081382475,1904,234010,0,0,0,0,0.5040328796924103,-0.8218782812416964,2968,49368,0,0,0,0,0.0,-0.15886818380576356
alpha_falls_warp_0p35,2.1,9.925,5.75,10.75,13.75,57.06569860407207,14.999999999999998,211.6593182555357,1877.6490717369568,368.04781273837705,0.009014848622725218,0.0,6.2497077456948125,171.27993809537668,1904,233746,0,0,0,0,0.5040328796924103,-6.2497077456948125,2912,48588,0,0,0,0,0.0,-0.15874298666212608
round_corners,2.1,10.100000000000001,5.75,10.75,14.0,57.998711305964285,14.999999999999998,253.56290492672605,2393.9262646752495,381.8742092409648,0.009014848622725218,0.0,1.8149336320132203,409.88178207105045,1904,233974,0,0,0,0,0.5040328796924103,-0.7538687445772099,2968,49368,0,0,0,0,0.0,-0.15886818380576356
alpha_round,2.1,10.4,5.75,10.75,14.25,58.9317240078565,14.999999999999998,242.41704644030216,2221.427049838689,396.2501725885919,0.009014848622725218,0.0,7.983464741338344,635.5837566825297,1904,233638,0,0,0,0,0.5040328796924103,-0.6928617067336303,3024,49932,0,0,0,0,0.0,-0.15894700308552612
alpha_round_warp_0p5,2.1,10.125,5.75,10.75,14.0,57.998711305964285,14.999999999999998,221.99779879496114,1991.1473427881244,381.8742092409648,0.009014848622725218,0.0,2.5249043355271428,287.80878684850194,1904,234442,0,0,0,0,0.5040328796924103,-0.6928617067336303,2968,49368,0,0,0,0,0.0,-0.15886818380576356
alpha_round_warp_0p5_fall_from_8p25,2.1,9.625,5.75,10.25,13.5,56.132685902179844,14.999999999999998,208.03090095245554,1871.2985004629404,354.1664919280767,0.009014848622725218,0.0,2.499243226859182,283.45846594808717,1904,226234,0,0,0,0,0.5040328796924103,-0.6928617067336303,2856,47976,0,0,0,0,0.0,-0.15874078341105774
alpha_round_warp_0p5_end_fall_3,2.1,10.125,6.75,10.75,14.0,58.998711305964285,14.999999999999998,215.56316192045063,1937.7089449189502,381.87420924252524,0.009014848622725218,0.0,2.1057329563323597,430.6669875929731,2184,275632,0,0,0,0,0.5040328796924103,-0.6928617067336303,2968,49368,0,0,0,0,0.0,-0.15886818380629364
cone_alpha,2.1,10.15,5.75,10.75,14.0,57.998711305964285,14.999999999999998,240.2075767605171,2272.490716737232,340.7414472450169,0.009014848622725218,0.0,1.8149336320132203,395.38037120938355,1904,233808,0,0,0,0,0.5040328796924103,-0.8236530386990427,2968,49440,0,0,0,0,0.0,-0.18915804577553147
cone_alpha_warp_0p5,2.1,10.15,5.75,10.75,14.0,57.998711305964285,14.999999999999998,239.09864042627424,2265.8370987166936,347.9595568506177,0.009014848622725218,0.0,1.8149336320132203,395.38037120938355,1904,233712,0,0,0,0,0.5040328796924103,-0.8236530386990427,2968,49164,0,0,0,0,0.0,-0.19981651752808888
alpha_round_warp_0p5_cone_alpha_warp_0p5,2.1,10.125,5.75,10.75,14.0,57.998711305964285,14.999999999999998,214.12964963499627,1943.9384478284082,347.9595568506177,0.009014848622725218,0.0,2.5249043355271428,287.80878684850194,1904,234358,0,0,0,0,0.5040328796924103,-0.6928617067336303,2968,49164,0,0,0,0,0.0,-0.19981651752808888
