variant,1.5,2.1,3.0,5.0,7.0,10.0,15.0,20.0
warps,0.722672689227142,0.7441311616869037,0.7563374947552246,0.7641480280051645,0.7663426713241128,0.7675162140624945,1.0009433333498134,1.3338673012456443
warps_fall_7p75_cone,0.7226664180612165,0.7441222833005771,2.625110883617098,5.0,7.0,10.0,15.0,20.0
warps_fall_8p25,0.7226713760874972,0.7441292420817394,0.7563350793546023,0.7641451124516366,0.7663395209935692,0.7675128671211828,1.0009433333498134,1.3338673012456443
warps_fall_8p25_cone,0.7226696355860037,0.7441269122284517,2.6231721922931572,5.0,7.0,10.0,15.0,20.0
warps_fall_8p25_cone_alpha,0.7226653222322704,0.744121364086759,2.6231721922931572,5.0,7.0,10.0,15.0,20.0
warps_fall_8p25_cone_end_3,0.7226696355857858,0.7441269122284517,0.7563324695560728,0.7641423641141774,0.7663367559707456,0.7675101053792683,1.000943333349267,1.3338673012456275
warps_fall_8p25_cone_hole_1p5,0.7226696355860277,0.744126912228711,2.6231721923073796,5.0,7.0,10.0,15.0,20.0
warps_fall_8p25_cone_shift_0p75,0.7226696355857618,0.7441269122296028,2.685472255303518,5.0,7.0,10.0,15.0,20.0
warps_radial_1_fall_8p25_cone,0.7226707369023558,0.7441284947331478,2.4722185465984348,5.0,7.0,10.0,15.0,20.0
