variant,speed,s,total,content_radial_fall,content_end_falls,content_corners,content_interior,content_cone,content_rest,floor_radial_fall,floor_cone,radial_log_lapse_drop,analytic_radial_floor
reference,2.1,3.75,251.64281056232866,35.86335477933836,61.99917401719677,73.01275642373861,13.754845077148387,64.14325125719952,2.869429007707006,5.949115074595725,13.139200790915591,3.9986266080716426,7.4974248901343294
end_fall_3,2.1,3.75,243.67878596586937,35.86335477933835,47.752759745599676,79.29631362840624,13.754845077151534,64.14325125771502,2.8682614776585424,5.949115074596125,13.139200791445825,3.9986266080716426,7.4974248901343294
end_fall_4,2.1,3.75,243.65165921961386,35.86699699323891,40.56537158213591,86.48583161276095,13.755345315285878,64.14325125750838,2.8348624586838453,5.994870081237318,13.139200791198222,3.9986266080716426,7.4974248901343294
end_fall_6,2.1,3.75,254.0916615807743,35.86699699323599,34.5218289045748,102.97049304763472,13.755345315294806,64.14325125717954,2.8337460628544506,5.994870081234268,13.139200790854504,3.9986266080716426,7.4974248901343294
radial_fall_3,2.1,3.75,259.83775030791014,27.62610423674133,61.99917401719677,82.00574730471047,13.754845077148387,71.42253916317237,3.0293405089407957,5.620236557784298,13.866054506320099,3.9986266080716426,7.4974248901343294
radial_fall_4,2.1,3.75,274.4885056503352,23.607770553495808,61.99917401719677,92.8563859098575,13.754845077148387,79.08593654756444,3.184393545072253,5.366163970814368,14.599311346838137,3.9986266080716426,7.4974248901343294
radial_fall_from_8p25,2.1,3.75,235.06162431056615,34.28984404255533,55.4524938215764,69.1004980050398,13.95298217201797,59.503773805261204,2.7620324641154386,5.98803189311308,12.65694697201878,3.997813341549104,7.49590001540457
radial_fall_3_from_8p25,2.1,3.75,243.17009787507385,26.524483552993242,55.4524938215764,77.79108369167896,13.95298217201797,66.52702791244913,2.9220267243581355,5.659480984086827,13.38081257850177,3.997813341549104,7.49590001540457
shift_edge_0p75,2.1,3.75,246.87904667819328,33.055360703987525,61.35589971335352,71.95484912760763,13.5002568683378,64.1432512574066,2.869429007500193,5.510783051631772,13.139200791111477,3.9986266080716426,6.997596564125375
hole_edge_1p5,2.1,3.75,255.68280447078604,40.37007042409252,61.99917401706804,73.01275642396311,13.288123340097954,64.1432512574806,2.8694290080838027,6.949038718961501,13.139200791177606,3.9986266080716426,8.497081542152241
hole_radial_edge_2,2.1,3.75,252.32892520884369,35.86335477933836,61.99917401719677,73.01275642373861,14.441162895896342,64.1430480849666,2.8694290077070055,5.949115074595725,13.139178337100153,3.9986266080716426,7.4974248901343294
join_0p25,2.1,3.75,256.1594790902005,38.53312074826179,62.88656660412626,73.5261128011169,14.201239897967826,64.14301003103013,2.8694290076976086,5.951928724301478,13.139255884079557,3.999892352585023,7.499798161096918
join_0p4,2.1,3.75,267.6412727852542,45.742720791403904,62.796867787939405,76.40884799509834,15.680579933604186,64.1428272695083,2.869429007700064,6.054171494161353,13.139197954803318,3.9999919020656183,7.4999848163730345
cone_lapse_1,2.1,3.75,221.7039633730103,35.833042597571605,57.75679869316091,66.25809353319573,13.754570145895466,46.04791930870168,2.05353909448492,5.950658993222362,9.884336878239935,3.9986266080716426,7.4974248901343294
cone_lapse_1p25,2.1,3.75,237.13775736658144,35.84684617084436,59.98091013136382,69.72511694275936,13.754650093400706,55.35728573797033,2.472948290242876,5.949882699977189,11.645883190371492,3.9986266080716426,7.4974248901343294
cone_layer_4,2.1,3.75,243.07013226021064,35.86335477933836,61.99917401719677,74.539560831832,13.754845077148387,54.574740812844425,2.338456741850702,5.949115074595725,14.076803567539129,3.9986266080716426,7.4974248901343294
cone_rise_3,2.1,3.75,227.97255934034297,35.98741082543107,50.575039297024354,58.766066902812526,13.762418161386599,64.14325125719952,4.73837289648889,6.090999404185674,13.139200790915591,3.9986266080716426,7.4974248901343294
cone_rounding_1,2.1,3.75,257.0351675716208,35.86335477933836,61.99917401719677,75.32906788012332,13.754845077148387,67.12338923707888,2.9653365807350696,5.949115074595725,12.954070059952326,3.9986266080716426,7.4974248901343294
