variant,speed,alpha_v_radius,extent,outer_radius,cone_base,cone_tip,cone_half_angle,front_surfaces_max,front_surfaces_min,peak_nec_content,nec_content_over_sigma,front_window_over_sigma,peak_negative_energy,peak_positive_energy,peak_stress,max_alpha,pattern_samples,pattern_type_i,pattern_type_iv,pattern_other,pattern_estimated_band_samples,pattern_envelope_violations,pattern_worst_envelope_ratio,pattern_min_null,front_samples,front_type_i,front_type_iv,front_other,front_estimated_band_samples,front_envelope_violations,front_worst_envelope_ratio,front_min_null
mixed_shift_0p75_cone_1,2.1,10.100000000000001,5.5,10.75,14.0,57.748711305964285,14.999999999999998,1,1,153.5683503167945,1369.8315562546554,274.2263368141017,0.00881392923500021,0.0,1.8413234494478188,138.71556252556277,1848,221652,0,0,0,0,0.6554421638733235,-0.531933434290008,2968,49332,0,0,0,0,0.0,-0.1059193997289891
mixed_fall_8p25_shift_0p75_cone_1,2.1,9.600000000000001,5.5,10.25,13.5,55.882685902179844,14.999999999999998,1,1,144.77384482382777,1298.067136784561,254.11115156418003,0.00881392923500021,0.0,1.8413234494478188,138.44137163984206,1848,214740,0,0,0,0,0.6554421638733235,-0.5431330272167985,2856,47964,0,0,0,0,0.0,-0.10583441043641316
mixed_radial_warp_0p7_fall_8p25_shift_0p75_cone_1,2.1,9.4,5.5,10.25,13.25,54.94967320028763,14.999999999999998,1,1,147.16061946533057,1337.6497211154187,244.29002992819966,0.00881392923500021,0.0,1.8413234494478188,137.87500165924573,1848,214476,0,0,0,0,0.6554421638733235,-0.8865896226963156,2800,46896,0,0,0,0,0.0,-0.10591835363666188
mixed_fall_8p25_shift_0p75_cone_1_alpha,2.1,9.600000000000001,5.5,10.25,13.5,55.882685902179844,14.999999999999998,1,0,142.03991259873055,1281.6635434300215,246.84285101180217,0.00881392923500021,0.0,1.8413234494478188,138.44137163984206,1848,214632,0,0,0,0,0.6554421638733235,-0.5431330272167985,2856,47412,0,0,0,0,0.0,-0.16217837963668214
mixed_fall_8p25_shift_0p75_cone_1_rise_2,2.1,9.600000000000001,5.5,10.25,13.5,55.882685902179844,14.999999999999998,1,1,133.12909439864004,1228.1986342299294,254.11115156418003,0.00881392923500021,0.0,1.8413234494478188,123.09920461394549,1848,214872,0,0,0,0,0.6554421638733235,-0.44267880155898,2856,47964,0,0,0,0,0.0,-0.10583441043641316
mixed_warp_0p5_fall_8p25_shift_0p75_cone_1,2.1,9.600000000000001,5.5,10.25,13.5,55.882685902179844,14.999999999999998,1,1,168.44513585576618,1530.4551463105067,254.11115156418003,0.00881392923500021,0.0,2.104574114345795,171.98963264837067,1848,214740,0,0,0,0,0.6554421638733235,-0.617620778072987,2856,47964,0,0,0,0,0.0,-0.10583441043641316
mixed_fall_8p25_cone_1,2.1,9.600000000000001,5.75,10.25,13.5,56.132685902179844,14.999999999999998,1,1,152.32719937431546,1388.499774097238,254.11115156427945,0.009014848622725218,0.0,1.8149336320132203,146.91251518225536,1904,226222,0,0,0,0,0.5040328796924103,-0.6928617067336303,2856,47964,0,0,0,0,0.0,-0.10583441043641316
mixed_fall_8p25_shift_0p75_cone_1p25,2.1,9.600000000000001,5.5,10.25,13.5,55.882685902179844,14.999999999999998,1,1,161.1427039240694,1396.2802913700539,305.65770218471766,0.00881392923500021,0.0,1.8413234494478188,144.90137049560104,1848,214740,0,0,0,0,0.6554421638733235,-0.6099035436156929,2856,47964,0,0,0,0,0.0,-0.13228847341533145
