label,support_envelope_label,cells_per_coordinate_unit,geometry_stride,quadrature_order,all_static_support_lps_solved,support_proper_energy,field_proper_energy,cross_field_proper_energy,absolute_charge_inventory,overlap_proper_length,overlap_fraction_of_shorter_module,overlap_static_light_time,required_negative_radial_null_integral,required_negative_angular_null_integral,minimum_reconstructed_offgrid_dec_margin,independent_force_residual_relative_to_peak_load
center0_width0p5,bounded,32,1,8,False,,93.39671195552191,6.637450856211223,,61.46690865656325,0.5980315956746408,0.7181421107005619,,,,
center0_width0p5,bounded,64,1,8,False,,93.39671195585731,6.637450856226062,,61.46690865656325,0.5980315956704246,0.7181421107005619,,,,
center0_width0p5,bounded,128,1,8,False,,93.39671195582727,6.6374508562255325,,61.46690865656325,0.598031595670801,0.7181421107005619,,,,
center0_width0p5,relaxed,32,1,8,True,123.10836346035893,93.39671195552191,6.637450856211223,28.188125464981077,61.46690865656325,0.5980315956746408,0.7181421107005619,122.67274199143326,202.9753614508213,-1.2908301568890375e-07,8.427330250077222e-05
center0_width0p5,relaxed,64,1,8,True,104.50592880982627,93.39671195585731,6.637450856226062,28.188125464981077,61.46690865656325,0.5980315956704246,0.7181421107005619,100.222612128267,169.12581970538628,-4.7324907402646107e-08,0.00020617756990038238
center0_width0p5,relaxed,128,1,8,True,99.6654783133231,93.39671195582727,6.6374508562255325,28.188125464981077,61.46690865656325,0.598031595670801,0.7181421107005619,94.64201660557642,160.56031175914336,-1.0176401093811505e-08,0.00045675342201772595
center0_width1,bounded,32,1,8,False,,93.39671195552191,12.349286075830193,,101.53022727196219,0.750428437716319,1.3223601926280049,,,,
center0_width1,bounded,64,1,8,False,,93.39671195585731,12.349286075930493,,101.53022727196219,0.7504284377123001,1.3223601926280049,,,,
center0_width1,bounded,128,1,8,False,,93.39671195582727,12.349286075922986,,101.53022727196219,0.7504284377126587,1.3223601926280049,,,,
center0_width1,relaxed,32,1,8,True,97.06262685334644,93.39671195552191,12.349286075830193,28.188125464981077,101.53022727196219,0.750428437716319,1.3223601926280049,92.73160503415932,141.3343564460685,-3.2202755855100835e-08,4.490183130458719e-05
center0_width1,relaxed,64,1,8,True,95.57636319015916,93.39671195585731,12.349286075930493,28.188125464981077,101.53022727196219,0.7504284377123001,1.3223601926280049,91.11303493161651,141.23448127312855,-1.318802777427625e-07,0.00023892344786161334
center0_width1,relaxed,128,1,8,True,95.20560932864313,93.39671195582727,12.349286075922986,28.188125464981077,101.53022727196219,0.7504284377126587,1.3223601926280049,91.30642499636919,141.33479317911934,-2.1807069446110456e-08,0.0005570715733709906
center0_width2,bounded,32,1,8,True,109.09426439509595,93.39671195552191,20.582704450754058,28.188125464981077,162.5863731049338,0.8404198089814805,2.3591216515673104,97.998830216992,165.71228162883523,-2.3855746913360655e-07,6.440104801275598e-06
center0_width2,bounded,64,1,8,True,107.1323898839494,93.39671195585731,20.582704450898902,28.188125464981077,162.5863731049338,0.8404198089783337,2.3591216515673104,97.36992291125735,161.28345151571267,-1.0234256128758149e-07,1.505570207340511e-05
center0_width2,bounded,128,1,8,True,106.71236662137619,93.39671195582727,20.582704450886496,28.188125464981077,162.5863731049338,0.8404198089786141,2.3591216515673104,97.3169013526699,160.0263824271829,-1.500353839661022e-08,1.088798308503052e-05
center0_width2,relaxed,32,1,8,True,96.00203748784682,93.39671195552191,20.582704450754058,28.188125464981077,162.5863731049338,0.8404198089814805,2.3591216515673104,94.71205989579221,146.42669718533787,-9.830212977186676e-08,1.4100683998867158e-05
center0_width2,relaxed,64,1,8,True,94.68517050989396,93.39671195585731,20.582704450898902,28.188125464981077,162.5863731049338,0.8404198089783337,2.3591216515673104,93.08602868214902,146.4895759811748,-1.0234256128758149e-07,7.390399384791155e-05
center0_width2,relaxed,128,1,8,True,94.30498828262225,93.39671195582727,20.582704450886496,28.188125464981077,162.5863731049338,0.8404198089786141,2.3591216515673104,92.50192746653263,146.72856933484843,-1.500353839661022e-08,0.00017253177553682334
center0p75_width0p5,bounded,32,1,8,True,5.506569075157229,93.39671195552191,0.22595531758115,28.188125464981077,2.893973307662404,0.08570641876578963,0.2777611425000983,14.381729550311869,75.15985226498853,-1.9914725874230848e-07,2.864231789582119e-07
center0p75_width0p5,bounded,64,1,8,True,5.49619205559496,93.39671195585731,0.22595531758127002,28.188125464981077,2.893973307662404,0.0857064187657048,0.2777611425000983,14.393012426853819,75.19621808828055,-2.5618716038550175e-08,3.4349577644426063e-07
center0p75_width0p5,bounded,128,1,8,True,5.492905141997172,93.39671195582727,0.22595531758118875,28.188125464981077,2.893973307662404,0.08570641876571247,0.2777611425000983,14.36488664639828,75.1996092996904,-4.258152696492167e-09,6.340391743638514e-07
