x,lower_free_pressure,upper_free_pressure,required_drop_density,optimistic_temporal_allowance,positive_acceleration
-2.0984375,0.00992323085435562,0.01505545028606746,0.1555560615910601,4.619379814692758e-43,True
-2.0953125000000004,0.00949499560884451,0.014140072439446124,0.14835800219675607,1.4636209692001215e-42,True
-2.0921875,0.009079776373288148,0.013235152752860753,0.141117257396205,2.3789489801267712e-42,True
-2.0890625,0.008677575789864389,0.012340683581624783,0.13383579285619354,3.022448445573681e-42,True
-2.0859375,0.008301264616464082,0.011540356640086685,0.12734708358063962,3.2808370398982854e-42,True
-2.0828125,0.007948682142773663,0.010832551505127167,0.12165851371726374,3.064222730583633e-42,True
-2.0796875000000004,0.007606234792453951,0.01013301912031437,0.11594194381019043,2.283884142592567e-42,True
-2.0765625,0.007273917410256026,0.009441747062757244,0.11019886296471065,9.093757471586576e-43,True
-2.0734375,0.006964585470472837,0.008828412276058836,0.10513162632512503,1.0479135058429772e-42,True
-2.0703125,0.006676424551562456,0.008291634671048891,0.10074470002354255,3.320190014577197e-42,True
-2.0671875,0.006395962219232565,0.007761254956004909,0.09633949499185004,5.396661741434161e-42,True
-2.0640625000000004,0.006123189421689171,0.0072372591634444474,0.0919172576849625,6.856785746359738e-42,True
-2.0609375,0.005869438359795231,0.006832400899995578,0.0886735551626483,7.51369639140395e-42,True
-2.0578125,0.005631663458461426,0.006544417324966582,0.08661523562105133,7.160806546415417e-42,True
-2.0546875,0.00539750341401153,0.006259781736404491,0.08455059875462234,5.457336326090424e-42,True
-2.0515625,0.005166951260877498,0.00597848615865932,0.08248030858905145,2.2271625232069072e-42,True
-2.0484375000000004,0.0049502361213546574,0.005726167896579418,0.08065375144739619,2.6288049576763566e-42,True
-2.0453125,0.004746710984617661,0.005502298451994761,0.07907141712813111,8.521157430860283e-42,True
-2.0421875,0.004545919146823209,0.005281051222771219,0.07748510120630882,1.4201163938815377e-41,True
-2.0390625,0.004347853432617433,0.005062418576309428,0.0758953632974026,1.8547779038333042e-41,True
-2.0359375,0.004162008160955289,0.004861291099582522,0.07443667253919675,2.0672589709354704e-41,True
-2.0328125000000004,0.003988027150526063,0.004677353954367416,0.07310930917041292,1.9789196358063163e-41,True
-2.0296875,0.003816285077386481,0.004495598737923324,0.0717797381985359,1.5153694082758416e-41,True
-2.0265625,0.0036467744921174273,0.004316017744147615,0.07044841044895704,6.216190384046113e-42,True
