case,s,node,fraction,l,velocity,heat,required_negative_null_plus,required_negative_null_minus,required_before_plus,required_before_minus,fd_error,spline_error,geometry_rho,geometry_p_l,geometry_j_l,geometry_p_omega,reservoir_rho,reservoir_p_l,reservoir_j_l,reservoir_p_omega,endpoint_rho,endpoint_p_l,endpoint_j_l,endpoint_p_omega,remainder_rho,remainder_p_l,remainder_j_l,remainder_p_omega,magnetic,string,buffer,rest_mass,sigma,fast_speed2,extra_enthalpy_at_speed_half,gas_pressure
energy_matched_n64,0.0,0,0.0,-2.1,4.062611865024905e-12,0.24999999999999967,1.3161221531528633,1.3167048819161025,0.0037921137928360756,0.004374842534749157,1.1680849602343363e-06,8.156199696563587e-06,0.002333737565835256,-0.006417215729627872,-0.0001456821854782704,0.008657957029985196,0.6609331610250281,0.6513968783456622,5.331487588775967e-12,0.0,0.0,0.0,0.0,0.0,-0.6585994234591929,-0.65781409407529,-0.00014568219080975797,0.008657957029985196,0.6514200036627594,2.312531709734192e-05,0.009490032045171213,0.007592025636136973,137.28510094846723,0.9927685629678019,3.8990299899313854,0.001138803845420544
energy_matched_n64,0.0,1,0.015625,-2.075,7.1905488688585095e-12,0.2500693431968559,1.0466657684845544,1.0471536129035932,0.003025618584988992,0.003513462974010409,8.476045179747413e-07,6.266481909325376e-06,0.002841817841495997,-0.006127225417215066,-0.00012253020234117716,0.006670137958059636,0.5260581862796289,0.5175819636349451,7.504345499463565e-12,0.0,-8.535179333010051e-06,-7.331616886359078e-06,-5.691050858228303e-07,3.5079012750955945e-05,-0.5232078332587999,-0.5237018574352739,-0.00012196110475969982,0.00663505894530868,0.5176053236004795,2.3359965534443452e-05,0.008429502713614711,0.006743228093297274,122.8080329731626,0.9919229796646816,3.0972024388892625,0.001011739828150659
energy_matched_n64,0.0,2,0.03125,-2.0500000000000003,1.1149721362387773e-11,0.25279541277083833,0.8391026421588903,0.8394957232084526,0.002316036877180633,0.0027091178894231836,5.84367000810472e-07,4.634810757369115e-06,0.003271542309311806,-0.005886389320971209,-0.00010197523445382647,0.005076785619546259,0.4221553987985585,0.414631206501811,9.329937488877477e-12,0.0,-5.5071537324446915e-05,-4.7198091033048244e-05,-3.7049813931887997e-06,0.00022417622416252367,-0.4188287849519223,-0.42047039773174916,-9.827026239057516e-05,0.004852609395383735,0.41465480431502877,2.3597813217786843e-05,0.007476996670311899,0.005968250357634087,110.9148024530902,0.9910646315046738,2.4804518292198603,0.0009043500472589986
energy_matched_n64,0.0,3,0.046875,-2.025,1.5281764148929053e-11,0.26835052329185083,0.6662738720597914,0.6665708702714173,0.0016430378410206997,0.0019400360120196297,3.770827802897572e-07,3.286896232569843e-06,0.003631660485442828,-0.005692041154173044,-8.404121569614999e-05,0.003819823618191601,0.33567888063300205,0.32895195360608215,1.0156731654947644e-11,0.0,-0.00014486111481558185,-0.00012398262739446932,-9.791672946417515e-06,0.0005859557313032916,-0.3319023590327436,-0.3345200121328607,-7.424955290646413e-05,0.00323386788688831,0.3289757925805576,2.383897447545533e-05,0.006679249077968956,0.005266090844220074,98.50681977579235,0.9899504375453544,1.9671755064053764,0.0008424427790668031
energy_matched_n64,0.0,4,0.0625,-2.0,1.866456956205699e-11,0.3031437263147146,0.5244252658412517,0.5246301151184872,0.0010282615267423727,0.0012331107649019256,2.2110885572641792e-07,2.2195732860778167e-06,0.003931517468198844,-0.005540222780492233,-6.864490599528539e-05,0.0028431382136737187,0.2647422825528056,0.2586547217812418,9.768979795965072e-12,0.0,-0.00025763611417945864,-0.0002203830522917813,-1.743259645539714e-05,0.0010384844099036055,-0.26055312897042726,-0.26397456150944226,-5.1212319308868046e-05,0.0018046538037701132,0.2586788053437485,2.408356250668323e-05,0.0060393936465504795,0.004634480084272716,85.66383331925981,0.9884611612283971,1.5460334384159404,0.0008276697322111163
energy_matched_n64,0.0,5,0.078125,-1.975,2.0220174078879455e-11,0.34203822262809236,0.40951548959636075,0.40964028385181495,0.000512034905212127,0.0006368291275858763,1.0958230466269481e-07,1.4092311710380001e-06,0.004180409434054272,-0.005426217005925765,-5.562271202265144e-05,0.002095061062681076,0.20725719204326354,0.20174626266442527,8.270121053052556e-12,0.0,-0.000361817046601799,-0.00030955850887069215,-2.4424156429214138e-05,0.0014570009913454235,-0.20271496556260749,-0.20686292116148036,-3.119856386355835e-05,0.0006380600713356526,0.20177059435323022,2.433168880498192e-05,0.0054622660012282965,0.004070126997226373,73.87798188805093,0.9866449392092981,1.2051613001181531,0.0008098236209196869
energy_matched_n64,0.0,6,0.09375,-1.9500000000000002,1.8555335392498658e-11,0.36517894939104134,0.31754522364598525,0.31760904871905826,0.00012944336877438492,0.00019326841828833547,3.4546295809689126e-08,8.201522411950286e-07,0.004387110055161066,-0.005345004968658351,-4.4757447286936675e-05,0.0015298226094682594,0.16116861508120142,0.15624716520778895,5.889756262133881e-12,0.0,-0.00042909351537977056,-0.00036744550458615426,-2.8801184908449044e-05,0.0017302629134125337,-0.1563524115106606,-0.16122472467186116,-1.5956268268243894e-05,-0.00020044030394427434,0.15627174867036983,2.4583462580903464e-05,0.0048722829482506485,0.003568970170851231,64.14723870931094,0.9846501552512144,0.9327582090739683,0.0007526651718327235
energy_matched_n64,0.0,7,0.109375,-1.925,1.1447341873687834e-11,0.4153755130576828,0.24492801465815403,0.24495236441985993,0.0,0.0,4.1444224021386367e-08,4.1166509864203407e-07,0.004559562882615446,-0.005291625629604002,-3.580262193996018e-05,0.0011081733930072462,0.12475642659514595,0.12028169065057652,2.8050351001965882e-12,0.0,-0.00044678526431601135,-0.00038320518938804617,-2.9715184318525984e-05,0.001808059801661571,-0.1197500784482145,-0.12519011109079248,-6.087440426469296e-06,-0.0006998864086543248,0.12030652964076306,2.4838990186522608e-05,0.004425057964196423,0.0031264197545970134,54.37512033251314,0.981941348497389,0.717414119880382,0.0007387200788411666
energy_matched_n64,0.0,8,0.125,-1.9000000000000001,-5.113071157460653e-12,0.5951168610802896,0.18845945113575382,0.18846159663271986,0.0,0.0,4.8171167388311176e-08,1.4354403641159835e-07,0.004704718005117572,-0.0052614312831419565,-2.850270557802124e-05,0.0007973872025559231,0.09655648395373012,0.09213952927163507,-9.648161427504289e-13,0.0,-0.0004259864374951972,-0.0003662161816575296,-2.7966330371696752e-05,0.001733864060794624,-0.09142577951111736,-0.0970347443731195,-5.363742415083474e-07,-0.0009364768582387009,0.09216462764617844,2.5098374543363693e-05,0.004366757933008311,0.0027375786937960975,42.21192429720286,0.9768582395654912,0.5486210079440623,0.0008835111325403099
energy_matched_n64,0.0,9,0.140625,-1.875,-3.856036599476478e-11,0.7799235167719684,0.14464072980936518,0.14462925703079463,0.0,0.0,4.897730754554325e-08,2.0478123202802984e-08,0.004828483396093774,-0.0052502466557285835,-2.2608647584884044e-05,0.0005708465746137839,0.07463331697951021,0.0703153417447169,-5.589273330856452e-12,0.0,-0.0003948872864968522,-0.00034054127728515483,-2.5476836638248204e-05,0.0016201946108887744,-0.06940994629691959,-0.07522504712316033,2.868194642637491e-06,-0.0010493480362749905,0.07034070345929204,2.5361714575139664e-05,0.004267251805643027,0.00239743548834167,32.9676834942214,0.9705602532427589,0.4177769689501092,0.0009734400202275515
