case,s,maximum_negative_null_requirement,maximum_bulk_negative_null_requirement,maximum_requirement_before_reservoir,maximum_geometry_abs_null,maximum_geometry_fd_difference,maximum_geometry_spline_difference,maximum_requirement_spline_difference,required_negative_slice_energy_integral,slice_energy,material_fraction_requiring_negative_null,maximum_density,maximum_abs_radial_pressure,decomposition_absolute_error,maximum_magnetic_rest_energy,minimum_magnetization,maximum_magnetization,maximum_gas_pressure_over_magnetic,maximum_gas_pressure_over_buffer_energy,magnetic_tesla_metres,peak_energy_density_joule_metres_inverse,slice_energy_joules_per_metre,worst_null_direction,worst_material_fraction,worst_x,worst_geometry_null,worst_supplied_null
equilibrated_n64,0.0,14.3509113880257,1.1821232999441718,0.004374842534749157,0.004374842534749157,1.1680849602343363e-06,8.156199696563587e-06,1.9066474022440966e-08,923.3965094283384,991.0745200737522,1.0,7.178036414026875,7.168500131347508,8.881784197001252e-16,7.168523256664604,0.3388515349303142,1510.7479558643101,1.9357075125220726,0.3281681734908381,4.669531648654581e+19,8.68725851109829e+44,1.1994534525930758e+47,-1,0.0,-2.1,-0.004374842534749157,14.34653654549095
equilibrated_n64,0.5,22.064456686691937,2.6042456306870476,0.007046848232127489,0.007046848232127489,1.0738546462017717e-06,1.0865920723891753e-05,2.3997355214078198e-08,1302.6598572377275,1365.6005783500314,1.0,11.034614350305308,11.022795488154502,7.105427357601002e-15,11.022818631827954,0.6801539411744688,1872.626645476912,0.9593888162060277,0.3281700449138179,5.790349855821708e+19,1.335470341778322e+45,1.652725698611598e+47,-1,0.0,-2.1,-0.007046848232127489,22.05740983845981
equilibrated_n64,1.2849999999999135,76.63177408645332,32.604523068794336,0.02099601302575248,0.02099601302575248,1.0409306698825477e-05,5.640246844111196e-05,7.836705140462641e-05,4123.221123894121,4132.831934888815,1.0,38.3164456626085,38.29433241081906,2.1316282072803006e-14,38.294355815993,13.157544646976547,3470.8229614117777,0.04985116913519811,0.328166799237429,1.0792594452523749e+20,4.637269156883447e+45,5.001782845673824e+47,-1,0.0,-2.1,-0.02099601302575248,76.61077807342755
equilibrated_n128,0.0,14.210093498285566,1.1815785639735885,0.004374842534749157,0.004374842534749157,1.1680849602343363e-06,8.156199696563587e-06,1.9066474022874647e-08,921.4213703678645,989.0876102010386,1.0,7.107627469157379,7.098091186478014,1.7763568394002505e-15,7.09811431179511,0.3360912054094908,1495.909450676054,1.9516459731866593,0.3281836269241472,4.646543085885923e+19,8.6020456937908e+44,1.1970487838637859e+47,-1,0.0,-2.1,-0.004374842534749157,14.205718655750816
equilibrated_n128,0.5,21.83254067902799,2.6032882468345755,0.007046848232127489,0.007046848232127489,1.0738546462017717e-06,1.0865920723891753e-05,2.3997355214078198e-08,1300.220427450793,1363.1341191130905,1.0,10.918654272407187,10.906839558388675,4.440892098500626e-15,10.906862702062128,0.6614810860946241,1853.5804328673892,0.9876658857280244,0.3281846338211081,5.7598131773667615e+19,1.3214362088265927e+45,1.6497406525958771e+47,-1,0.0,-2.1,-0.007046848232127489,21.825493830795864
equilibrated_n128,1.2849999999999135,75.78054505937205,32.597145199186045,0.02099601302575248,0.02099601302575248,1.337383023941683e-05,7.446525579722727e-05,9.536404696675049e-05,4117.532115680508,4127.142152961163,1.0,37.89082394777238,37.868725098573904,2.842170943040401e-14,37.868748503747845,13.171906145144321,3434.489550858946,0.04980936754912177,0.32818092949450045,1.0732451889260824e+20,4.5857580520150886e+45,4.994896755436012e+47,-1,0.0,-2.1,-0.02099601302575248,75.75954904634628
energy_matched_n64,0.0,1.3167048819161025,0.11069578105149382,0.004374842534749157,0.004374842534749157,1.1680849602343363e-06,8.156199696563587e-06,1.9066474022440966e-08,78.38946749281021,122.12968735335787,1.0,0.6609331610250281,0.6513968783456622,2.220446049250313e-16,0.6514200036627594,0.030792209248985705,137.28510094846723,21.30140960301024,0.3281681734908381,1.407631637407865e+19,7.9989803578618e+43,1.4780813369028683e+46,-1,0.0,-2.1,-0.004374842534749157,1.3123300393813533
energy_matched_n64,0.5,2.1025656663170285,0.30240140583368263,0.007046848232127489,0.007046848232127489,1.0738546462017717e-06,1.0865920723891753e-05,2.3997353437721358e-08,135.2259878939734,177.60051976754625,1.0,1.0537854725460765,1.0417333455388245,1.6653345369377348e-16,1.0417564892122761,0.0433195337955626,173.54162952098474,15.121872171295617,0.32816988648720946,1.7800884454327208e+19,1.2753497317676551e+44,2.1494201727803045e+46,-1,0.0,-2.1,-0.007046848232127489,2.095518818084901
energy_matched_n64,1.285,20.382355282136878,20.382355282136878,0.020996013024067124,0.020996013024067124,1.0407879688222044e-05,7.491641938799955e-05,9.455317724338386e-05,988.4607887611234,998.0056904457999,1.0,8.02022844637888,7.986751745775416,5.329070518200751e-15,7.9867751509493585,0.06214936011155313,477.82239725519605,10.327318132161814,0.3306757063382829,4.928834129119974e+19,9.706526104493608e+44,1.2078419401032229e+47,1,0.3125,-1.7542953966348587,0.003494650086046534,20.385849932222925
prior_thermal_n64,0.0,0.013230294855099368,0.003399268227227603,0.004374842534749157,0.004374842534749157,1.1680849602343363e-06,8.156199696563587e-06,1.9066474022440966e-08,1.1193398385083848,122.12968735335788,1.0,0.01110567261065208,0.004427579289465285,,,,,,,,,,-1,0.0,-2.1,-0.004374842534749157,0.008855452320350211
