path_kind,metric_order,geometric_angular_order,current_order,viscous_stress_order,published_D6_derivative_order,preloaded_heat_diagonal_order,quadratic_rate_pressure_order,quadratic_entropy_rate_order
direct,3,1,2,2,3,4,1,3
waypoints,9,7,8,8,15,16,7,15
