scenario,path_kind,duration,time_skew,level,control,a_times_8pi,b_times_8pi,max_density_change,max_radial_pressure_change,max_angular_mismatch,max_three_channel_mismatch,min_comoving_entropy_rate_per_entropy,max_comoving_entropy_rate_per_entropy,min_entropy_factor,max_entropy_factor,max_heat_drift,min_heat_rest_energy,min_geometric_radial_discriminant,points,tensor_kinetic_ratio,rate_shear_hessian_eigenvalue,rate_trace_hessian_eigenvalue,rate_quadratic_form_nonnegative,tensor_kinetic_strictly_positive,fixed_path_rate_gate_pass
direct_fast,direct,4.0,-0.65,0,zero_rate,0.0,0.0,0.0,0.0,0.030498731551182812,0.030498731551182812,-0.0,-0.0,1.0,1.0,0.09511970491887926,0.0001909426315461278,-0.00029300703234766304,8385,1.0,0.0,0.0,True,True,False
direct_fast,direct,4.0,-0.65,0,exact_tensor_match,1.0,-1.0,0.0,0.0,3.469446951953614e-18,3.469446951953614e-18,-0.0,-0.0,1.0,1.0,0.09511970491887926,0.0001909426315461278,-0.00029300703234766304,8385,0.0,-0.039788735772973836,0.07957747154594766,False,False,False
direct_fast,direct,4.0,-0.65,0,positive_bulk,1.0,0.0,0.009669786004866638,0.026854899604371284,0.009669786004866638,0.026854899604371284,-0.011953156653571034,0.10927304682407696,0.7947261548868342,1.0,0.09511970491887926,0.0001909426315461278,-0.00029300703234766304,8385,1.0,0.0,0.1193662073189215,True,True,False
direct_fast,direct,4.0,-0.65,0,positive_squared_rate,0.0,1.0,0.009669786004866638,0.026854899604371284,0.03595934556850512,0.03595934556850512,-0.011953156653571034,0.10927304682407696,0.7947261548868342,1.0,0.09511970491887926,0.0001909426315461278,-0.00029300703234766304,8385,2.0,0.039788735772973836,0.039788735772973836,True,True,False
direct_fast,direct,4.0,-0.65,0,near_match_positive_tensor_kinetic,0.975,-0.95,0.00024174465012166517,0.0006713724901092797,0.0008989836392126298,0.0008989836392126298,-0.00023133821376872818,0.002455131969090502,0.9950484152020403,1.0,0.09511970491887926,0.0001909426315461278,-0.00029300703234766304,8385,0.04999999999999993,-0.037799298984325144,0.07858275315162332,False,True,False
direct_fast,direct,4.0,-0.65,0,negative_tensor_kinetic,1.0,-1.25,0.0024174465012166604,0.006713724901092822,0.0024174465012166586,0.006713724901092822,-0.02393881124112318,0.002178308591259976,1.0,1.0490777918951673,0.09511970491887926,0.0001909426315461278,-0.00029300703234766304,8385,-0.25,-0.0497359197162173,0.0696302876027042,False,False,False
direct_fast,direct,4.0,-0.65,1,zero_rate,0.0,0.0,0.0,0.0,0.030498731551182812,0.030498731551182812,-0.0,-0.0,1.0,1.0,0.09520850050843424,0.0001909426315461278,-0.0002931836997466351,33153,1.0,0.0,0.0,True,True,False
direct_fast,direct,4.0,-0.65,1,exact_tensor_match,1.0,-1.0,0.0,0.0,6.938893903907228e-18,6.938893903907228e-18,-0.0,-0.0,1.0,1.0,0.09520850050843424,0.0001909426315461278,-0.0002931836997466351,33153,0.0,-0.039788735772973836,0.07957747154594766,False,False,False
direct_fast,direct,4.0,-0.65,1,positive_bulk,1.0,0.0,0.009669786004866638,0.026886382092541492,0.009669786004866638,0.026886382092541492,-0.011953156653571034,0.1095334541948724,0.7938206291894276,1.0,0.09520850050843424,0.0001909426315461278,-0.0002931836997466351,33153,1.0,0.0,0.1193662073189215,True,True,False
direct_fast,direct,4.0,-0.65,1,positive_squared_rate,0.0,1.0,0.009669786004866638,0.026886382092541492,0.03595934556850512,0.03595934556850512,-0.011953156653571034,0.1095334541948724,0.7938206291894276,1.0,0.09520850050843424,0.0001909426315461278,-0.0002931836997466351,33153,2.0,0.039788735772973836,0.039788735772973836,True,True,False
