scenario,path_kind,control,u,angular_time_demand,rate_radial_pressure,rate_angular_pressure,density_change,comoving_entropy_rate_per_entropy,scaled_angular_demand,scaled_rate_angular_pressure,scaled_entropy_rate
direct_fast,direct,exact_tensor_match,0.0009765625,1.0399018953214246e-08,0.0,1.0399018953214246e-08,0.0,-0.0,1.0648595408091388e-05,1.0648595408091388e-05,-0.0
direct_fast,direct,exact_tensor_match,0.001953125,2.055085095807737e-08,0.0,2.055085095807737e-08,0.0,-0.0,1.0522035690535614e-05,1.0522035690535614e-05,-0.0
direct_fast,direct,exact_tensor_match,0.00390625,4.013378562391646e-08,0.0,4.0133785623916463e-08,0.0,-0.0,1.0274249119722613e-05,1.0274249119722615e-05,-0.0
direct_fast,direct,exact_tensor_match,0.0078125,7.655596930748244e-08,0.0,7.655596930748244e-08,0.0,-0.0,9.799164071357753e-06,9.799164071357753e-06,-0.0
direct_fast,direct,exact_tensor_match,0.015625,1.3944839792445338e-07,0.0,1.3944839792445338e-07,0.0,-0.0,8.924697467165016e-06,8.924697467165016e-06,-0.0
direct_fast,direct,exact_tensor_match,0.03125,2.323589647292389e-07,0.0,2.323589647292389e-07,0.0,-0.0,7.435486871335645e-06,7.435486871335645e-06,-0.0
direct_fast,direct,exact_tensor_match,0.0625,3.2721014536844544e-07,0.0,3.2721014536844544e-07,0.0,-0.0,5.235362325895127e-06,5.235362325895127e-06,-0.0
direct_fast,direct,exact_tensor_match,0.125,3.360498338470772e-07,0.0,3.360498338470772e-07,0.0,-0.0,2.6883986707766174e-06,2.6883986707766174e-06,-0.0
direct_fast,direct,positive_bulk,0.000244140625,2.623219600714602e-09,2.6232196007146045e-09,2.6232196007146045e-09,2.533660483027934e-24,-3.1838974569630696e-24,1.074470748452701e-05,1.074470748452702e-05,-2.1879576722358322e-13
direct_fast,direct,positive_bulk,0.00048828125,5.230740027513189e-09,5.2307400275132296e-09,5.2307400275132296e-09,4.0425700659977154e-23,-2.5359584174818573e-23,1.0712555576347011e-05,1.0712555576347094e-05,-2.1783716934200983e-13
direct_fast,direct,positive_bulk,0.0009765625,1.0399018953214246e-08,1.039901895321489e-08,1.039901895321489e-08,6.432172335797185e-22,-2.011043293257255e-22,1.0648595408091388e-05,1.0648595408092047e-05,-2.1593412938450118e-13
direct_fast,direct,positive_bulk,0.001953125,2.055085095807737e-08,2.0550850958087548e-08,2.0550850958087548e-08,1.0177595229834823e-20,-1.580893491039043e-21,1.0522035690535614e-05,1.0522035690540824e-05,-2.121839325772487e-13
direct_fast,direct,positive_bulk,0.00390625,4.013378562391646e-08,4.013378562407573e-08,4.013378562407573e-08,1.5926814281808786e-19,-1.2213068667201995e-20,1.0274249119722613e-05,1.0274249119763387e-05,-2.0490129105248e-13
direct_fast,direct,positive_bulk,0.0078125,7.655596930748244e-08,7.655596930992076e-08,7.655596930992076e-08,2.43831026862125e-18,-9.115358585367935e-20,9.799164071357753e-06,9.799164071669857e-06,-1.9116292488021536e-13
direct_fast,direct,positive_bulk,0.015625,1.3944839792445338e-07,1.3944839796020711e-07,1.3944839796020711e-07,3.5753734790995994e-17,-6.358057491862255e-19,8.924697467165016e-06,8.924697469453255e-06,-1.6667266231467389e-13
direct_fast,direct,positive_bulk,0.03125,2.323589647292389e-07,2.3235896521147824e-07,2.3235896521147824e-07,4.822393351474081e-16,-3.890818411233054e-18,7.435486871335645e-06,7.435486886767304e-06,-1.2749433769928472e-13
direct_fast,direct,positive_bulk,0.0625,3.2721014536844544e-07,3.2721015092087055e-07,3.2721015092087055e-07,5.5524251318766175e-15,-1.8591666673669335e-17,5.235362325895127e-06,5.235362414733929e-06,-7.61514666953496e-14
direct_fast,direct,positive_bulk,0.125,3.360498338470772e-07,3.3604988158024715e-07,3.3604988158024715e-07,4.773316999572428e-14,-5.598400924695152e-17,2.6883986707766174e-06,2.688399052641977e-06,-2.866381273443918e-14
direct_fast,direct,positive_squared_rate,0.000244140625,2.623219600714602e-09,2.6232196007146045e-09,2.533660483027934e-24,2.533660483027934e-24,-3.1838974569630696e-24,1.074470748452701e-05,1.0377873338482418e-20,-2.1879576722358322e-13
direct_fast,direct,positive_squared_rate,0.00048828125,5.230740027513189e-09,5.2307400275132296e-09,4.0425700659977154e-23,4.0425700659977154e-23,-2.5359584174818573e-23,1.0712555576347011e-05,8.279183495163321e-20,-2.1783716934200983e-13
direct_fast,direct,positive_squared_rate,0.0009765625,1.0399018953214246e-08,1.039901895321489e-08,6.432172335797185e-22,6.432172335797185e-22,-2.011043293257255e-22,1.0648595408091388e-05,6.586544471856317e-19,-2.1593412938450118e-13
direct_fast,direct,positive_squared_rate,0.001953125,2.055085095807737e-08,2.0550850958087548e-08,1.0177595229834823e-20,1.0177595229834823e-20,-1.580893491039043e-21,1.0522035690535614e-05,5.210928757675429e-18,-2.121839325772487e-13
direct_fast,direct,positive_squared_rate,0.00390625,4.013378562391646e-08,4.013378562407573e-08,1.5926814281808786e-19,1.5926814281808786e-19,-1.2213068667201995e-20,1.0274249119722613e-05,4.077264456143049e-17,-2.0490129105248e-13
direct_fast,direct,positive_squared_rate,0.0078125,7.655596930748244e-08,7.655596930992076e-08,2.43831026862125e-18,2.43831026862125e-18,-9.115358585367935e-20,9.799164071357753e-06,3.1210371438352e-16,-1.9116292488021536e-13
direct_fast,direct,positive_squared_rate,0.015625,1.3944839792445338e-07,1.3944839796020711e-07,3.5753734790995994e-17,3.5753734790995994e-17,-6.358057491862255e-19,8.924697467165016e-06,2.2882390266237436e-15,-1.6667266231467389e-13
direct_fast,direct,positive_squared_rate,0.03125,2.323589647292389e-07,2.3235896521147824e-07,4.822393351474081e-16,4.822393351474081e-16,-3.890818411233054e-18,7.435486871335645e-06,1.5431658724717058e-14,-1.2749433769928472e-13
direct_fast,direct,positive_squared_rate,0.0625,3.2721014536844544e-07,3.2721015092087055e-07,5.5524251318766175e-15,5.5524251318766175e-15,-1.8591666673669335e-17,5.235362325895127e-06,8.883880211002588e-14,-7.61514666953496e-14
direct_fast,direct,positive_squared_rate,0.125,3.360498338470772e-07,3.3604988158024715e-07,4.773316999572428e-14,4.773316999572428e-14,-5.598400924695152e-17,2.6883986707766174e-06,3.8186535996579423e-13,-2.866381273443918e-14
direct_fast,direct,near_match_positive_tensor_kinetic,0.000244140625,2.623219600714602e-09,6.55804900178649e-11,2.557639110696737e-09,6.334151207569814e-26,-7.95974364240768e-26,1.074470748452701e-05,1.0476089797413835e-05,-5.469894180589585e-15
direct_fast,direct,near_match_positive_tensor_kinetic,0.00048828125,5.230740027513189e-09,1.307685006878303e-10,5.09997152682536e-09,1.0106425164994254e-24,-6.339896043704647e-25,1.0712555576347011e-05,1.0444741686938337e-05,-5.4459292335502494e-15
direct_fast,direct,near_match_positive_tensor_kinetic,0.0009765625,1.0399018953214246e-08,2.599754738303714e-10,1.0139043479383908e-08,1.6080430839492907e-23,-5.027608233143141e-24,1.0648595408091388e-05,1.0382380522889121e-05,-5.398353234612534e-15
direct_fast,direct,near_match_positive_tensor_kinetic,0.001953125,2.055085095807737e-08,5.13771273952187e-10,2.003707968412569e-08,2.5443988074586974e-22,-3.952233727597611e-23,1.0522035690535614e-05,1.0258984798272353e-05,-5.304598314431222e-15
direct_fast,direct,near_match_positive_tensor_kinetic,0.00390625,4.013378562391646e-08,1.0033446406018899e-09,3.9130440983322535e-08,3.981703570452183e-21,-3.0532671668005018e-22,1.0274249119722613e-05,1.0017392891730569e-05,-5.122532276312005e-15
direct_fast,direct,near_match_positive_tensor_kinetic,0.0078125,7.655596930748244e-08,1.913899232748012e-09,7.464207007485633e-08,6.095775671553105e-20,-2.2788396463419852e-21,9.799164071357753e-06,9.55418496958161e-06,-4.779073122005387e-15
direct_fast,direct,near_match_positive_tensor_kinetic,0.015625,1.3944839792445338e-07,3.4862099490051665e-09,1.3596218797723586e-07,8.93843369774897e-19,-1.5895143729655653e-20,8.924697467165016e-06,8.701580030543095e-06,-4.1668165578668514e-15
direct_fast,direct,near_match_positive_tensor_kinetic,0.03125,2.323589647292389e-07,5.808974130286937e-09,2.2654999062306387e-07,1.2055983378685164e-17,-9.727046028082646e-20,7.435486871335645e-06,7.249599699938044e-06,-3.1873584424821213e-15
direct_fast,direct,near_match_positive_tensor_kinetic,0.0625,3.2721014536844544e-07,8.180253773021737e-09,3.1902989187304495e-07,1.38810628296915e-16,-4.647916668417339e-19,5.235362325895127e-06,5.104478269968719e-06,-1.903786667383742e-15
direct_fast,direct,near_match_positive_tensor_kinetic,0.125,3.360498338470772e-07,8.401247039506152e-09,3.276485891942295e-07,1.193329249893103e-15,-1.3996002311737892e-18,2.6883986707766174e-06,2.621188713553836e-06,-7.165953183609801e-16
direct_fast,direct,negative_tensor_kinetic,0.000244140625,2.623219600714602e-09,-6.558049001786513e-10,2.623219600714601e-09,-6.334151207569836e-25,7.959743642407674e-25,1.074470748452701e-05,1.0744707484527006e-05,5.4698941805895805e-14
direct_fast,direct,negative_tensor_kinetic,0.00048828125,5.230740027513189e-09,-1.3076850068783076e-09,5.230740027513179e-09,-1.010642516499429e-23,6.339896043704643e-24,1.0712555576347011e-05,1.071255557634699e-05,5.445929233550246e-14
direct_fast,direct,negative_tensor_kinetic,0.0009765625,1.0399018953214246e-08,-2.5997547383037233e-09,1.0399018953214086e-08,-1.6080430839492964e-22,5.0276082331431374e-23,1.0648595408091388e-05,1.0648595408091224e-05,5.3983532346125296e-14
direct_fast,direct,negative_tensor_kinetic,0.001953125,2.055085095807737e-08,-5.137712739521889e-09,2.0550850958074826e-08,-2.5443988074587065e-21,3.9522337275976075e-22,1.0522035690535614e-05,1.052203569053431e-05,5.304598314431218e-14
direct_fast,direct,negative_tensor_kinetic,0.00390625,4.013378562391646e-08,-1.0033446406018935e-08,4.0133785623876646e-08,-3.981703570452197e-20,3.053267166800499e-21,1.0274249119722613e-05,1.0274249119712421e-05,5.122532276312e-14
