relative_speed,s,left_l,right_l,left_fraction,right_fraction,minimum_packet_gap
0.1,0.0,-1.3213399218672879,-1.2798952473918024,0.4866625488329452,0.5125654703801235,0.9298952473918024
0.1,0.1,-1.3246127246178674,-1.297395562212331,0.4912699370951918,0.5078734813658907,1.0473955622123312
0.1,0.25,-1.3639051352073737,-1.3526107157656924,0.49656243385942644,0.5028369946708786,1.2526107157656923
0.1,0.5,-1.4894337740394177,-1.4884923937686005,0.49971064369409574,0.500215725407388,1.6384923937686007
0.1,0.65,-1.5733262736976599,-1.5732119610431061,0.49996374874816873,0.5000267544123247,1.873211961043106
0.1,0.7,-1.6008754390632507,-1.6008415148081039,0.4999891525921989,0.5000079751133205,1.9508415148081037
0.1,0.745,-1.6255439108905374,-1.6255398143369584,0.49999867981756807,0.500000963712458,2.020539814336958
0.1,0.7640065111500549,-1.6359390788541666,-1.6359390788541666,0.5,0.5,2.049945590004221
0.3,0.0,-1.3683955559968786,-1.2412260506722832,0.4572527775019509,0.536733718329823,0.8912260506722832
0.3,0.1,-1.3576604174390596,-1.273679325422793,0.470923570448618,0.5223741631639843,1.0236793254227932
0.3,0.25,-1.3791377537839407,-1.34377312260192,0.48795357967707387,0.5076475219821456,1.2437731226019202
0.3,0.5,-1.4908871574272238,-1.487831795613089,0.49889831454874023,0.5005520851483661,1.637831795613089
0.3,0.65,-1.5735052866740205,-1.5731326057682875,0.4998606542043389,0.5000680871785816,1.8731326057682876
0.3,0.7,-1.600928667247222,-1.6008180007688662,0.4999582877342125,0.5000202984064774,1.9508180007688662
0.3,0.745,-1.6255503451938629,-1.6255369772526684,0.4999949315836004,0.5000024575307901,2.0205369772526685
0.3,0.7640065111500549,-1.6359390788541666,-1.6359390788541666,0.5,0.5,2.049945590004221
0.5773502691896258,0.0,-1.4530528647625838,-1.1896661491208886,0.40434195952338525,0.5689586567994447,0.8396661491208887
0.5773502691896258,0.1,-1.423009015019157,-1.2441503555892293,0.42997112585773484,0.5406509916225579,0.9941503555892294
0.5773502691896258,0.25,-1.413029562609363,-1.3340633816774865,0.46784652814087757,0.5129327815586768,1.2340633816774864
0.5773502691896258,0.5,-1.4949826685797805,-1.4871834704757547,0.4966092398955805,0.5008821957813494,1.6371834704757546
0.5773502691896258,0.65,-1.5740287247868374,-1.5730556194720935,0.4995592033566902,0.500108186045265,1.8730556194720935
0.5773502691896258,0.7,-1.6010851652792482,-1.6007952290674141,0.49986754089347446,0.5000322326534963,1.9507952290674138
0.5773502691896258,0.745,-1.6255693202248762,-1.6255342324603717,0.49998387788404924,0.5000039027543478,2.0205342324603714
0.5773502691896258,0.7640065111500549,-1.6359390788541666,-1.6359390788541666,0.5,0.5,2.049945590004221
0.9,0.0,-1.647197551171693,-1.133026075602573,0.28300153051769195,0.6043587027483919,0.783026075602573
0.9,0.1,-1.597524750464814,-1.2137054347234693,0.3197134810683353,0.5598458879626554,0.9637054347234694
0.9,0.25,-1.534424617525444,-1.3252876307078778,0.38928743851098635,0.5177718172660575,1.2252876307078777
0.9,0.5,-1.5207506937441897,-1.4866605940449247,0.48197104822369663,0.5011484311308887,1.6366605940449248
0.9,0.65,-1.578026632452542,-1.5729941693642047,0.4972567866523312,0.5001401927764072,1.8729941693642047
0.9,0.7,-1.6023229564624544,-1.6007770813149684,0.4991497961530763,0.5000417435704113,1.950777081314968
0.9,0.745,-1.625722444632191,-1.6255320469356018,0.49989467691298245,0.5000050535051304,2.020532046935602
0.9,0.7640065111500549,-1.6359390788541666,-1.6359390788541666,0.5,0.5,2.049945590004221
0.99,0.0,-1.8789192311084915,-1.1180161077798514,0.13817548055719286,0.6137399326375929,0.7680161077798514
0.99,0.1,-1.8256272102272226,-1.2059173541706139,0.1760318296635081,0.5647782756876009,0.955917354170614
0.99,0.25,-1.74661176070724,-1.3231960049455906,0.24981890689882502,0.5189442968858433,1.2231960049455908
0.99,0.5,-1.6303913573362037,-1.4865441537808581,0.4077679328244687,0.5012077195450844,1.636544153780858
0.99,0.65,-1.6066769179436915,-1.5729805621709951,0.48034993869198483,0.5001472801809639,1.8729805621709952
0.99,0.7,-1.6134234351869021,-1.6007730661922892,0.4927130802283946,0.5000438478253774,1.9507730661922893
0.99,0.745,-1.627359296176436,-1.6255315636262,0.4989411467096705,0.5000053079834507,2.0205315636262
0.99,0.7640065111500549,-1.6359390788541666,-1.6359390788541666,0.5,0.5,2.049945590004221
1.0,0.0,-2.0547425879818797,-1.1163699880601414,0.028285882511325345,0.6147687574624117,0.7663699880601414
1.0,0.1,-1.9979168934403961,-1.2050709178115242,0.06738320246657815,0.5653137064669448,0.9550709178115243
1.0,0.25,-1.91501100215818,-1.32297168106009,0.1414471390970501,0.5190700436559983,1.22297168106009
1.0,0.5,-1.7793949925579182,-1.4865318450992213,0.30175557892458227,0.5012139868120039,1.6365318450992214
1.0,0.65,-1.6980873842447253,-1.572979125418934,0.4167809299017431,0.5001480285236196,1.8729791254189339
1.0,0.7,-1.6708797555346675,-1.6007726423171613,0.4556290599832129,0.5000440699708544,1.9507726423171614
1.0,0.745,-1.6463290919773017,-1.6255315126082501,0.4878904968750038,0.5000053348460818,2.02053151260825
1.0,0.7640065111500549,-1.6359390788541666,-1.6359390788541666,0.5,0.5,2.049945590004221
