variant,type_iv,samples_with_type_iv,unresolved,min_null,eulerian_positive,nec_content_coord,nec_content_proper,proper_volume
lapse_sheath_only,835,139,0,-3.304581248079926,6230.305528617583,386.23974816420036,11134.829356850321,455939.8205376335
sheath_conformal_e2,388,155,0,-3.2680314403440383,60646.75961231572,364.31057749470125,97013.1327593461,3029176.2468130556
sheath_conformal_e4,3,3,0,-3.350904854655783,518043.32972646377,427.01697717590343,765196.2950870113,21648855.746169478
sheath_conformal_e6,0,0,0,-3.433830912472864,4224586.00527047,498.51226810840393,5896338.235240533,157387272.81959283
wide_stack,0,0,0,-3.5168093993411023,33919762.50300585,571.5859820734772,44654354.02862955,1150655399.4091334
