variant,coord_volume,proper_volume,proper_volume_ordinary,proper_volume_nec_respecting,proper_volume_nec_violating,proper_volume_negative_rest_energy,proper_volume_nec_respecting_negative_energy,proper_volume_without_static_frame,proper_volume_violating_z,proper_volume_violating_r,proper_volume_violating_phi,type_iv,unresolved,eulerian_positive,eulerian_negative,rest_negative,killing_energy,komar_density,komar_abs,nec_content_coord,nec_content_proper,min_null,min_rest_energy,max_abs_component,max_source_speed,max_static_frame_speed,max_source_speed_vs_static,max_alpha
wide_stack,8879.888349958315,1150655399.4091334,30517.588833578688,653742109.2425015,354700536.4455278,33843219.80913198,9645361.650207154,0.0,265521663.27960807,3880747.4304578174,296016077.16107464,0,0,33919762.50300585,-33902012.888351314,-33902012.88812675,6.207152794596659e+16,-76777906048466.64,2.941886716052709e+17,571.5859820734772,44654354.02862955,-2.652774535810175,-7.281381574142236,18.581478788999863,0.0,0.0,0.0,4020618620.3109336
single_layer,382.50854052864224,19502.60261965332,47.91067136579422,4672.1724496917595,14626.103401989374,1229.1645223002572,0.0,0.0,1996.1582682277112,230.63426620850157,2850.462044707796,0,0,2547.1065962443513,-2547.1045010212574,-2547.104501019142,715824.4411082113,-1.564948028265984,2605924.7939294907,42.250348346181596,1907.2218687592592,-1.63906349313669,-5.752961275846263,16.74890131419276,0.0,0.0,0.0,452.46101891619827
staged_no_sheaths,8879.888349958315,455939.8205376335,4041.8765232495675,130156.41341938835,318090.91149873135,13138.46495794544,1.61690346164649,0.0,14985.955413588701,12587.292833182328,30538.9549639678,0,0,6230.305528617583,-6228.131136699686,-6228.131136699438,723406.1330265752,-12.111965196814507,1486525.2630468511,274.3094994733055,7672.58465811477,-1.4329392539787595,-1.4675893914758422,1.9713073051523367,0.0,0.0,0.0,452.46101891619827
conformal_only,8879.888349958315,1150655399.4091334,92717.2790885555,13754992.368392387,134057136.09289765,33842895.38715755,9521220.055530421,0.0,30564463.09874729,7050151.352749541,70646513.50518847,0,0,33919762.50300585,-33902012.888351314,-33902012.88074937,25692945789974.44,-25930629241.962803,83171046973567.56,1020.7359179419633,39158163.251282595,-4.061284074024328,-7.281381574142236,15.568947146969618,0.0,0.0,0.0,1348767.2881632796
lapse_sheath_only,8879.888349958315,455939.8205376335,3966.9650852024542,248861.8862193381,201124.86707622345,13584.306518372443,281.8038583013669,0.0,96118.0327969804,15665.871173745569,108482.31554120425,0,0,6230.305528617583,-6228.131136699686,-6228.1311367015915,3754474556.5841365,-2406661.4709567656,19908796636.685623,386.23974816420036,11134.829356850321,-1.3263096939763412,-1.4675893914758422,8.952465548919115,0.0,0.0,0.0,1348767.2881632796
sheath_conformal_e2,8879.888349958315,3029176.2468130556,18150.185424057425,1627268.0226454823,1132433.6504538937,155296.06743714598,42348.96634179192,0.0,679336.5230184023,48102.175200724654,760804.0205105346,0,0,60646.75961231572,-60623.65477864809,-60623.65477865146,266840109943.39542,-222119266.19405037,1319189000403.3708,364.31057749470125,97013.1327593461,-1.4803671868219517,-2.4953657824316435,5.7449096125264765,0.0,0.0,0.0,9966117.156641018
sheath_conformal_e4,8879.888349958315,21648855.746169478,164550.91735297587,12000709.923365891,6850400.662472384,819627.4979169413,233271.37704838254,0.0,4866305.298557657,168107.38103156807,5413210.520987045,0,0,518043.32972646377,-517819.77517241763,-517819.77517241874,17075820293970.172,-16833885140.025314,83047150255886.42,427.01697717590343,765196.2950870113,-1.8655436525854452,-3.812582292760922,9.157187416880136,0.0,0.0,0.0,73640198.7589357
sheath_conformal_e6,8879.888349958315,157387272.81959283,628303.6899493978,88407771.33972663,49171858.05769574,4718164.765757016,1136651.0104459885,0.0,35025186.179853134,797545.3287326063,40187408.56123613,0,0,4224586.00527047,-4222554.995663706,-4222554.99563195,1042853972226928.0,-1167037372625.3733,5024758895325994.0,498.51226810840393,5896338.235240533,-2.253804757668254,-5.4079208899977855,13.463727128872856,0.0,0.0,0.0,544131559.7661791
