variant,zone,axial_zone,coord_volume,proper_volume,proper_volume_ordinary,proper_volume_nec_respecting,proper_volume_nec_violating,proper_volume_negative_rest_energy,proper_volume_nec_respecting_negative_energy,proper_volume_without_static_frame,proper_volume_violating_z,proper_volume_violating_r,proper_volume_violating_phi,type_iv,unresolved,eulerian_positive,eulerian_negative,rest_negative,killing_energy,komar_density,komar_abs,nec_content_coord,nec_content_proper,min_null,min_rest_energy,max_abs_component,max_source_speed,max_static_frame_speed,max_source_speed_vs_static,max_alpha
wide_stack,service_region,beyond,28.863382504856226,28.863382504856226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,1.0
wide_stack,conformal_rise,beyond,103.67255756846316,103.67255756846316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,1.0
wide_stack,sheath_rise,beyond,589.0486225480862,589.0486225480862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,1.0
wide_stack,sheath_plateau,beyond,84.82300164692441,84.82300164692441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,1.0
wide_stack,outer_falls,beyond,848.2300164692442,848.2300164692442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,1.0
wide_stack,service_region,sheath_end,19.242255003237485,19.242255003237485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,1.0
wide_stack,conformal_rise,sheath_end,69.11503837897544,12650.601679096253,0.0,3338.2030173401677,9301.223326452486,3135.997483878782,2204.9660698110433,0.0,992.0904103980124,52.77493850297366,297.6897012686782,0,0,1818.6213379680264,-1817.8397850377887,-1817.839560393107,2700109.344065588,-3245.8318573601923,10659276.437409826,5.956959667811416,1476.9587714651414,-0.42978856919738634,-2.3437943455812627,6.651383059338131,0.0,0.0,0.0,2783.6547456811163
wide_stack,sheath_rise,sheath_end,392.6990816987241,226887.63207862515,0.0,160585.21055635228,66253.19096247356,321.022590832421,3.675022159313998,0.0,61192.227269368435,5734.875173692018,62631.07290978983,0,0,0.0,0.0,-7.865011612431329e-08,0.0,-7529656.543809192,34323119920.572403,3.076967941286789,2021.4978751182127,-0.06121401224644826,-3.823959523537229e-07,2.6604278485608304,0.0,0.0,0.0,7748733.743153
wide_stack,sheath_plateau,sheath_end,56.54866776461628,32671.81901932201,0.0,6319.164757482261,26346.99939506329,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,10742.880117309891,193098.59616278097,2.853381210676178e-06,0.006974923711559625,-3.161114332111484e-07,-0.0,2.6604278485608304,,0.0,,7748733.743153
wide_stack,outer_falls,sheath_end,565.4866776461628,35394.28758272574,1165.0303766430154,12776.04400224622,21392.050629447884,8288.470245000417,8132.921136106897,0.0,18937.087524741477,186.71808241531647,19925.973406799167,0,0,5290.159316433864,-5288.108099946382,-5288.108099946382,19910402680.69489,-20744534.394933216,80221677527.40762,53.847237964848595,4121.491759117265,-1.0983093699380335,-2.2062359485837217,8.749495386454848,0.0,0.0,0.0,7748733.743153
wide_stack,service_region,track,59.650990510036195,61.991718374787844,0.0,48.522139872519354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.8403891384002575,1.8403891384002575,0.0,0.0,0.0,-0.0,0.07434263383424548,,0.0,,1.2843780467453014
wide_stack,conformal_rise,track,214.25661897482388,203809.40822268857,0.0,60177.74217828304,136670.2860251836,48348.56138491089,41840.881199114345,0.0,0.0,0.0,0.0,0,0,31420.056676572516,-31406.16948402665,-31406.169484025944,67516653.47100346,-82247.3108929772,266206364.50632977,28.513239522258655,25323.03213579735,-0.4020955871915684,-2.3825477531947463,6.766400986753453,,0.0,,3828.6769968264607
