s,variant,type_iv,samples_with_type_iv,unresolved,min_null
-8.0,lapse_sheath_only,0,0,0,-1.3263096939763412
-8.0,sheath_conformal_e2,0,0,0,-1.4803671868219517
-8.0,sheath_conformal_e4,0,0,0,-1.8655436525854452
-8.0,sheath_conformal_e6,0,0,0,-2.253804757668254
-8.0,wide_stack,0,0,0,-2.652774535810175
-7.9,lapse_sheath_only,0,0,0,-1.3263096939763412
-7.9,sheath_conformal_e2,0,0,0,-1.4803671868219517
-7.9,sheath_conformal_e4,0,0,0,-1.8655436525854452
-7.9,sheath_conformal_e6,0,0,0,-2.253804757668254
-7.9,wide_stack,0,0,0,-2.652774535810175
-7.8,lapse_sheath_only,0,0,0,-1.3263096939763412
-7.8,sheath_conformal_e2,0,0,0,-1.4803671868219517
-7.8,sheath_conformal_e4,0,0,0,-1.8655436525854452
-7.8,sheath_conformal_e6,0,0,0,-2.253804757668254
-7.8,wide_stack,0,0,0,-2.652774535810175
-7.7,lapse_sheath_only,0,0,0,-1.3263096939763412
-7.7,sheath_conformal_e2,0,0,0,-1.4803671868219517
-7.7,sheath_conformal_e4,0,0,0,-1.8655436525854452
-7.7,sheath_conformal_e6,0,0,0,-2.253804757668254
-7.7,wide_stack,0,0,0,-2.652774535810175
-7.6,lapse_sheath_only,0,0,0,-1.3263096939763412
-7.6,sheath_conformal_e2,0,0,0,-1.4803671868219517
-7.6,sheath_conformal_e4,0,0,0,-1.8655436525854452
-7.6,sheath_conformal_e6,0,0,0,-2.253804757668254
-7.6,wide_stack,0,0,0,-2.652774535810175
-7.5,lapse_sheath_only,0,0,0,-1.3263096939763412
-7.5,sheath_conformal_e2,0,0,0,-1.4803671868219517
-7.5,sheath_conformal_e4,0,0,0,-1.8655436525854452
-7.5,sheath_conformal_e6,0,0,0,-2.253804757668254
-7.5,wide_stack,0,0,0,-2.652774535810175
-7.4,lapse_sheath_only,0,0,0,-1.3263096939763412
-7.4,sheath_conformal_e2,0,0,0,-1.4803671868219517
-7.4,sheath_conformal_e4,0,0,0,-1.8655436525854452
-7.4,sheath_conformal_e6,0,0,0,-2.253804757668254
-7.4,wide_stack,0,0,0,-2.652774535810175
-7.3,lapse_sheath_only,0,0,0,-1.3263096939763412
-7.3,sheath_conformal_e2,0,0,0,-1.4803671868219517
-7.3,sheath_conformal_e4,0,0,0,-1.8655436525854452
-7.3,sheath_conformal_e6,0,0,0,-2.253804757668254
-7.3,wide_stack,0,0,0,-2.652774535810175
-7.2,lapse_sheath_only,0,0,0,-1.3263096939763412
-7.2,sheath_conformal_e2,0,0,0,-1.4803671868219517
-7.2,sheath_conformal_e4,0,0,0,-1.8655436525854452
-7.2,sheath_conformal_e6,0,0,0,-2.253804757668254
-7.2,wide_stack,0,0,0,-2.652774535810175
-7.1,lapse_sheath_only,0,0,0,-1.3263096939763412
-7.1,sheath_conformal_e2,0,0,0,-1.4803671868219517
-7.1,sheath_conformal_e4,0,0,0,-1.8655436525854452
-7.1,sheath_conformal_e6,0,0,0,-2.253804757668254
-7.1,wide_stack,0,0,0,-2.652774535810175
-7.0,lapse_sheath_only,0,0,0,-1.3263096939763412
-7.0,sheath_conformal_e2,0,0,0,-1.4803671868219517
-7.0,sheath_conformal_e4,0,0,0,-1.8655436525854452
-7.0,sheath_conformal_e6,0,0,0,-2.253804757668254
-7.0,wide_stack,0,0,0,-2.652774535810175
-6.9,lapse_sheath_only,0,0,0,-1.3263096939763412
