surface,point_index,s,l,rho_euler,p_l_unit,j_l_unit,p_omega_unit,ultrastatic_tail_amplitude,tail_formula_max_abs_error,angular_metric_offset
baseline,22748,15.0,-6.0,-7.985752691715552e-05,-7.985750409994013e-05,0.0,7.985751550854784e-05,7.985758424578941e-05,8.014584928063648e-11,3.0625
baseline,22868,15.0,6.0,-7.985752691715552e-05,-7.985750409994013e-05,0.0,7.985751550854784e-05,7.985758424578941e-05,8.014584928063648e-11,3.0625
dense,90616,15.0,-6.0,-7.985752691715552e-05,-7.985750409994013e-05,0.0,7.985751550854784e-05,7.985758424578941e-05,8.014584928063648e-11,3.0625
dense,90856,15.0,6.0,-7.985752691715552e-05,-7.985750409994013e-05,0.0,7.985751550854784e-05,7.985758424578941e-05,8.014584928063648e-11,3.0625
