surface,point_index,s,l,max_abs_channel_error
baseline,0,-1.5,-6.0,4.0389678347315804e-28
baseline,4640,1.8351063829787235,-1.7999999999999998,5.551115123125783e-17
baseline,4779,1.922872340425532,0.0,3.339897802767666e-13
baseline,11434,6.75,0.0,9.020562075079397e-17
baseline,12762,7.715425531914894,-0.2999999999999998,6.591949208711867e-17
baseline,22868,15.0,6.0,0.0
dense,0,-1.5,-6.0,4.0389678347315804e-28
dense,18641,1.878989361702128,-1.7999999999999998,1.012204209338563e-12
dense,18918,1.922872340425532,0.0,3.339897802767666e-13
dense,45428,6.75,0.0,9.020562075079397e-17
dense,50703,7.715425531914894,-1.3499999999999996,5.377642775528102e-17
dense,90856,15.0,6.0,0.0
