rail_scale_m,speed,demand_stress_peak_Pa,demand_stress_content_J,rear_kappa_axis,passenger_temperature_K,blackbody_flux_W_m2,mixing_power_unit_W,trace_peak_scalar_J_m3,trace_content_scalar_J,peak_ratio_scalar,trace_peak_weyl_fermion_J_m3,trace_content_weyl_fermion_J,peak_ratio_weyl_fermion,trace_peak_maxwell_J_m3,trace_content_maxwell_J,peak_ratio_maxwell
1.0,2.1,2.1621542996029465e+44,1.5568812250247372e+47,7.554133908869165,0.0027530772129504646,3.257506596704996e-18,9.478018818786455e-18,3.493450417996606e-27,9.469441706476165e-25,1.6157266938063282e-71,1.0480351253989821e-26,2.840832481807867e-24,4.847180081418986e-71,4.192140501595929e-26,1.136332944507174e-23,1.9388720325675947e-70
1.0,10.0,4.4474470703721936e+44,5.762212408885067e+47,57.15830072538175,0.020831139235334934,1.0677358473336781e-14,9.478018818786455e-18,1.5845005878866513e-26,3.490560687869032e-24,3.5627193821871592e-71,4.7535017636599485e-26,1.0471682033472113e-23,1.0688158146561465e-70,1.9014007054639707e-25,4.188672765172873e-23,4.2752632586245666e-70
10.0,2.1,2.1621542996029463e+42,1.5568812250247372e+48,7.554133908869165,0.00027530772129504645,3.2575065967049953e-22,9.478018818786455e-20,3.4934504179966063e-31,9.469441706476165e-26,1.6157266938063285e-73,1.0480351253989823e-30,2.8408324818078675e-25,4.847180081418987e-73,4.19214050159593e-30,1.1363329445071741e-24,1.9388720325675953e-72
10.0,10.0,4.447447070372193e+42,5.762212408885067e+48,57.15830072538175,0.0020831139235334933,1.0677358473336779e-18,9.478018818786455e-20,1.5845005878866512e-30,3.490560687869032e-25,3.5627193821871595e-73,4.753501763659949e-30,1.0471682033472114e-24,1.0688158146561467e-72,1.9014007054639708e-29,4.188672765172873e-24,4.2752632586245673e-72
100.0,2.1,2.1621542996029467e+40,1.5568812250247373e+49,7.554133908869165,2.7530772129504647e-05,3.2575065967049963e-26,9.478018818786455e-22,3.493450417996606e-35,9.469441706476166e-27,1.6157266938063282e-75,1.0480351253989822e-34,2.840832481807867e-26,4.847180081418986e-75,4.19214050159593e-34,1.136332944507174e-25,1.938872032567595e-74
100.0,10.0,4.447447070372194e+40,5.762212408885068e+49,57.15830072538175,0.00020831139235334933,1.067735847333678e-22,9.478018818786455e-22,1.5845005878866513e-34,3.490560687869032e-26,3.5627193821871587e-75,4.753501763659949e-34,1.0471682033472114e-25,1.0688158146561464e-74,1.9014007054639707e-33,4.188672765172873e-25,4.275263258624566e-74
1000.0,2.1,2.1621542996029465e+38,1.5568812250247371e+50,7.554133908869165,2.753077212950465e-06,3.2575065967049965e-30,9.478018818786454e-24,3.493450417996606e-39,9.469441706476165e-28,1.6157266938063281e-77,1.0480351253989821e-38,2.840832481807867e-27,4.847180081418986e-77,4.192140501595929e-38,1.136332944507174e-26,1.9388720325675948e-76
1000.0,10.0,4.4474470703721935e+38,5.762212408885067e+50,57.15830072538175,2.0831139235334936e-05,1.0677358473336784e-26,9.478018818786454e-24,1.5845005878866512e-38,3.490560687869031e-27,3.562719382187159e-77,4.753501763659948e-38,1.0471682033472111e-26,1.0688158146561463e-76,1.9014007054639707e-37,4.188672765172873e-26,4.275263258624567e-76
