speed,packet,depth,edge_past_surface,windowed_norm,negative_share
2.1,axis_wavelength_0p5,4.0,5.739999999999327,0.9999999959270983,2.0627729810324332e-10
2.1,axis_wavelength_0p5,2.0,5.739999999999327,0.9998558900673317,5.742122262551045e-07
2.1,axis_wavelength_0p5,1.0,5.739999999999327,0.9783014155183187,9.236672269624552e-05
2.1,axis_wavelength_0p5,0.0,5.739999999999327,0.6770238655210358,0.001305771263053275
2.1,axis_wavelength_0p5,-1.0,5.739999999999327,0.14810139766061667,0.005122198084994457
2.1,axis_wavelength_1,4.0,5.739999999999327,0.9999999744565948,8.252351451496735e-10
2.1,axis_wavelength_1,2.0,5.739999999999327,0.9981090610951795,2.6195405316958963e-05
2.1,axis_wavelength_1,1.0,5.739999999999327,0.9478453411329203,0.0006153992657727072
2.1,axis_wavelength_1,0.0,5.739999999999327,0.6441972285569068,0.003904870618284465
2.1,axis_wavelength_1,-1.0,5.739999999999327,0.19361187835060562,0.01201606258991409
2.1,axis_wavelength_2,4.0,5.739999999999327,0.9999723580430531,1.1889020885020804e-06
2.1,axis_wavelength_2,2.0,5.739999999999327,0.9892342414621849,0.00034211517872454074
2.1,axis_wavelength_2,1.0,5.739999999999327,0.9262914920996002,0.0018945037324823541
2.1,axis_wavelength_2,0.0,5.739999999999327,0.7317314480175472,0.005930256620065753
2.1,axis_wavelength_2,-1.0,5.739999999999327,0.42879885524149397,0.012488343536048826
2.1,ring_wavelength_1,4.0,5.739999999999327,0.9999999715034286,2.1371743667892675e-12
2.1,ring_wavelength_1,2.0,5.739999999999327,0.9999978369684036,2.484026601328462e-08
2.1,ring_wavelength_1,1.0,5.739999999999327,0.9997868839028144,2.244424597869865e-06
2.1,ring_wavelength_1,0.0,5.739999999999327,0.9944106383807797,4.407415454110957e-05
2.1,ring_wavelength_1,-1.0,5.739999999999327,0.9530486340599502,0.0002513633280452059
