speed,packet,t,norm_total,norm_in_flat,windowed_norm,positive_part,negative_part,mixing_share
2.1,axis_wavelength_0p5,1,0.9992940823315758,0.9992940823315756,0.9992940810814654,126776.9224737217,0.008701982737307667,6.864011186110267e-08
2.1,axis_wavelength_0p5,2,0.9985328920233731,0.9985328921666315,0.9985328985291514,126693.4872908697,0.007475389744073832,5.9003737783580745e-08
2.1,axis_wavelength_0p5,3,0.997773201713898,0.9977732299004203,0.9977731694996409,126610.07090449326,0.004437283181324757,3.504684101440247e-08
2.1,axis_wavelength_0p5,4,0.9970382822453638,0.9970383128202682,0.9968803017826483,126490.18999678963,0.09286481819841522,7.341656299402697e-07
2.1,axis_wavelength_0p5,5,0.9963273642543682,0.996297420671216,0.9756317578638984,122234.57697999604,11.353576786050295,9.287488535887635e-05
2.1,axis_wavelength_0p5,6,0.9956338904797274,0.988441732052881,0.738385373494211,83088.17571392913,79.1588723644541,0.0009518024445321097
2.1,axis_wavelength_0p5,7,0.9949514903500143,0.8953789766808093,0.34806648819847424,33265.73065403238,56.08561639796975,0.0016831500402857667
2.1,axis_wavelength_0p5,8,0.9942642224309747,0.7282108521350822,0.19891343360543157,18329.262544927682,19.967638977085358,0.0010882003646452807
2.1,axis_wavelength_0p5,9,0.9935163641607082,0.5866320419005819,0.14801043347091297,13675.800438559492,13.583837805678607,0.0009922899037271683
2.1,axis_wavelength_0p5,10,0.9925387798507603,0.47596040910088444,0.119377677005958,11141.139160821975,10.623467260440687,0.0009526267384573474
2.1,axis_wavelength_0p5,11,0.9908551759506509,0.3884506806592828,0.1007655104570773,9519.205930488582,8.840763662198354,0.0009278673736586171
2.1,axis_wavelength_0p5,12,0.9882056965301544,0.3801577731039606,0.08755516396810478,8358.405954518073,7.564400055460839,0.000904186810956784
2.1,axis_wavelength_0p5,13,0.9852299316683785,0.4991351065531707,0.08008009168329484,7540.158046221984,6.973796552075489,0.0009240326918036413
2.1,axis_wavelength_0p5,14,0.9823251222772753,0.6064076025253857,0.08753471778304232,7454.370475370464,9.40388595359957,0.0012599370637902474
2.1,axis_wavelength_0p5,15,0.9795149307727277,0.6846270561080167,0.12430599374931642,10207.16578970505,15.890087543286343,0.001554338324477921
