speed,r,offset,kappa,transverse_over_along,temperature,compartment_killing_norm,passenger_temperature
2.1,0.0,-5.106991225479466,7.554133908869165,0.0,1.2022777523746289,1.0,1.2022777523746289
2.1,2.0,-5.106991225479466,7.554133908869165,0.0,1.2022777523746289,1.0,1.2022777523746289
2.1,4.0,-5.107022237590727,7.554641562763642,0.0006105466963612766,1.2023585480013148,1.0,1.2023585480013148
2.1,6.0,-5.127492960894429,7.890314999423609,0.017439673610972945,1.2557826347103926,1.0,1.2557826347103926
2.1,8.0,-5.152419795920937,8.299582494122326,0.003985304177831977,1.3209195795385296,1.0,1.3209195795385296
2.1,8.5,-5.153480064269295,8.316982249227944,0.0004628637479022916,1.3236888365721773,1.0,1.3236888365721773
2.1,9.0,-5.150457259440495,8.236212148959865,0.034499624036822406,1.3108338758604843,1.0,1.3108338758604843
2.1,9.5,-5.08664519228327,6.758091557033108,0.26209733257844675,1.0755836771694227,1.0,1.0755836771694227
2.1,10.0,-4.748336594857957,2.924828601271745,1.5949227190942266,0.46550092958895245,1.0,0.46550092958895245
10.0,0.0,-4.866385386551065,57.15830072538175,0.0,9.097026099177572,1.0,9.097026099177572
10.0,2.0,-4.866385386551065,57.15830072538175,0.0,9.097026099177572,1.0,9.097026099177572
10.0,4.0,-4.866425082748944,57.16335605776557,0.0007815139317602207,9.09783068031543,1.0,9.09783068031543
10.0,6.0,-4.892630541024929,60.60961453349556,0.02232080164937005,9.646319751900199,1.0,9.646319751900199
10.0,8.0,-4.924504609545945,65.09711074976998,0.00508974809244211,10.36052695682645,1.0,10.36052695682645
10.0,8.5,-4.925858621808377,65.29496276110436,0.0005910602436605375,10.39201608243099,1.0,10.39201608243099
10.0,9.0,-4.92014177382428,64.37992159899153,0.06522597834428862,10.246382758348181,1.0,10.246382758348181
10.0,9.5,-4.793815363674152,48.211896873686655,0.5429522237507459,7.6731617032839265,1.0,7.6731617032839265
