speed,s,max_kretschmann,max_demand_energy,max_demand_component,demand_component_content,compartment_abs_trace_scalar,max_abs_trace_scalar,offset_at_max_scalar,r_at_max_scalar,trace_content_scalar,compartment_abs_trace_weyl_fermion,max_abs_trace_weyl_fermion,offset_at_max_weyl_fermion,r_at_max_weyl_fermion,trace_content_weyl_fermion,compartment_abs_trace_maxwell,max_abs_trace_maxwell,offset_at_max_maxwell,r_at_max_maxwell,trace_content_maxwell
2.1,0.66027,6364.6420005025875,1.0175991273015049e-05,1.7865270471073538,1047.4277024629193,2.9101013454814863e-29,0.11049884028884027,-1.375,0.014772293768060513,28.85974732334093,1.2367930718296317e-28,0.33149652086652076,-1.375,0.16655205304430068,86.57924141670507,1.07673749782815e-27,1.325986083466083,-1.375,0.16655205304430068,346.31695681373674
2.1,0.75,6364.642000502588,1.7529770456376382e-05,1.7865270471073538,1286.4069960926586,2.9101013454814863e-29,0.11049884028884023,1.375,0.07411044671050465,29.952116147317284,1.2367930718296317e-28,0.33149652086652076,-1.375,0.16655205304430068,89.8563474887737,1.07673749782815e-27,1.325986083466085,-1.375,0.16655205304430068,359.4253747042441
2.1,3.75,6364.64200050631,7.011908182550332e-05,1.786527047107822,1286.3834729284306,2.9101013454814863e-29,0.11049884028890605,1.375,0.014772293768060513,29.951974520019725,1.2367930718296317e-28,0.33149652086671816,1.375,0.16655205304430068,89.85591974734649,1.07673749782815e-27,1.3259860834668726,-1.375,0.16655205304430068,359.4236179859833
2.1,6.75,6364.642000476754,1.7529770456376382e-05,1.7865270471041026,1286.406996071098,2.9101013454814863e-29,0.11049884028838372,-1.375,0.07411044671050465,29.952116147366826,1.2367930718296317e-28,0.33149652086515113,1.375,0.16655205304430068,89.85634748892232,1.07673749782815e-27,1.3259860834606045,1.375,0.16655205304430068,359.4253747048386
2.1,6.83973,6364.642000476757,1.0175991273015049e-05,1.7865270471041033,1047.427702463782,2.9101013454814863e-29,0.11049884028838383,1.375,0.07411044671050465,28.859747323387076,1.2367930718296317e-28,0.3314965208651514,1.375,0.16655205304430068,86.57924141684352,1.07673749782815e-27,1.325986083460605,-1.375,0.16655205304430068,346.3169568142905
10.0,0.394784,28614.3869529369,4.487635429801727e-07,3.674799935995811,2303.905349104592,2.9101013454814863e-29,0.5011820877614162,-1.375,0.014772293768060513,89.0762381829394,1.2367930718296317e-28,1.5035462632842485,-1.375,0.16655205304430068,267.2287145244168,1.07673749782815e-27,6.014185053136994,-1.375,0.16655205304430068,1068.914857707244
10.0,0.75,28614.386952936868,1.7529770456376382e-05,3.67479993599581,4761.1534114519345,2.9101013454814863e-29,0.5011820877614158,-1.375,0.014772293768060513,110.40743729386232,1.2367930718296317e-28,1.503546263284247,-1.375,0.16655205304430068,331.2223109284088,1.07673749782815e-27,6.01418505313698,-1.375,0.16655205304430068,1324.889228462784
10.0,3.75,28614.38695298696,7.011908182550553e-05,3.674799935998768,4761.12979894946,2.9101013454814863e-29,0.5011820877623082,-1.375,0.014772293768060513,110.4072959055331,1.2367930718296317e-28,1.503546263286923,-1.375,0.16655205304430068,331.22188390388703,1.07673749782815e-27,6.0141850531476635,-1.375,0.16655205304430068,1324.887474612152
10.0,6.75,28614.386952854744,1.7529770456376382e-05,3.6747999359909573,4761.153411458156,2.9101013454814863e-29,0.5011820877599636,1.375,0.16655205304430068,110.40743729483461,1.2367930718296317e-28,1.5035462632798893,1.375,0.16655205304430068,331.22231093132564,1.07673749782815e-27,6.014185053119537,-1.375,0.16655205304430068,1324.889228474452
10.0,7.105216,28614.386952854755,4.487635429801727e-07,3.674799935990958,2303.9053491011264,2.9101013454814863e-29,0.5011820877599629,-1.375,0.16655205304430068,89.07623818270807,1.2367930718296317e-28,1.5035462632798884,-1.375,0.16655205304430068,267.22871452372283,1.07673749782815e-27,6.0141850531195535,-1.375,0.16655205304430068,1068.9148577044682
