channel,peak_abs,signed_value,s,l,stage,region,inside_packet_live,packet_edge,support_shell
rho,0.012442905166369433,-0.012442905166369433,-0.35,-2.59,catch_rematch,outer_quarantine_shell,False,False,False
j_l,0.02048485387768379,0.02048485387768379,1.65,1.5166666666666666,reset_decompression,packet_in_support,False,False,True
delta_rho,2.012739156306495e-07,-2.012739156306495e-07,0.8666666666666666,1.1199999999999997,release_shift_fade,packet_in_support,True,True,False
delta_j_l,2.580641304630149e-05,2.580641304630149e-05,-0.35,-0.3500000000000001,catch_rematch,packet_in_support,True,False,False
