variant,coord_volume,proper_volume,proper_volume_ordinary,proper_volume_nec_respecting,proper_volume_nec_violating,proper_volume_negative_rest_energy,proper_volume_nec_respecting_negative_energy,proper_volume_without_static_frame,proper_volume_violating_z,proper_volume_violating_r,proper_volume_violating_phi,type_iv,unresolved,eulerian_positive,eulerian_negative,rest_negative,killing_energy,komar_density,komar_abs,nec_content_coord,nec_content_proper,min_null,min_rest_energy,max_abs_component,max_source_speed,max_static_frame_speed,max_source_speed_vs_static,max_alpha
lapse_static,11086.071790941749,11086.071790941749,0.0,1139.4501090174765,5003.141751442941,0.0,0.0,0.0,2633.250746326639,3498.4325991637243,2441.963809593009,0,0,0.0,0.0,0.0,0.0,2.8489889261600427,413.31073705814265,52.94098055962302,52.94098055962302,-0.21788616548272582,-0.0,0.27017860639256275,0.0,0.0,0.0,2.718281828459045
lapse_staged,11086.071790941749,11086.071790941749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,1.0
