design,s,max_abs_component,z
narrow_edge_cutoff_in,-1.1,21.242274704675836,-4.45
narrow_edge_cutoff_in,-1.0,18.99549169830414,-4.3
narrow_edge_cutoff_in,-0.9,17.935787292986472,3.0
narrow_edge_cutoff_in,-0.8,17.935787292986472,-3.85
narrow_edge_cutoff_in,-0.7,17.90629892216069,-3.65
narrow_edge_cutoff_in,-0.6,17.65101542892154,-3.45
narrow_edge_cutoff_in,-0.5,17.90629892216069,3.85
narrow_edge_cutoff_in,-0.4,17.935759592601077,4.05
narrow_edge_cutoff_in,-0.3,19.166919025121373,4.25
narrow_edge_cutoff_in,-0.2,21.735510742291027,4.45
narrow_edge_cutoff_in,-0.1,25.846288300598232,4.65
narrow_edge_cutoff_in,-0.0,36.012770492435315,4.8
narrow_edge_cutoff_in,0.1,31.670466384086485,4.85
narrow_edge_cutoff_in,0.2,26.737485882544075,4.85
narrow_edge_cutoff_in,0.3,24.247653432877446,4.85
narrow_edge_cutoff_in,0.4,22.25790648103648,4.85
narrow_edge_cutoff_in,0.5,20.96665050175743,4.85
narrow_edge_cutoff_in,0.6,20.05033377713867,4.85
narrow_edge_cutoff_in,0.7,19.200380501036765,4.85
narrow_edge_cutoff_in,0.8,18.40023894725139,4.85
narrow_edge_cutoff_in,0.9,17.939675421964505,-0.85
narrow_edge_cutoff_in,1.0,17.872070180287448,-0.75
narrow_edge_cutoff_in,1.1,17.745014835346243,-0.65
narrow_edge_cutoff_in,1.2,17.55847420941524,-0.55
narrow_edge_cutoff_in,1.3,17.31291366094566,-0.45
narrow_edge_cutoff_in,1.4,17.42135163443079,-0.4
narrow_edge_cutoff_in,1.5,17.63348756363974,-0.3
narrow_edge_cutoff_in,1.6,17.793547370862537,-0.2
narrow_edge_cutoff_in,1.7,17.899155525855427,-0.1
narrow_edge_cutoff_in,1.8,17.948187419817945,0.0
narrow_edge_cutoff_in,1.9,17.49695644193543,0.1
narrow_edge_cutoff_in,2.0,15.70390643582902,0.2
narrow_edge_cutoff_in,2.1,12.492657717526084,0.3
narrow_edge_cutoff_in,2.2,8.776960772410998,0.35
narrow_edge_cutoff_in,2.3,5.468365343935917,0.45
narrow_edge_cutoff_in,2.4,2.7969564010743775,0.55
narrow_edge_cutoff_in,2.5,1.3011996758400806,0.6
narrow_edge_cutoff_in,2.6,0.4960073467385451,0.65
narrow_edge_cutoff_in,2.7,0.27017860639256275,-6.2
narrow_edge_cutoff_in,2.8,0.27017860639256275,-6.2
narrow_edge_cutoff_in,2.9,0.27017860639256275,-6.2
narrow_edge_cutoff_in,3.0,0.27017860639256275,-6.2
wide_edge_cutoff_in,-4.5,0.27017860639256275,-6.2
wide_edge_cutoff_in,-4.4,0.27017860639256275,-6.2
wide_edge_cutoff_in,-4.3,0.27017860639256275,-6.2
wide_edge_cutoff_in,-4.2,0.27017860639256275,-6.2
wide_edge_cutoff_in,-4.1,0.27017860639256275,-6.2
wide_edge_cutoff_in,-4.0,0.27017860639256275,-6.2
wide_edge_cutoff_in,-3.9,0.27017860639256275,-6.2
wide_edge_cutoff_in,-3.8,0.27017860639256275,-6.2
wide_edge_cutoff_in,-3.7,0.27017860639256275,-6.2
wide_edge_cutoff_in,-3.6,0.44832940289032536,-4.8
wide_edge_cutoff_in,-3.5,1.119239585221204,-4.8
wide_edge_cutoff_in,-3.4,2.490607202535923,-4.8
wide_edge_cutoff_in,-3.3,4.728073292626641,-4.8
wide_edge_cutoff_in,-3.2,7.883056070940622,-4.85
wide_edge_cutoff_in,-3.1,12.20065517955018,-4.85
wide_edge_cutoff_in,-3.0,15.393509373267255,-4.85
wide_edge_cutoff_in,-2.9,16.55660921922336,-4.85
wide_edge_cutoff_in,-2.8,16.37985266294022,-4.85
wide_edge_cutoff_in,-2.7,15.58059097541665,-4.85
wide_edge_cutoff_in,-2.6,14.014654932030759,-4.85
wide_edge_cutoff_in,-2.5,12.880988862519427,-4.8
wide_edge_cutoff_in,-2.4,12.130460103022363,-4.8
