design,s,type_iv,samples_with_type_iv,unresolved,worst_envelope_ratio
lapse_staged,1.2,0,0,0,0.00344253556824934
lapse_staged,1.4,0,0,0,0.0
lapse_staged,1.6,0,0,0,0.0
lapse_staged,1.8,0,0,0,0.0
lapse_staged,2.0,0,0,0,0.0
lapse_staged,2.2,0,0,0,0.0
lapse_staged,2.4,0,0,0,0.0
lapse_staged,2.6,0,0,0,0.0
lapse_staged,2.8,0,0,0,0.0
lapse_staged,3.0,0,0,0,0.0
ungated_windows,-8.0,3838,92,0,0.18502557625274607
ungated_windows,-7.8,3740,93,0,0.1429136669525873
ungated_windows,-7.6,3485,94,1,0.12011680131457156
ungated_windows,-7.4,3181,89,0,0.12011572329341993
ungated_windows,-7.2,2862,85,0,0.12011572329341993
ungated_windows,-7.0,2550,82,0,0.12011572329342264
ungated_windows,-6.8,2202,80,0,0.12011572329342264
ungated_windows,-6.6,1806,75,0,0.12011572329342264
ungated_windows,-6.4,1385,62,0,0.12011572329342264
ungated_windows,-6.2,889,51,0,0.12011572329341993
ungated_windows,-6.0,331,35,0,0.12011572329342196
ungated_windows,-5.8,38,3,0,0.12011572329342264
ungated_windows,-5.6,7,7,5,0.12011572329342264
ungated_windows,-5.4,10,8,0,0.12011572329342264
ungated_windows,-5.2,3,1,0,0.12011572329342264
ungated_windows,-5.0,2,2,0,0.12011572329341993
ungated_windows,-4.8,0,0,0,0.12011572329342264
ungated_windows,-4.6,0,0,0,0.12011572329342196
ungated_windows,-4.4,0,0,0,0.12011572329341993
ungated_windows,-4.2,0,0,0,0.12011572329342196
ungated_windows,-4.0,0,0,0,0.12011572329342264
ungated_windows,-3.8,0,0,0,0.12011572329342196
ungated_windows,-3.6,0,0,0,0.12011572329339895
ungated_windows,-3.4,0,0,0,0.1201157232934003
ungated_windows,-3.2,0,0,0,0.1201157232934003
ungated_windows,-3.0,0,0,0,0.12011572329339895
ungated_windows,-2.8,0,0,0,0.12011572329339895
ungated_windows,-2.6,0,0,0,0.12011572329340232
ungated_windows,-2.4,0,0,0,0.12011572329346729
ungated_windows,-2.2,0,0,0,0.1201157232970165
ungated_windows,-2.0,0,0,0,0.12011572343407342
ungated_windows,-1.8,0,0,0,0.1432530149886266
ungated_windows,-1.6,0,0,0,0.168954104379085
ungated_windows,-1.4,0,0,0,0.19030156457592565
ungated_windows,-1.2,0,0,0,0.43966339104832114
ungated_windows,-1.0,0,0,0,0.5338579498090713
ungated_windows,-0.8,0,0,0,0.5462651582810104
ungated_windows,-0.6,0,0,0,0.5362615892468107
ungated_windows,-0.4,0,0,0,0.4950758019119446
ungated_windows,-0.2,0,0,0,0.39426862488472014
ungated_windows,0.0,0,0,0,0.2803736064838191
ungated_windows,0.2,0,0,0,0.2803018062217913
ungated_windows,0.4,0,0,0,0.2158250111949372
ungated_windows,0.6,0,0,0,0.21049991756756967
ungated_windows,0.8,0,0,0,0.48460175150173224
ungated_windows,1.0,478,43,0,0.7247687306205653
ungated_windows,1.2,88,47,0,0.17900227725844814
ungated_windows,1.4,0,0,0,0.0
ungated_windows,1.6,0,0,0,0.0
ungated_windows,1.8,0,0,0,0.0
ungated_windows,2.0,0,0,0,0.0
ungated_windows,2.2,0,0,0,0.0
ungated_windows,2.4,0,0,0,0.0
ungated_windows,2.6,0,0,0,0.0
ungated_windows,2.8,0,0,0,0.0
ungated_windows,3.0,0,0,0,0.0
flat_plateau,-8.0,0,0,0,3.320792352117615e-79
flat_plateau,-7.8,0,0,0,1.9968887443065326e-73
flat_plateau,-7.6,0,0,0,2.101192489234334e-68
flat_plateau,-7.4,0,0,0,7.929840743520302e-65
flat_plateau,-7.2,0,0,0,3.265780278918206e-61
flat_plateau,-7.0,0,0,0,5.7302602136811615e-58
flat_plateau,-6.8,0,0,0,1.741956100249286e-54
flat_plateau,-6.6,0,0,0,7.167580013230499e-51
flat_plateau,-6.4,0,0,0,2.208366843571107e-47
flat_plateau,-6.2,0,0,0,5.207949161819445e-44
flat_plateau,-6.0,0,0,0,9.619245623978398e-41
flat_plateau,-5.8,0,0,0,1.4119349433414829e-37
flat_plateau,-5.6,0,0,0,1.5892693032689628e-34
flat_plateau,-5.4,0,0,0,1.3706629956464514e-31
flat_plateau,-5.2,0,0,0,9.048109181075217e-29
flat_plateau,-5.0,0,0,0,4.6759450547990124e-26
flat_plateau,-4.8,0,0,0,1.9184101410646493e-23
flat_plateau,-4.6,0,0,0,6.033588982374094e-21
flat_plateau,-4.4,0,0,0,1.45331197723589e-18
flat_plateau,-4.2,0,0,0,2.6774948944925233e-16
flat_plateau,-4.0,0,0,0,3.765652471179298e-14
flat_plateau,-3.8,0,0,0,3.966056844733913e-12
flat_plateau,-3.6,0,0,0,1.7744058385473223e-10
flat_plateau,-3.4,0,0,0,3.27264217971133e-09
flat_plateau,-3.2,0,0,0,4.613665974919533e-08
flat_plateau,-3.0,0,0,0,9.1119380585929e-07
flat_plateau,-2.8,0,0,0,0.002566440687662602
flat_plateau,-2.6,1,1,0,0.02587421446230663
flat_plateau,-2.4,7,7,0,0.06751111782322868
flat_plateau,-2.2,7,7,0,0.1057439862756465
flat_plateau,-2.0,14,14,0,0.12438615163318986
flat_plateau,-1.8,13,10,0,0.14638972321059743
flat_plateau,-1.6,39,14,0,0.17265357086768676
flat_plateau,-1.4,60,13,0,0.19446846104443352
flat_plateau,-1.2,734,40,0,0.44929038405346217
flat_plateau,-1.0,875,39,0,0.5443376813095349
flat_plateau,-0.8,897,42,0,0.5569884456065819
flat_plateau,-0.6,902,41,0,0.5467885046394322
flat_plateau,-0.4,909,40,0,0.5047942325886244
flat_plateau,-0.2,933,42,0,0.4020081918038352
flat_plateau,0.0,939,44,0,0.29488428425993
flat_plateau,0.2,798,45,0,0.29480876799025235
flat_plateau,0.4,350,34,0,0.21547923265665056
flat_plateau,0.6,10,10,0,0.11396143450479353
flat_plateau,0.8,7,7,0,0.07475430282021617
flat_plateau,1.0,0,0,0,0.03024244032945005
flat_plateau,1.2,0,0,0,0.003608341626885679
flat_plateau,1.4,0,0,0,0.0
flat_plateau,1.6,0,0,0,0.0
flat_plateau,1.8,0,0,0,0.0
flat_plateau,2.0,0,0,0,0.0
flat_plateau,2.2,0,0,0,0.0
flat_plateau,2.4,0,0,0,0.0
flat_plateau,2.6,0,0,0,0.0
flat_plateau,2.8,0,0,0,0.0
flat_plateau,3.0,0,0,0,0.0
convexity_0p05,-8.0,0,0,0,3.320792352117615e-79
convexity_0p05,-7.8,0,0,0,1.9968887443065326e-73
convexity_0p05,-7.6,0,0,0,2.101192489234334e-68
convexity_0p05,-7.4,0,0,0,7.929840743520302e-65
convexity_0p05,-7.2,0,0,0,3.265780278918206e-61
convexity_0p05,-7.0,0,0,0,5.7302602136811615e-58
