design,type_iv,samples_with_type_iv,unresolved,worst_envelope_ratio,resolved_crossings,samples_with_band,widest_band
lapse_static,0,0,0,0.5462651582810104,0.0,0.0,0.0
lapse_staged,0,0,0,0.5462651582810104,0.0,0.0,0.0
ungated_windows,26895,949,6,0.7247687306205653,39.0,20.0,0.0020010000000008077
flat_plateau,7495,450,0,0.5569884456065819,24.0,24.0,0.0020010000000008077
convexity_0p05,412,35,0,0.5551867234089232,0.0,0.0,0.0
packet_lapse_e3,232,20,0,1.4849026532755754,0.0,0.0,0.0
sheath_e4,0,0,0,0.5462651582810104,0.0,0.0,0.0
sheath_e0p5,0,0,0,0.5462651582810104,0.0,0.0,0.0
no_sheath,92247,2189,5,0.5462651582810104,0.0,0.0,0.0
flat_plateau_e10,0,0,0,0.0013806363219253264,17.0,11.0,1.5000000000320313e-05
