design,s,z,crossings,width
ungated_windows,-7.4,-6.48,2,0.0020010000000008077
ungated_windows,-6.6,-6.48,2,0.0020010000000008077
ungated_windows,-6.4,-6.48,2,0.0020010000000008077
ungated_windows,-7.2,-6.48,2,0.0020010000000008077
ungated_windows,-6.8,-6.48,2,0.0020010000000008077
ungated_windows,-7.6,-6.48,2,0.0020010000000008077
ungated_windows,-7.0,-6.48,2,0.0020010000000008077
ungated_windows,-7.8,-6.48,2,0.0020010000000008077
ungated_windows,-6.2,-6.48,2,0.0020010000000008077
ungated_windows,-7.2,-6.46,2,0.0020010000000008077
ungated_windows,-6.8,-6.46,2,0.0020010000000008077
ungated_windows,-7.0,-6.46,2,0.0020010000000008077
ungated_windows,-7.4,-6.46,2,0.0020010000000008077
ungated_windows,-6.6,-6.46,2,0.0020010000000008077
ungated_windows,1.0,2.2554761905,1,0.0020010000000008077
ungated_windows,1.0,3.2154761905,1,0.0020010000000008077
ungated_windows,1.0,2.2754761905,1,0.0020010000000008077
ungated_windows,1.2,3.5854761905,1,0.0020010000000008077
ungated_windows,-5.8,-5.94,1,0.0
ungated_windows,1.2,3.6054761905,1,0.0020010000000008077
ungated_windows,1.2,3.6254761905,1,0.0020010000000008077
ungated_windows,-6.0,-5.94,2,0.0
ungated_windows,-5.8,-5.92,1,0.0
ungated_windows,-7.0,-5.9,1,0.0
flat_plateau,-0.8,0.02,1,0.0020010000000008077
flat_plateau,-0.6,0.44,1,0.0020010000000008077
flat_plateau,-1.0,-0.4,1,0.0020010000000008077
flat_plateau,-0.8,0.04,1,0.0020010000000008077
flat_plateau,-0.6,0.46,1,0.0020010000000008077
flat_plateau,-1.0,-0.38,1,0.0020010000000008077
flat_plateau,-0.4,0.86,1,0.0020010000000008077
flat_plateau,-0.4,0.88,1,0.0020010000000008077
flat_plateau,-0.2,1.28,1,0.0020010000000008077
flat_plateau,-0.2,1.32,1,0.0020010000000008077
flat_plateau,-0.6,0.42,1,0.0020010000000008077
flat_plateau,-0.8,0.0,1,0.0020010000000008077
flat_plateau,-0.4,0.84,1,0.0020010000000008077
flat_plateau,-0.2,1.3,1,0.0020010000000008077
flat_plateau,-1.0,-0.42,1,0.0020010000000008077
flat_plateau,0.2,1.3,1,0.0020010000000008077
flat_plateau,-1.2,-0.8154202942,1,0.0020010000000008077
flat_plateau,-1.2,-0.7954202942,1,0.0020010000000008077
flat_plateau,0.2,1.24,1,0.0020010000000008077
flat_plateau,0.2,1.22,1,0.0020010000000008077
flat_plateau,0.0,0.82,1,0.0020010000000008077
flat_plateau,0.0,0.8,1,0.0020010000000008077
flat_plateau,-1.2,-1.7354202942,1,0.0020010000000008077
flat_plateau,0.0,0.84,1,0.0020010000000008077
flat_plateau_e10,-0.8,0.04,1,1.5000000000320313e-05
flat_plateau_e10,-0.6,0.46,1,1.5000000000320313e-05
flat_plateau_e10,-1.0,-0.38,1,1.5000000000320313e-05
flat_plateau_e10,-0.8,0.02,1,9.000000000369823e-06
flat_plateau_e10,-0.6,0.44,1,9.000000000369823e-06
flat_plateau_e10,-0.4,0.88,1,1.09999999997612e-05
flat_plateau_e10,-1.0,-0.4,1,9.000000000369823e-06
flat_plateau_e10,-0.4,0.86,1,7.000000000090267e-06
flat_plateau_e10,-0.2,1.28,1,0.0
flat_plateau_e10,-0.8,0.06,1,1.09999999997612e-05
flat_plateau_e10,-0.2,1.3,1,0.0
flat_plateau_e10,-0.6,0.48,1,1.09999999997612e-05
flat_plateau_e10,-1.0,-0.36,1,1.09999999997612e-05
flat_plateau_e10,-0.4,0.84,1,0.0
flat_plateau_e10,-1.2,-0.7954202942,1,0.0
flat_plateau_e10,-0.2,1.26,1,0.0
flat_plateau_e10,-1.2,-0.8154202942,1,0.0
