variant,coord_volume,proper_volume,proper_volume_ordinary,proper_volume_nec_respecting,proper_volume_nec_violating,proper_volume_negative_rest_energy,proper_volume_nec_respecting_negative_energy,proper_volume_without_static_frame,proper_volume_violating_z,proper_volume_violating_r,proper_volume_violating_phi,type_iv,unresolved,eulerian_positive,eulerian_negative,rest_negative,killing_energy,komar_density,komar_abs,nec_content_coord,nec_content_proper,min_null,min_rest_energy,max_abs_component,max_source_speed,max_static_frame_speed,max_source_speed_vs_static,max_alpha,peak_nec_content,peak_negative_energy
lapse_static,199549.29223695147,199549.29223695147,0.0,23637.458173943673,91293.00586149165,1628.964829282304,1354.5183644427436,0.0,47197.53487216777,60842.948490280985,39500.71401673665,0,0,0.0,-0.00030965613313579287,-0.010131269645117055,-0.020205011146525367,270.62782258178896,278223.04217402794,1616.3467603281165,1616.3467603281165,-0.4803187184317396,-0.0006575466612659397,2.5393114569646094,0.2288800171758921,0.03728648188529935,0.23305046506804641,256.3588390787225,175.2991301914051,0.00018665263902526444
lapse_staged,199549.29223695147,199549.29223695147,0.0,6898.292577040056,19282.137553994286,1282.7738957580714,1119.978503794795,0.0,9454.499371183007,10337.276702940282,4284.395428507555,0,0,0.0,-0.00030965613313579287,-0.010131449606062062,-0.020205011146525367,0.447870570759922,266208.4920889261,798.6048313351954,798.6048313351954,-0.4684348354483277,-0.0006575466612659397,2.8748225067257893,0.2288800171758921,0.03728648188529935,0.23305046506804641,256.3588390787225,140.82908406232337,0.00018665263902526444
