x,time,required_endpoint_completion,closed_cell_force_lower_bound,witness_applies,acceleration,pressure_to_electric,dec_skin_force_per_energy_min,dec_skin_force_per_energy_max
-2.0998046875,1.282490234375,-0.014670582805266397,0.08539007150228888,False,0.7594155020122915,2.8871153775944927,0.5751160842510682,0.9437149197735147
-2.0994140625,1.282490234375,-0.014592508143367502,0.08484548684881646,False,0.7592923332148485,2.8982814417614557,0.5751661335515481,0.9434185328781488
-2.0990234375,1.282490234375,-0.014473581523022206,0.08425973563424881,False,0.7591678965230643,2.909759417995139,0.5752148985471922,0.9431208944989363
-2.0986328125,1.282490234375,-0.014313914599499274,0.0836329393947035,False,0.7590421949172896,2.921560543113703,0.5752623818060045,0.9428220080285747
-2.0982421875000004,1.282490234375,-0.014155204297409213,0.08300680493328455,False,0.7589152313771157,2.9336966020398982,0.5753085858961283,0.9425218768581031
-2.0978515625,1.282490234375,-0.01399744353672049,0.08238133504533374,False,0.7587870088813553,2.946179961640563,0.5753535133858287,0.9422205043768819
-2.0974609375,1.282490234375,-0.013840625224148789,0.0817565325090699,False,0.7586575304080281,2.9590236071042266,0.5753971668434761,0.9419178939725801
-2.0970703125,1.282490234375,-0.013684742253935253,0.08113240008561208,False,0.7585267989343423,2.9722411810824396,0.5754395488375303,0.9416140490311542
-2.0966796875,1.282490234375,-0.013529787508621778,0.0805089405190199,False,0.7583948174366797,2.9858470258420353,0.575480661936524,0.9413089729368354
-2.0962890625000004,1.282490234375,-0.013375753859816309,0.07988615653632399,False,0.7582615888905792,2.9998562287027672,0.575520508709047,0.9410026690721113
-2.0958984375,1.282490234375,-0.01322263416895081,0.07926405084755571,False,0.7581271162707184,3.0142846710627222,0.575559091723729,0.9406951408177078
-2.0955078125,1.282490234375,-0.013070421288034708,0.0786426261457888,False,0.7579914025508988,3.029149081346163,0.5755964135492225,0.9403863915525751
-2.0951171875,1.282490234375,-0.01291910806039661,0.07802188510716213,False,0.7578544507040281,3.0444670922456063,0.5756324767541888,0.9400764246538674
-2.0947265625,1.282490234375,-0.012768687321423363,0.07740183039092152,False,0.757716263702106,3.0602573026690876,0.5756672839072806,0.9397652434969314
-2.0943359375000004,1.282490234375,-0.012619151899289183,0.07678246463945013,False,0.7575768445162059,3.0765393448508878,0.5757008375771259,0.9394528514552859
-2.0939453125,1.282490234375,-0.012470494615677808,0.07616379047829934,False,0.7574361961164595,3.0933339571345635,0.5757331403323123,0.9391392519006068
-2.0935546875,1.282490234375,-0.012322708286500077,0.07554581051623058,False,0.7572943214720409,3.110663062995365,0.5757641947413703,0.9388244482027115
-2.0931640625,1.282490234375,-0.012175785722600186,0.07492852734523865,False,0.7571512235511487,3.1285498569359333,0.5757940033727574,0.93850844372954
-2.0927734375,1.282490234375,-0.012029719730459331,0.07431194354059475,False,0.7570069053209937,3.1470188979618854,0.5758225687948441,0.9381912418471433
-2.0923828125000004,1.282490234375,-0.01188450311288962,0.07369606166087667,False,0.7568613697477788,3.1660962114302404,0.5758498935758944,0.9378728459196632
-2.0919921875,1.282490234375,-0.011740128669721208,0.07308088424800063,False,0.7567146197966848,3.185809400158579,0.5758759802840534,0.9375532593093161
-2.0916015625,1.282490234375,-0.01159658919848501,0.07246641382726361,False,0.756566658431856,3.2061877657920475,0.57590083148733,0.937232485376382
