reference_fraction,l,heat,velocity,effective_n,endpoint_heat_rate,electrical_heat_rate,relaxation_heat_rate,net_heat_rate,thermal_inventory,field_slice_inventory,endpoint_power,endpoint_force
0.0,-2.1,0.6456436721397347,9.069480282491003e-39,14.422774433848053,0.0,0.0,5.235108312754097,5.235108312754097,0.0811339766892368,0.0,0.0,0.0
0.031249999999999997,-2.0990980856691497,0.5963986404894124,0.9518745711593505,2.6463654275760695,-8.213762587784975e-06,0.0,0.27610939207541835,0.27610117831283054,0.14989132700579774,2.5222070028347467e-06,-5.50824113198951e-07,-1.0036497951999412e-06
0.0625,-2.0969974434405185,0.8653313286708939,-0.7916996403384983,1.4478761013914276,0.0005425443301669245,0.0,0.4383946387041064,0.4389371830342733,0.21748148360588526,0.00013034541918657185,-5.949535319856326e-06,-1.084772687410503e-05
0.09375,-2.0882479423197973,1.1485344659033552,-0.311528880628057,0.5402840782016172,0.013114918175356507,0.0,0.18251943547075383,0.19563435364611034,0.2886581952381316,0.0008733979387823443,-8.159401471806919e-05,-0.0001492297822740979
0.125,-2.05328952953888,1.4880764462519291,0.3596313136049085,0.559646179932378,0.028000820162944657,0.0,6.016003139357671,6.044003959520615,0.3739944025220041,0.0008398413078957941,-0.0007787746854386584,-0.0014517377038686502
0.15625,-2.052226136766255,2.186924536934422,0.09803013728091664,9.785185276941602,0.004095446852399718,0.0,33.22576599599116,33.22986144284356,0.5496340847350734,5.12516420420499e-05,-0.0008008541132822741,-0.001494071039713971
0.1875,-2.051101752585277,2.5836618103025124,-0.862344703468167,0.563665490449696,0.23441028672643305,0.0,6.323303281282918,6.557713568009351,0.6493450370085481,0.0004528747747233981,-0.0008238910937079269,-0.0015383516939273829
0.21875,-2.032991704415826,2.974889124612157,0.48833189241317176,0.35783748107645047,0.015057120286387442,0.0,2.4839634747238764,2.499020595010264,0.7476711855300553,0.001238646299627537,-0.0011332001158632957,-0.0021504048874916534
0.25,-2.002637577201488,2.856986358135788,-0.972582245056506,0.05235298727334295,5.132360389246919,0.0,0.04005327941494485,5.172413668661864,0.7180389883300495,0.002284501168485899,-0.001289122082725794,-0.002552170122445433
0.28125,-1.9552849541563881,2.450153742142455,-0.9806714469922575,0.03025947576588896,6.598141519824181,0.0,0.00987538342691785,6.608016903251099,0.61579079971842,0.003391074474335094,-0.000728519487209211,-0.0017043832774656302
0.3125,-1.9103615247467816,2.258151430484735,-0.986416217778118,0.02175045520285599,3.155800683665859,0.0,0.0057341459907855885,3.161534829656645,0.5675353555763282,0.00403544978791916,-0.00010675390398316533,-0.000608668672323793
0.34375,-1.8666918298544009,2.1590745555327158,-0.9899807090994092,0.015816474752857253,2.457303336570094,0.0,0.003689313589479326,2.4609926501595734,0.5426346209771363,0.004858545655141761,9.209053935224789e-06,-0.0003559129866096745
0.375,-1.8238173878570272,1.7848062998743388,-0.9928566389612903,0.01124393470445861,1.5760056788376757,0.0,0.001661787792491154,1.5776674666301669,0.4485707487812788,0.005880574027040449,6.351154462994095e-05,-0.00019911271889890892
0.40625,-1.7812096413623686,1.4002656520608254,-0.995410380146681,0.00754024037783601,-0.08069506123955549,0.0,2.1626778435410166e-05,-0.08067343446112007,0.3519251428470716,0.007162385470408137,9.01478639654378e-05,-8.658968070085477e-05
0.4375,-1.7384092264572168,0.9889692359280355,-0.9974001150940334,0.004685066524652503,-3.213316337304915,0.0,0.002704080263583819,-3.210612257041331,0.24855507889742534,0.008841440568668608,9.793078733750047e-05,-1.3827087009372826e-05
0.46875,-1.6943019147591076,0.3652160085609116,-0.9989596217815395,0.002319435897326886,-10.952220751563878,0.0,0.021269896132174893,-10.930950855431703,0.09178879435746742,0.01151987895122503,9.491434431804316e-05,2.707653646596369e-05
0.5,-1.644905780944698,1.2202436033374791e-08,-0.9995337510815602,0.0011570281695807685,-29.27341625953063,0.17316889090118842,0.060217442795504394,-29.040029925833938,3.066806671867959e-09,0.015792372916622523,8.461042724131914e-05,5.344613453204872e-05
0.53125,-1.5896918480203426,1.2942663824757281,-0.9971757567733962,0.002450959245381884,-16.453551470932418,0.0,0.023725933649799913,-16.429825537282618,0.32528462071791764,0.018797763463582157,6.415223212463075e-05,7.416588755184146e-05
0.5625,-1.5442871685779296,3.1850609283063585,-0.9927379061693201,0.004319916373129086,-8.857502224042856,0.0,0.0053513548072103845,-8.852150869235645,0.8004931210882487,0.017430972213257033,4.297751233437076e-05,7.202349831942506e-05
0.59375,-1.5103732597051878,4.455776448892428,-0.9910993407336823,0.004636973634395866,-6.814983637084482,0.0,0.0021743638607834015,-6.8128092732236984,1.1198587646303053,0.01824473478650241,2.955673720263562e-05,5.6819147116364656e-05
0.625,-1.4701951466273158,4.454369870472481,-0.9891418190737685,0.0031809917570193506,-6.796325626986821,0.0,0.0029726061526025305,-6.7933530208342185,1.1195052529158411,0.029893810075780184,1.987995660967715e-05,3.3167225158578376e-05
0.65625,-1.4034086908993542,5.537655691098468,-0.9720293475195634,0.0027271646664815325,-5.1388926558864085,0.0,0.00017800901489462007,-5.138714646871514,1.3917646749811676,0.057421820216329,1.3122948055327695e-05,1.6180306553422137e-05
0.6875,-1.3005025380232276,5.818834226580524,-0.9355324613600433,0.0023947821474459836,4.8988049063395565,0.0,0.005917661055332424,4.904722567394889,1.4624325486945726,0.10302396402906704,-5.025581532127805e-06,-1.5160254011624167e-05
0.71875,-1.1666589819256674,3.7680341096195846,-0.9045559421020465,0.0019388020572348992,-11.76369486838657,0.0,0.01710132985807178,-11.746593538528499,0.9470102621805283,0.1630872003850204,1.6412433195299617e-05,1.4748418297180385e-05
0.75,-1.011658010399319,5.162466055808849,-0.49318187474574093,0.004004988162235132,0.7927751842591549,0.0,0.014016470327805175,0.8067916545869601,1.2974692348268557,0.1723656281540878,-1.999179898319142e-06,-3.3304808489472616e-06
0.78125,-0.9237976392821939,5.587248961811566,-0.8718880883551123,0.004735897550235856,-0.2720622855963023,0.0,0.5668327207768351,0.2947704351805328,1.404228823376348,0.0851342644105919,6.324095486862909e-07,9.570803572195752e-07
0.8125,-0.9034658959205109,6.2680959505888065,-0.3663979148426261,0.010754476535382218,-0.05078886697502914,0.0,0.0986643301081771,0.04787546313314796,1.5753443352292527,0.07182763690662956,3.691032632476893e-07,6.959106121329031e-07
0.84375,-0.8344688880902684,6.305381242079351,-0.6878255047350916,0.008227506485097071,0.036167121197778644,0.0,0.14988928480515323,0.18605640600293188,1.5847151510559445,0.0752886924572864,-1.8774483984763936e-07,-2.3258890521565506e-07
0.875,-0.8159673621232834,5.949940024299616,-0.3747266432827749,0.04557695860649754,0.0043679700635729036,0.0,1.1570887705775164,1.1614567406410892,1.4953830295711588,0.01748444784773865,-1.5073681310238182e-07,-2.2351555971481128e-07
