reference_fraction,l,heat,velocity,effective_n,endpoint_heat_rate,electrical_heat_rate,relaxation_heat_rate,net_heat_rate,thermal_inventory,field_slice_inventory,endpoint_power,endpoint_force
0.0,-2.1,0.2500000000000001,3.4806602869821435e-25,0.5001380796961291,0.0,0.0,0.0,0.0,0.03141592653589783,0.0,0.0,0.0
0.031249999999999997,-2.079433202005312,0.26795082273913473,0.15869499095341041,0.7467834415358745,0.004635801081788529,0.0,0.0,0.004635801081788529,0.06734338689924829,2.8979242952440607e-05,-8.299377284729392e-05,-0.00020907604261542718
0.0625,-2.075225463580735,0.4040821141996694,-0.3671291784216819,1.0728577549072569,0.01444060266398045,0.0,0.0,0.01444060266398045,0.1015569121133367,0.0002698007874303412,-0.00011432244593814797,-0.0002870835858418617
0.09375,-2.0634985239852295,0.594688982307757,0.04466783519364187,0.4216791319859736,0.032996713905164676,0.0,0.0,0.032996713905164676,0.14946164303910667,0.0011865429015247583,-0.00021309742483272681,-0.0005306745941724756
0.125,-2.033992078565749,0.9053937472202368,-0.7941313139927032,0.12610168846811365,0.860284481895637,0.0,0.0,0.860284481895637,0.22755026758985764,0.0024429503507533506,-0.00045079657617407194,-0.0011024575208668616
0.15625,-1.9905666937404056,1.227450950845656,-0.8434128109721302,0.07296400208936656,2.209777456825137,0.0,0.0,2.209777456825137,0.30849207118548044,0.0037993654772149224,-0.0005523328080992351,-0.0013213234417405939
0.1875,-1.9438461454944969,1.4198346975037168,-0.8744333147788549,0.05032111469507518,2.4465590170284877,0.0,0.0,2.4465590170284877,0.3568433803991638,0.005071282959790254,-0.00034587436274719993,-0.0008064016899746011
0.21875,-1.8971287135804145,1.6696837670490154,-0.8928761543543804,0.03689373008770221,1.8499813555496507,0.0,0.0,1.8499813555496507,0.41963730051034404,0.006546105106904078,-0.00015612046434581342,-0.0003595882243654161
0.25,-1.8504460025637641,1.744907768342693,-0.9048650079329307,0.027783753422739237,1.8828493941266649,0.0,0.0,1.8828493941266649,0.43854315409737166,0.008380042518195142,-9.516510080068577e-05,-0.00022422655589248602
0.28125,-1.8044765061649093,1.5934057053514665,-0.9157867351715266,0.02140891322075941,1.734629728380802,0.0,0.0,1.734629728380802,0.400466532649617,0.010462915298789776,-5.524500479660376e-05,-0.00012823679065312237
0.3125,-1.7601362551978403,1.601170975986344,-0.9280693025434996,0.016451972995697724,1.4469300760311303,0.0,0.0,1.4469300760311303,0.4024181580239904,0.012864842067045445,-3.076291065192543e-05,-6.501903730424727e-05
0.34375,-1.7165039275651162,1.61528604499327,-0.9395932239300291,0.012491584556690239,1.002506297804001,0.0,0.0,1.002506297804001,0.40596566179175614,0.015868711546906156,-1.6463204992104415e-05,-2.474292296227084e-05
0.375,-1.6731691335718069,1.4353580514397852,-0.9497388879797615,0.009443317291027554,0.38686080576766285,0.0,0.0,0.38686080576766285,0.36074482477393394,0.019561713417445885,-8.891746663343865e-06,-8.119159510990484e-07
0.40625,-1.6296463141797741,1.3605449513520673,-0.9572266960506414,0.007213316891303864,-0.4002002937019758,0.0,0.0,-0.4002002937019758,0.3419422419237058,0.024124736223487108,-4.977977318034386e-06,1.1893171522661122e-05
0.4375,-1.585533437733554,1.427180900871324,-0.9603383074166676,0.005702686519064447,-1.2862336999174646,0.0,0.0,-1.2862336999174646,0.35868968268167994,0.029984473722888063,-2.577385507069916e-06,1.6981735041880822e-05
0.46875,-1.5397236295347851,1.5185607716121303,-0.9592926406857674,0.0045316870864586835,-2.1733886461399496,0.0,0.0,-2.1733886461399496,0.381655949130104,0.03900011299339378,-1.2184278980924181e-06,1.7515628278610138e-05
0.5,-1.4884197807183306,1.8236119702561482,-0.9506412307450917,0.0037601580077060957,-2.519187094188851,0.0,0.0,-2.519187094188851,0.4583236775004083,0.05283655847116741,-1.752363626964567e-06,1.5041746898204865e-05
0.53125,-1.4311640407374924,2.5710298799533544,-0.9266811695398622,0.003962657892031375,-1.5441097131715702,0.0,0.0,-1.5441097131715702,0.6461702866417023,0.062306604128764646,-3.5962354182327053e-06,1.1145451067313608e-05
0.5625,-1.3830690985483713,3.9318759775590397,-0.8967516236766077,0.0050437529297125945,-0.5006470193190349,0.0,0.0,-0.5006470193190349,0.9881882148740498,0.05889618517799039,-4.515094839131792e-06,7.71372089783702e-06
0.59375,-1.3453091538111759,5.007097178877086,-0.8884182523004757,0.005050238430576138,0.5953114220307407,0.0,0.0,0.5953114220307407,1.2584207770376301,0.062059165734322,-5.382418170815628e-06,3.1665244518388895e-06
0.625,-1.3017993184982037,4.703441143457515,-0.8810938559604093,0.00344934287803878,4.170112477007006,0.0,0.0,4.170112477007006,1.1821036914302443,0.09546473510198222,-7.033185508253541e-06,-4.448001467635983e-06
0.65625,-1.2337664442828502,4.106616801277767,-0.850035822863666,0.002177323763686859,10.205874174638346,0.0,0.0,10.205874174638346,1.0321053739202082,0.17365563519737862,-6.543461349621708e-06,-9.256047954008503e-06
0.6875,-1.1288318817323528,4.336094272380326,-0.7051795598292366,0.002094355433550528,-2.615574363068984,0.0,0.0,-2.615574363068984,1.0897793529106212,0.25461708054632903,1.246250613920777e-06,2.4042457406400847e-06
