s,x_maximum_difference,x_rms_difference,x_relative_rms_difference,x_interior_relative_rms_difference,x_end_regions_squared_error_fraction,velocity_maximum_difference,velocity_rms_difference,velocity_relative_rms_difference,velocity_interior_relative_rms_difference,velocity_end_regions_squared_error_fraction,heat_maximum_difference,heat_rms_difference,heat_relative_rms_difference,heat_interior_relative_rms_difference,heat_end_regions_squared_error_fraction,charge_maximum_difference,charge_rms_difference,charge_relative_rms_difference,charge_interior_relative_rms_difference,charge_end_regions_squared_error_fraction,density_maximum_difference,density_rms_difference,density_relative_rms_difference,density_interior_relative_rms_difference,density_end_regions_squared_error_fraction,radial_maximum_difference,radial_rms_difference,radial_relative_rms_difference,radial_interior_relative_rms_difference,radial_end_regions_squared_error_fraction,current_maximum_difference,current_rms_difference,current_relative_rms_difference,current_interior_relative_rms_difference,current_end_regions_squared_error_fraction,angular_maximum_difference,angular_rms_difference,angular_relative_rms_difference,angular_interior_relative_rms_difference,angular_end_regions_squared_error_fraction,density_eulerian_volume_relative_l1_difference,radial_eulerian_volume_relative_l1_difference,current_eulerian_volume_relative_l1_difference,angular_eulerian_volume_relative_l1_difference
0.0,4.440892098500626e-16,9.621221172337121e-17,6.973851941984318e-17,6.955187670073882e-17,0.9939233058394694,0.0004304678962565589,6.044185877572788e-05,0.0011209417903641208,0.004540722202377452,0.5090014534400571,0.12597379441552592,0.026149105041488447,0.008211187488249385,0.00767955176372118,0.29648881401030625,0.002200472304580245,0.00042292563059682556,0.003851073872775063,0.0005194028172977796,0.9856225606108814,0.00018906811797569836,2.2244689821608617e-05,0.0039694187044239425,0.0018260637847375104,0.8849632029032471,8.073938368879062e-06,1.1277212379337972e-06,0.00031798830951139357,5.57126459672567e-05,0.9788690323858761,4.345108447624768e-06,5.639240824070048e-07,0.011472840335586681,0.0046988355687158645,0.9924105522996252,8.652741540679851e-06,1.1976562433873513e-06,0.006360729505565323,0.001020031804872162,0.9806437083673363,0.0010907798441764122,0.0001266079086060428,0.006313769598052593,0.002331991354097686
0.005,7.2426330285702e-05,6.474723777614605e-06,4.69308642787505e-06,2.40412782288101e-07,0.9982680527490204,0.0231551461069322,0.0021944802665568347,0.0407900174345427,0.011557067377869847,0.9951572169593185,0.12600606446938034,0.026146560202931757,0.008212546069067492,0.00768099451603518,0.296547208764816,0.002200472304580245,0.00042292563059682556,0.003851073872775063,0.0005194028172977796,0.9856225606108814,0.00018943292898585418,2.230040160320704e-05,0.003978298733770731,0.0018301428237279846,0.8848873979014358,8.31334970272362e-06,1.1707195726253893e-06,0.00033012253118196297,5.448608200543818e-05,0.9812493185586088,5.562231478938155e-05,4.5395275033536556e-06,0.08017885246575494,0.014704651851296748,0.9956256137216809,8.651487084720494e-06,1.1976189377161619e-06,0.0063605205997065255,0.0010200594722294435,0.9806414775306107,0.001099807105498478,0.0001347166267924757,0.0178033581013401,0.0023563686963362237
0.01,0.0002804255305023373,2.5374729692859885e-05,1.8391748925956828e-05,9.547805825748936e-07,0.9982212968187472,0.043863139292569825,0.00425771280014541,0.07521647629399471,0.013634050744146071,0.9951630688347967,0.1260228253309057,0.026143685492980587,0.008213391659635475,0.007681893457351895,0.29660191897774324,0.002200472304580245,0.00042292563059682556,0.003851073872775063,0.0005194028172977796,0.9856225606108814,0.00018991750692322514,2.248723710584467e-05,0.004009534205451847,0.001834579814957074,0.8860772680006344,9.081984668366135e-06,1.3610696314071677e-06,0.0003838745907679417,5.309447675307439e-05,0.9868320831679334,0.00011127192700089167,8.8754856866974e-06,0.11457202792008425,0.01598536327272811,0.9954841938629264,8.64768160181549e-06,1.1974947858454994e-06,0.006359974813674568,0.0010201492235653582,0.9806350040542436,0.0011247038118100017,0.00014705012662903825,0.026651724825738025,0.002381188656282717
0.015,0.000607459921650344,5.565168705349967e-05,4.0334222781547574e-05,2.131855289716176e-06,0.9981561743064084,0.06206393601362417,0.0061720806667585745,0.09980117706285291,0.014031795788637566,0.9949426200319419,0.12602428370397112,0.026140317296977585,0.008213678676681584,0.007682245083964657,0.29664558486992265,0.002200472304580245,0.00042292563059682556,0.003851073872775063,0.0005194028172977796,0.9856225606108814,0.00019052326778815683,2.305170658629199e-05,0.004106984172128892,0.0018394174441190494,0.890829443882575,1.1269101120074503e-05,1.6904513048488425e-06,0.0004769443189222204,5.377760949598013e-05,0.9912483276323028,0.00016682322301313376,1.3166574296498265e-05,0.12657711479730652,0.016196602641081602,0.9953865123175065,8.641586426976383e-06,1.1973066172921916e-06,0.006359213852902347,0.00102031181815698,0.9806246160000845,0.0011730170601000416,0.00016500444041072442,0.03285616126834381,0.002408918583347951
0.02,0.0010347810958368786,9.602384871794236e-05,6.958852553260907e-05,3.759245242694257e-06,0.9980738465636156,0.0774224065684723,0.00790684158360776,0.11478749920904732,0.01407604823901291,0.9946295058778762,0.12601076453519777,0.0261363894855198,0.008213390148282661,0.007682047653946115,0.296675639771409,0.002200472304580245,0.00042292563059682556,0.003851073872775063,0.0005194028172977796,0.9856225606108814,0.00019125203489546785,2.4366683547842047e-05,0.004336768849301933,0.0018447173202756186,0.9015375613452934,1.36941650643904e-05,2.1825596642754355e-06,0.0006161050963401404,5.997216730796961e-05,0.9934768146450077,0.0002221297917561128,1.739933019524742e-05,0.13081283434520566,0.016232549571578277,0.9952966938901692,8.633428673473587e-06,1.1970727313176024e-06,0.006358335119401178,0.0010205588585392035,0.980610460935369,0.0012436026950861934,0.00018700021385799923,0.03710286416179088,0.00244423679892383
0.025,0.0015422873519480573,0.0001450924508321172,0.000105137077467783,5.82354574241848e-06,0.9979749088622331,0.08970022764314778,0.009448722819527118,0.12243287537719742,0.014013196728765442,0.9942397965414482,0.1259827060268517,0.026131884163461832,0.008212523265490409,0.007681301268086387,0.29669167431255294,0.002200472304580245,0.00042292563059682556,0.003851073872775063,0.0005194028172977796,0.9856225606108814,0.00019210603863109924,2.6846239797609792e-05,0.004771871733710655,0.0018505591175642139,0.918189893669367,2.1393938054690975e-05,2.8550623179774015e-06,0.0008064826937662707,7.428539891539685e-05,0.9941581495079169,0.0002770112364032998,2.1564861019998123e-05,0.13209222348718228,0.016221115722399322,0.9952036931891216,8.623390821242151e-06,1.1968066374457942e-06,0.006357410341698048,0.0010209025351658458,0.9805925075559015,0.0013345465973516864,0.00021123056751224927,0.03989282284583185,0.002490104241443345
0.03,0.0021090218855400744,0.00020141493087271706,0.00014593003578545246,8.310464429059545e-06,0.9978592663314976,0.09867368086103014,0.010789487512926521,0.12499560613025458,0.013908001236509166,0.9937695517096109,0.12594065750599315,0.026126816885019007,0.008211085216711494,0.007680007909265214,0.2966946475432637,0.002200472304580245,0.00042292563059682556,0.003851073872775063,0.0005194028172977796,0.9856225606108814,0.0002602301229530958,3.082995783665209e-05,0.005471370147821794,0.0018570397133973213,0.9373760007052266,3.065885902010313e-05,3.7135149729217313e-06,0.001049838420723935,9.708189094269743e-05,0.9941109577126805,0.0003312374107210776,2.5651511115690867e-05,0.13202621630964517,0.01619363109799681,0.9951014269513468,8.611618092868774e-06,1.1965177045622356e-06,0.006356489046611934,0.001021355380109568,0.9805705758692237,0.001442802746046146,0.00023870286360112947,0.0417400218091119,0.0025429771330489565
0.035,0.002713120535102309,0.00026349999480548424,0.00019088199984588114,1.120494102328534e-05,0.9977253526072187,0.10405275412909848,0.011914078811479021,0.12405262901720221,0.013782588674374069,0.9931953162372085,0.12588527857973997,0.026121231532063447,0.008209091693684927,0.007678171463219753,0.296686614268039,0.002200472304580245,0.00042292563059682556,0.003851073872775063,0.0005194028172977796,0.9856225606108814,0.0003615206708645572,3.6515913778649365e-05,0.006468471872329789,0.0018642720195163704,0.9548884474111969,4.1392569855442686e-05,4.7571341412049775e-06,0.0013461942176831246,0.00012756863393514884,0.9938144307005197,0.00038450895561939106,2.9642111868478617e-05,0.13121434201785273,0.01616052007622752,0.9949844772215625,8.59822763405241e-06,1.1962118880949636e-06,0.006355602442595981,0.0010219300284219316,0.9805443693207387,0.0015656404146889215,0.0002689857212846446,0.04289554607219987,0.0026047592389682878
0.04,0.0033315092226342546,0.0003297638622817454,0.0002388406158253404,1.4491311232033075e-05,0.9975697512649284,0.1054766377502718,0.012797774537049195,0.12055749386620011,0.013646193825101158,0.9924718345905895,0.12581733898849734,0.02611519519878625,0.00820656530902573,0.007675797741091103,0.29667045017192906,0.002200472304580245,0.00042292563059682556,0.003851073872775063,0.0005194028172977796,0.9856225606108814,0.0004833172184711444,4.39843895359771e-05,0.007774781137073038,0.001872384051140356,0.9685421160228427,5.347313487159182e-05,5.98400842843382e-06,0.0016953021660774707,0.00016498463924158628,0.9934745850127585,0.0004364328205691044,3.3512790784974755e-05,0.12989347275811025,0.016126060547642245,0.994846945164552,8.583316753384558e-06,1.19589237609553e-06,0.006354766870780475,0.0010226389954417063,0.9805135035222559,0.0017022690082879354,0.00030323350823742673,0.043572663880710294,0.002674027083691853
0.045,0.003939799709417158,0.0003984930528676289,0.00028855997038350475,1.8153484312997777e-05,0.9973870583492707,0.10257337910377198,0.013412111209672953,0.1150894137440177,0.013503283494117845,0.9915304380730419,0.12573771893296426,0.026108793625497142,0.00820353417069146,0.007672894525405321,0.29664960229413584,0.002200472304580245,0.00042292563059682556,0.003851073872775063,0.0005194028172977796,0.9856225606108814,0.0006278421795414112,5.326186647757249e-05,0.009391699109111237,0.0018815176843782295,0.9782660373334648,6.674850139753085e-05,7.393864733909355e-06,0.0020974277933637512,0.00020886716394893343,0.9931655594900586,0.0004864911947162051,3.723207636556348e-05,0.12815205359292037,0.016092291854535118,0.9946818671407986,8.566967920237476e-06,1.1955600259064474e-06,0.006353986141233329,0.0010234944680467698,0.9804775275212407,0.0018491059619987593,0.00034038053217386286,0.04393951693769643,0.0027493538461009974
