s,steps,minimum_heat,coldest_l,maximum_abs_velocity,maximum_sound2,minimum_stretch,maximum_stretch,minimum_relative_cell_width,minimum_packet_gap,minimum_rest_dec_margin,maximum_relaxation_strain,canonical_energy,slice_energy,field_slice_energy,thermal_inventory,canonical_balance_residual,momentum_balance_residual,thermal_balance_residual,canonical_geometry_integral,canonical_endpoint_integral,heat_endpoint_integral,heat_electrical_integral,heat_relaxation_integral,entropy_relaxation_integral,momentum_free_integral,anchor_left_integral,anchor_right_integral
0.16,320,0.2500000000000001,-2.1,0.5400513754004738,0.14488326094272466,0.0012355566059517173,0.2508495136803473,0.6843805499519842,0.31000000000000005,0.0018593006825459862,1.1532796238024607,29949.91712427034,120.13634682819057,4.646592902321791,21.536284098859444,7.740500994364628e-09,-8.242295734817162e-13,-4.185442197610358e-15,-378.0416389527828,4.4251079460308205,0.03730334871217733,0.0,0.0,0.0,-314.44720386450103,-0.03793251323067045,227.67868402069527
0.165,330,0.2500000000000001,-2.1,0.5509931796418812,0.1485692605863206,0.0011931397270578906,0.2583450206872057,0.6657227432417324,0.31500000000000006,0.0017942509949424937,1.185441632598014,29682.543742158698,119.87910642413279,4.613043274047678,21.563571611895913,7.73207430407344e-09,-7.958078640513122e-13,-3.6622619229090635e-15,-399.5359733172712,4.642544603386656,0.039474820004396685,0.0,0.0,0.0,-326.8668789394161,-0.038586191186530394,237.19337194111887
0.17,340,0.2500000000000001,-2.1,0.5627661800635659,0.15251289404931856,0.0011519259623707923,0.2664366238822245,0.6466854134366719,0.32000000000000006,0.001731130136517628,1.2169601493387434,29409.79562566133,119.61178746521568,4.5787907248346,21.59022621244777,7.644827366316853e-09,-7.958078640513122e-13,-8.981261382372226e-15,-421.4483641030001,4.850329909342275,0.04159592572138098,0.0,0.0,0.0,-339.38360917406897,-0.03917489470464753,246.77720419999665
0.17500000000000002,350,0.2500000000000001,-2.1,0.5755966423162512,0.15673468923796163,0.0011115332769614705,0.27518284162312995,0.6272924890573806,0.32500000000000007,0.0016693469009154485,1.247882372478026,29131.8974264303,119.3348645220253,4.543859407435357,21.61613420241575,7.678813156961449e-09,-8.526512829121202e-13,-7.586113983168774e-15,-443.760132399232,5.047662163594402,0.04365761805587048,0.0,0.0,0.0,-351.99013523556334,-0.039692369527263495,256.4179871581362
0.18,360,0.2500000000000001,-2.1,0.589654744865109,0.1613414894832707,0.0010716226325320607,0.2846494600839622,0.6075702538661364,0.32999999999999996,0.0016083788665648274,1.2782596373106365,28849.083173919942,119.04885462122978,4.508272412585734,21.64120892977325,7.703445879441785e-09,-9.094947017729282e-13,-1.203314631812978e-14,-466.45210362706405,5.233990259492749,0.04565300145868452,0.0,0.0,0.0,-364.6784980509199,-0.04013144939357914,266.10334382172795
0.185,370,0.2500000000000001,-2.1,0.6050425295663997,0.16663926780740299,0.001031907880095562,0.2949104493885073,0.5875477057446709,0.3350000000000001,0.0015477869493268626,1.3081437998951682,28561.583569722647,118.75428110674315,4.472051479972023,21.665364811456726,7.768069106972889e-09,-1.0231815394945443e-12,-8.370884395220716e-15,-489.5054132575195,5.4088083174616575,0.04757526544601842,0.0,0.0,0.0,-377.44034320284715,-0.04048388818348941,275.82093942113016
0.19,380,0.2500000000000001,-2.1,0.6217839165270568,0.17235124538567104,0.0009921662386399896,0.306048950633739,0.5672569820864324,0.33999999999999997,0.001487230800009516,1.3375847571341621,28269.639439475653,118.45168944639936,4.43521869653194,21.68851606818155,7.676257246926108e-09,-8.526512829121202e-13,-1.32539002924328e-14,-512.9004266256973,5.571645967910268,0.049417583919291574,0.0,0.0,0.0,-390.26723410284,-0.040740157725792515,285.55874235763
0.195,390,0.2500000000000001,-2.1,0.6398181674831429,0.1785150350486272,0.0009522482285574305,0.31815830166277514,0.5467338653671768,0.3450000000000001,0.001426483292100815,1.366626489776963,27973.508245474928,118.14165259832681,4.397797608234797,21.71057670040854,7.809320825272535e-09,-9.094947017729282e-13,-3.8366553478094945e-15,-536.6162206230154,5.722068300757622,0.05117311325261972,0.0,0.0,0.0,-403.15052143434724,-0.04088920395040453,295.3051041970143
0.2,400,0.2500000000000001,-2.1,0.6589990468651603,0.18517154341658065,0.0009120863174217687,0.33134304737270204,0.52601838507184,0.35,0.0013654429551023528,1.3953043604912923,27673.46420014843,117.82477006143189,4.359813944253193,21.731460451341945,7.73121489327553e-09,-9.094947017729282e-13,-1.0114818644225033e-14,-560.6305745800373,5.859675778285279,0.05283498934829592,0.0,0.0,0.0,-416.08089248835444,-0.040918152775919675,305.0487079627989
0.20500000000000002,410,0.2500000000000001,-2.1,0.6790999466658603,0.19236486263872735,0.0008717016832294618,0.34571983681537244,0.5051555350614141,0.3550000000000001,0.0013041434487945855,1.423643572037129,27369.79764575346,117.50166563447071,4.321296205932833,21.751080753601556,5.5594280010626925e-09,-9.663381206337363e-13,-5.144606034562732e-15,-584.92001949838,5.98410410497906,0.05439632339308261,0.0,0.0,0.0,-429.0482172060821,-0.04081195584237471,314.7786350373417
0.21,420,0.2500000000000001,-2.1,0.6998219235014653,0.2001419085131736,0.0008312098685343081,0.36141804137517297,0.48419612879839485,0.36,0.0012427612303261282,1.4516561413524824,27062.81590463853,117.17298043980186,4.282275975927979,21.76935065889535,5.457258566724226e-09,-1.1368683772161603e-12,-1.4213064129385174e-14,-609.4597702123606,6.095024050268885,0.05585019626174705,0.0,0.0,0.0,-442.04103543423156,-0.04055296530170966,324.48439201415766
0.215,430,0.2500000000000001,-2.1,0.7208079245818122,0.20855166890641824,0.0007908239713067631,0.3785798323880916,0.4631978176176882,0.365,0.0011816193886033735,1.4793411990868366,26752.841521736158,116.83936468903433,4.242788465988899,21.786182727141004,5.453720472919845e-09,-1.0800249583553523e-12,-1.4038670704484743e-14,-634.2238649781154,6.192141180637981,0.057189649693625284,0.0,0.0,0.0,-455.04589893072915,-0.04012042684764511,334.15595254867407
0.22,440,0.2500000000000001,-2.1,0.7416785779948687,0.21764386541246347,0.0007508306328638235,0.3973592967962067,0.4422262998093289,0.37,0.0011211504685635157,1.5066842613430893,26440.211692288434,116.5014713997337,4.2028723157776335,21.801488943139653,5.356919565773513e-09,-1.3073986337985843e-12,-1.142276933097827e-14,-659.1852108409379,6.275195686177234,0.05840767966173368,0.0,0.0,0.0,-468.0476862292829,-0.03948988209074652,343.78389679190224
