s,level,points,min_optimistic_f,witness_l,witness_r,lp_analytic_objective_error,ordinary_energy_lower_bound,outer_mass_increment_lower_bound,scope
0.745,0,135,5.121851325173843e-06,-0.5,2.1136133035711087,6.661338147750939e-16,1.1975661760906178,-0.8082281113458049,fixed reference current and static background; positive total-enthalpy branch
0.745,1,263,5.121851325173843e-06,-0.5,2.1136133035711087,6.661338147750939e-16,1.1975280964626598,-0.808314980391202,fixed reference current and static background; positive total-enthalpy branch
0.745,2,519,5.121851325173843e-06,-0.5,2.1136133035711087,4.440892098500626e-16,1.1975172626454924,-0.8083378993276262,fixed reference current and static background; positive total-enthalpy branch
1.285,0,135,0.00022931559649985722,-0.5,2.091448673619108,1.1102230246251565e-15,1.4028824707143943,-0.6136623182543237,fixed reference current and static background; positive total-enthalpy branch
1.285,1,263,0.0002293155965003013,-0.5,2.091448673619108,4.440892098500626e-16,1.4029167753562022,-0.6136747482368968,fixed reference current and static background; positive total-enthalpy branch
1.285,2,519,0.0002293155964991911,-0.5,2.091448673619108,1.3322676295501878e-15,1.4029539776420388,-0.613649459712385,fixed reference current and static background; positive total-enthalpy branch
1.5718085106382975,0,135,0.001893334215472331,-0.5,2.0571009194647725,4.440892098500626e-16,1.7132040775966086,-0.3200020370332985,fixed reference current and static background; positive total-enthalpy branch
1.5718085106382975,1,263,0.0018933342154807686,-0.5,2.0571009194647725,2.220446049250313e-16,1.7130086819735355,-0.32023964924018833,fixed reference current and static background; positive total-enthalpy branch
1.5718085106382975,2,519,0.0018933342154634492,-0.5,2.0571009194647725,8.881784197001252e-16,1.7131556287855836,-0.3201040625659473,fixed reference current and static background; positive total-enthalpy branch
1.645,0,135,0.0031481721371371396,-0.5,2.0443557320774133,8.881784197001252e-16,1.835909510210909,-0.20347948111755643,fixed reference current and static background; positive total-enthalpy branch
1.645,1,263,0.00314817213715346,-0.5,2.0443557320774133,4.440892098500626e-16,1.835383455638747,-0.20404569358333652,fixed reference current and static background; positive total-enthalpy branch
1.645,2,519,0.0031481721371416915,-0.5,2.0443557320774133,1.7763568394002505e-15,1.8357159840694695,-0.2037242365022477,fixed reference current and static background; positive total-enthalpy branch
1.878989361702128,0,135,-0.19898940022534295,-2.21875,2.935945522767806,4.440892098500626e-16,2.3431239218123805,0.2790427251323523,fixed reference current and static background; positive total-enthalpy branch
1.878989361702128,1,263,-0.19845855367991128,-2.197265625,2.9214196352000696,3.1086244689504383e-15,2.3421868332297557,0.2780753462799864,fixed reference current and static background; positive total-enthalpy branch
1.878989361702128,2,519,-0.19841251376740132,-2.2080078125,2.928676823427681,3.1086244689504383e-15,2.3420357208562814,0.27791458134722213,fixed reference current and static background; positive total-enthalpy branch
2.005,0,135,-0.2397013209055716,-2.17578125,2.886760772799975,0.0,2.4260902285253394,0.3469057426453902,fixed reference current and static background; positive total-enthalpy branch
2.005,1,263,-0.23983117151172917,-2.17578125,2.886760772799975,1.3322676295501878e-15,2.4261505884323107,0.3469427593552512,fixed reference current and static background; positive total-enthalpy branch
2.005,2,519,-0.23988814872319453,-2.1650390625,2.879330696802423,4.440892098500626e-16,2.4261679444469793,0.34695134271456357,fixed reference current and static background; positive total-enthalpy branch
2.6,0,135,0.07641958730219989,-0.5,1.8532667416298003,2.220446049250313e-16,0.856626590291776,-1.2754729459675855,fixed reference current and static background; positive total-enthalpy branch
2.6,1,263,0.0764195873020933,-0.5,1.8532667416298003,7.771561172376096e-16,0.856611799912613,-1.2754853132327215,fixed reference current and static background; positive total-enthalpy branch
2.6,2,519,0.07641958730165144,-0.5,1.8532667416298003,1.1102230246251565e-16,0.8566076133670261,-1.2754966124810225,fixed reference current and static background; positive total-enthalpy branch
5.0,0,135,0.07547206088889269,-0.5,1.8200400171739943,1.1102230246251565e-16,0.5964771256886219,-1.551742311787865,fixed reference current and static background; positive total-enthalpy branch
5.0,1,263,0.07547206088882774,-0.5,1.8200400171739943,1.1102230246251565e-16,0.5964534526281627,-1.5517562233911886,fixed reference current and static background; positive total-enthalpy branch
5.0,2,519,0.07547206088892522,-0.5,1.8200400171739943,2.220446049250313e-16,0.5964473906771294,-1.5517692513457002,fixed reference current and static background; positive total-enthalpy branch
15.0,0,135,0.07547169811317078,-0.5,1.8200274723201293,1.1102230246251565e-16,0.5963652415616607,-1.551860281934929,fixed reference current and static background; positive total-enthalpy branch
15.0,1,263,0.07547169811313004,-0.5,1.8200274723201293,1.1102230246251565e-16,0.5963415643107287,-1.5518741950532107,fixed reference current and static background; positive total-enthalpy branch
15.0,2,519,0.07547169811309751,-0.5,1.8200274723201293,2.220446049250313e-16,0.596335501384204,-1.5518872239466917,fixed reference current and static background; positive total-enthalpy branch
