status,objective,min_f,moving,candidate,path_kind,worker_peak_rss_kib,duration,time_skew,storage_mass,donor_radius,donor_width,reservoir_radius,reservoir_width,string_release,radial_ratio,tangential_ratio,min_material_density,min_radial_margin,max_angular_residual,max_energy_residual,max_radial_pressure_residual,max_momentum_residual,max_background_speed,endpoint_mass_error,boundary_mass_error,min_lapse_ratio,max_lapse_ratio,max_inner_lapse_relative_change,type_iv_points,points,local_necessary_conditions_pass
lapse_range_exhausted,100000.0,7.776978708573523e-06,False,0,direct,198392,12.235223380052485,0.640552683081478,0.04580795690793464,2.6901144500356167,0.216406709253788,5.080910353222862,0.5166107762604952,0.00045093060646263217,0.23610028438270092,0.7857761569321156,,,,,,,,,,,,,,,
evaluated,2.563709788402305,7.776978708573523e-06,True,1,direct,198392,12.235223380052485,0.640552683081478,0.04580795690793464,2.6901144500356167,0.216406709253788,5.080910353222862,0.5166107762604952,0.00045093060646263217,0.23610028438270092,0.7857761569321156,-0.0024564694794884244,-0.006689793250345518,0.022474974191854232,3.469446951953614e-18,6.938893903907228e-18,1.734723475976807e-18,0.4999996429939167,0.0,0.0,0.33978162180565824,1.0610602459656768,0.6602183781943418,437.0,8385.0,False
lapse_range_exhausted,100000.0,7.776978708573523e-06,False,2,waypoints,198392,12.235223380052485,0.640552683081478,0.04580795690793464,2.6901144500356167,0.216406709253788,5.080910353222862,0.5166107762604952,0.00045093060646263217,0.23610028438270092,0.7857761569321156,,,,,,,,,,,,,,,
lapse_range_exhausted,100000.0,7.776978708573523e-06,True,3,waypoints,198392,12.235223380052485,0.640552683081478,0.04580795690793464,2.6901144500356167,0.216406709253788,5.080910353222862,0.5166107762604952,0.00045093060646263217,0.23610028438270092,0.7857761569321156,,,,,,,,,,,,,,,
lapse_range_exhausted,100000.0,7.776978708573523e-06,False,4,direct,198496,8.337446310571394,-0.2848881839774549,0.00026212653933829197,2.3528003703337164,0.4124479768052697,3.803765733912587,0.33304319381713865,0.24098079301589218,0.5741590782999992,0.1900069946423173,,,,,,,,,,,,,,,
lapse_range_exhausted,100000.0,7.776978708573523e-06,True,5,direct,198496,8.337446310571394,-0.2848881839774549,0.00026212653933829197,2.3528003703337164,0.4124479768052697,3.803765733912587,0.33304319381713865,0.24098079301589218,0.5741590782999992,0.1900069946423173,,,,,,,,,,,,,,,
lapse_range_exhausted,100000.0,7.776978708573523e-06,False,6,waypoints,198496,8.337446310571394,-0.2848881839774549,0.00026212653933829197,2.3528003703337164,0.4124479768052697,3.803765733912587,0.33304319381713865,0.24098079301589218,0.5741590782999992,0.1900069946423173,,,,,,,,,,,,,,,
lapse_range_exhausted,100000.0,7.776978708573523e-06,True,7,waypoints,198496,8.337446310571394,-0.2848881839774549,0.00026212653933829197,2.3528003703337164,0.4124479768052697,3.803765733912587,0.33304319381713865,0.24098079301589218,0.5741590782999992,0.1900069946423173,,,,,,,,,,,,,,,
lapse_range_exhausted,100000.0,7.776978708573523e-06,False,8,direct,197692,5.340213324162178,0.2136765087023378,0.003600317978311038,2.791366816777736,0.3235144581086934,4.368648324394599,0.6320846069604158,0.011594702749033521,0.8096621101722121,0.27272371388971806,,,,,,,,,,,,,,,
lapse_range_exhausted,100000.0,7.776978708573523e-06,True,9,direct,197692,5.340213324162178,0.2136765087023378,0.003600317978311038,2.791366816777736,0.3235144581086934,4.368648324394599,0.6320846069604158,0.011594702749033521,0.8096621101722121,0.27272371388971806,,,,,,,,,,,,,,,
lapse_range_exhausted,100000.0,7.776978708573523e-06,False,10,waypoints,197692,5.340213324162178,0.2136765087023378,0.003600317978311038,2.791366816777736,0.3235144581086934,4.368648324394599,0.6320846069604158,0.011594702749033521,0.8096621101722121,0.27272371388971806,,,,,,,,,,,,,,,
lapse_range_exhausted,100000.0,7.776978708573523e-06,True,11,waypoints,197692,5.340213324162178,0.2136765087023378,0.003600317978311038,2.791366816777736,0.3235144581086934,4.368648324394599,0.6320846069604158,0.011594702749033521,0.8096621101722121,0.27272371388971806,,,,,,,,,,,,,,,
lapse_range_exhausted,100000.0,7.776978708573523e-06,False,12,direct,198772,9.153716659438796,-0.5492618594318629,1.0589562609415376e-05,2.5270848599262536,0.2736475651524961,4.570563270896673,0.4172665476799011,5.499548782209122e-05,0.3820039937272668,0.7358067398890853,,,,,,,,,,,,,,,
evaluated,0.732512602639546,7.776978708573523e-06,True,13,direct,198772,9.153716659438796,-0.5492618594318629,1.0589562609415376e-05,2.5270848599262536,0.2736475651524961,4.570563270896673,0.4172665476799011,5.499548782209122e-05,0.3820039937272668,0.7358067398890853,-0.00013423024387189002,-0.0026774475016029644,0.006403598410770886,5.204170427930421e-18,5.204170427930421e-18,1.734723475976807e-18,0.4979573282308945,0.0,0.0,0.9999906917196617,1.120949962105533,0.09868341343082632,300.0,8385.0,False
lapse_range_exhausted,100000.0,7.776978708573523e-06,False,14,waypoints,198772,9.153716659438796,-0.5492618594318629,1.0589562609415376e-05,2.5270848599262536,0.2736475651524961,4.570563270896673,0.4172665476799011,5.499548782209122e-05,0.3820039937272668,0.7358067398890853,,,,,,,,,,,,,,,
lapse_range_exhausted,100000.0,7.776978708573523e-06,True,15,waypoints,198772,9.153716659438796,-0.5492618594318629,1.0589562609415376e-05,2.5270848599262536,0.2736475651524961,4.570563270896673,0.4172665476799011,5.499548782209122e-05,0.3820039937272668,0.7358067398890853,,,,,,,,,,,,,,,
lapse_range_exhausted,100000.0,7.776978708573523e-06,False,16,direct,198392,11.620298144682312,0.12847277270629998,0.001380180907031101,2.620451304782182,0.2254790353961289,5.447015072824433,0.5652969732880593,0.05503635907546421,0.9612211501225829,0.007241709157824516,,,,,,,,,,,,,,,
lapse_range_exhausted,100000.0,7.776978708573523e-06,True,17,direct,198392,11.620298144682312,0.12847277270629998,0.001380180907031101,2.620451304782182,0.2254790353961289,5.447015072824433,0.5652969732880593,0.05503635907546421,0.9612211501225829,0.007241709157824516,,,,,,,,,,,,,,,
lapse_range_exhausted,100000.0,7.776978708573523e-06,False,18,waypoints,198392,11.620298144682312,0.12847277270629998,0.001380180907031101,2.620451304782182,0.2254790353961289,5.447015072824433,0.5652969732880593,0.05503635907546421,0.9612211501225829,0.007241709157824516,,,,,,,,,,,,,,,
lapse_range_exhausted,100000.0,7.776978708573523e-06,True,19,waypoints,198392,11.620298144682312,0.12847277270629998,0.001380180907031101,2.620451304782182,0.2254790353961289,5.447015072824433,0.5652969732880593,0.05503635907546421,0.9612211501225829,0.007241709157824516,,,,,,,,,,,,,,,
lapse_range_exhausted,100000.0,7.776978708573523e-06,False,20,direct,198496,5.278399294973351,-0.4847818006761372,0.19815576305412086,2.837448721099645,0.30561978643760085,3.496912441961467,0.3848514530807734,6.354847598584267e-06,0.3461848059669137,0.9700696198269725,,,,,,,,,,,,,,,
lapse_range_exhausted,100000.0,7.776978708573523e-06,True,21,direct,198496,5.278399294973351,-0.4847818006761372,0.19815576305412086,2.837448721099645,0.30561978643760085,3.496912441961467,0.3848514530807734,6.354847598584267e-06,0.3461848059669137,0.9700696198269725,,,,,,,,,,,,,,,
lapse_range_exhausted,100000.0,7.776978708573523e-06,False,22,waypoints,198496,5.278399294973351,-0.4847818006761372,0.19815576305412086,2.837448721099645,0.30561978643760085,3.496912441961467,0.3848514530807734,6.354847598584267e-06,0.3461848059669137,0.9700696198269725,,,,,,,,,,,,,,,
lapse_range_exhausted,100000.0,7.776978708573523e-06,True,23,waypoints,198496,5.278399294973351,-0.4847818006761372,0.19815576305412086,2.837448721099645,0.30561978643760085,3.496912441961467,0.3848514530807734,6.354847598584267e-06,0.3461848059669137,0.9700696198269725,,,,,,,,,,,,,,,
lapse_range_exhausted,100000.0,7.776978708573523e-06,False,24,direct,197692,7.318930177767761,0.3934911295771598,0.00010381694863195996,2.4504444796126337,0.3784188513457775,4.011499735014513,0.4873260036110878,0.002030902588213092,0.02010367624461651,0.5513162165880203,,,,,,,,,,,,,,,
evaluated,3.424704046876963,7.776978708573523e-06,True,25,direct,197692,7.318930177767761,0.3934911295771598,0.00010381694863195996,2.4504444796126337,0.3784188513457775,4.011499735014513,0.4873260036110878,0.002030902588213092,0.02010367624461651,0.5513162165880203,-0.003121479833344083,-0.014434170065763096,0.02953770498078083,3.469446951953614e-18,5.204170427930421e-18,3.469446951953614e-18,0.49999899542970566,0.0,0.0,0.6187950325395133,1.1821698126741367,0.3812049674604867,533.0,8385.0,False
lapse_range_exhausted,100000.0,7.776978708573523e-06,False,26,waypoints,197692,7.318930177767761,0.3934911295771598,0.00010381694863195996,2.4504444796126337,0.3784188513457775,4.011499735014513,0.4873260036110878,0.002030902588213092,0.02010367624461651,0.5513162165880203,,,,,,,,,,,,,,,
lapse_range_exhausted,100000.0,7.776978708573523e-06,True,27,waypoints,197692,7.318930177767761,0.3934911295771598,0.00010381694863195996,2.4504444796126337,0.3784188513457775,4.011499735014513,0.4873260036110878,0.002030902588213092,0.02010367624461651,0.5513162165880203,,,,,,,,,,,,,,,
lapse_range_exhausted,100000.0,7.776978708573523e-06,False,28,direct,198772,13.735694468910806,-0.05726094488054512,0.01689429433560153,2.7319181654136626,0.18446784812957048,4.886307112313807,0.2631298158317804,0.0649538258160446,0.670540101826191,0.4558088453486562,,,,,,,,,,,,,,,
lapse_range_exhausted,100000.0,7.776978708573523e-06,True,29,direct,198772,13.735694468910806,-0.05726094488054512,0.01689429433560153,2.7319181654136626,0.18446784812957048,4.886307112313807,0.2631298158317804,0.0649538258160446,0.670540101826191,0.4558088453486562,,,,,,,,,,,,,,,
lapse_range_exhausted,100000.0,7.776978708573523e-06,False,30,waypoints,198772,13.735694468910806,-0.05726094488054512,0.01689429433560153,2.7319181654136626,0.18446784812957048,4.886307112313807,0.2631298158317804,0.0649538258160446,0.670540101826191,0.4558088453486562,,,,,,,,,,,,,,,
lapse_range_exhausted,100000.0,7.776978708573523e-06,True,31,waypoints,198772,13.735694468910806,-0.05726094488054512,0.01689429433560153,2.7319181654136626,0.18446784812957048,4.886307112313807,0.2631298158317804,0.0649538258160446,0.670540101826191,0.4558088453486562,,,,,,,,,,,,,,,
lapse_range_exhausted,100000.0,7.776978708573523e-06,False,32,direct,198392,13.332846550093965,0.31193973310291767,5.440342050899093e-05,2.8839641803409903,0.39829943327233197,4.633626778190956,0.5894129890948534,0.023761724353741416,0.8759919758886099,0.631218358874321,,,,,,,,,,,,,,,
lapse_range_exhausted,100000.0,7.776978708573523e-06,True,33,direct,198392,13.332846550093965,0.31193973310291767,5.440342050899093e-05,2.8839641803409903,0.39829943327233197,4.633626778190956,0.5894129890948534,0.023761724353741416,0.8759919758886099,0.631218358874321,,,,,,,,,,,,,,,
lapse_range_exhausted,100000.0,7.776978708573523e-06,False,34,waypoints,198392,13.332846550093965,0.31193973310291767,5.440342050899093e-05,2.8839641803409903,0.39829943327233197,4.633626778190956,0.5894129890948534,0.023761724353741416,0.8759919758886099,0.631218358874321,,,,,,,,,,,,,,,
