arrangement,coupling,coordinate,pressure_derivative,lapse_term,angular_term,residual,relative_residual
inner,1.0,-1.5,-6.82053829396412e-07,4.3493246914109277e-07,2.470008851747014e-07,-1.2047508061779637e-10,-8.832566907990534e-05
inner,1.0,-2.8,-0.00013922763541324295,-6.23357704663182e-05,0.0002015630089339028,-3.9694565836341164e-10,-9.846679447862222e-07
inner,1.0,-4.0,-2.746724453055667e-05,-4.041278478329979e-09,2.74712861566811e-05,3.476460994620602e-13,6.327444948863873e-09
inner,1.0,-5.5,-4.0801525936538304e-06,-6.572194298914053e-16,4.080152642298901e-06,4.798785118055723e-14,5.880644141259219e-09
inner,8.0,-1.5,-9.556283485910165e-07,5.992332169794696e-07,3.561458868861704e-07,-2.4924472537649303e-10,-0.00013042582594645645
inner,8.0,-2.8,-0.00022556329052367038,-0.00010107765561802361,0.0003266400996524352,-8.464892587876569e-10,-1.295750526113403e-06
inner,8.0,-4.0,-3.575432120425985e-05,-5.2715815876276865e-09,3.5759593218543306e-05,4.326958306629172e-13,6.0500664903590024e-09
inner,8.0,-5.5,-4.856625414376728e-06,-7.826636704665823e-16,4.856625472073019e-06,5.691362688070708e-14,5.859379886451532e-09
inner,64.0,-1.5,-1.010782162467896e-06,6.304998313196116e-07,3.7999508149868383e-07,-2.872496496004574e-10,-0.00014211295082332338
inner,64.0,-2.8,-0.00025108414823672335,-0.00011350424940793357,0.0003645873763889676,-1.0212556892817345e-09,-1.4005617378542274e-06
inner,64.0,-4.0,-3.768703202247114e-05,-5.572544576571065e-09,3.769260501109121e-05,4.440434971759652e-13,5.890326493232089e-09
inner,64.0,-5.5,-5.009811910368677e-06,-8.083968834016405e-16,5.009811969663059e-06,5.848598430509061e-14,5.837143689288527e-09
inner_pair,1.0,-1.5,4.765889553477866e-06,-6.550645954104803e-06,1.7845861235440448e-06,-1.7027708289221238e-10,-1.2997137778467318e-05
inner_pair,1.0,-2.8,-0.00014001238878329848,-6.268997175085364e-05,0.0002027019627822908,-3.9775186131394726e-10,-9.811238766772539e-07
inner_pair,1.0,-4.0,-2.7701272098666994e-05,-4.0741513914434585e-09,2.7705346600932027e-05,3.508735897585647e-13,6.332236102914798e-09
inner_pair,1.0,-5.5,-4.117672094070745e-06,-6.629904504849616e-16,4.1176721431471405e-06,4.841340476842253e-14,5.878734800875828e-09
inner_pair,8.0,-1.5,5.752128697375916e-06,-7.829557455899496e-06,2.0771179551301767e-06,-3.1080339340332276e-10,-1.984847573618247e-05
inner_pair,8.0,-2.8,-0.00022558317815075694,-0.00010108594381667789,0.000326668275455721,-8.465117138072714e-10,-1.295673134809088e-06
inner_pair,8.0,-4.0,-3.5759617306757836e-05,-5.2723037375347795e-09,3.5764890043272216e-05,4.327768476702562e-13,6.0503031012407315e-09
inner_pair,8.0,-5.5,-4.857434254514582e-06,-7.827858265221779e-16,4.857434312215919e-06,5.691855153026242e-14,5.858911125220899e-09
inner_pair,64.0,-1.5,5.916281560034011e-06,-8.047816187284624e-06,2.131183787540049e-06,-3.508397105637626e-10,-2.1797674666573827e-05
inner_pair,64.0,-2.8,-0.000251084482833717,-0.00011350438686159292,0.000364587848439226,-1.0212560839313253e-09,-1.4005604657044189e-06
inner_pair,64.0,-4.0,-3.768711929689768e-05,-5.572556417309142e-09,3.769269229735913e-05,4.440441476972687e-13,5.890321482076018e-09
inner_pair,64.0,-5.5,-5.009825129233488e-06,-8.083988739683561e-16,5.00982518852716e-06,5.848527279741491e-14,5.837057276243097e-09
spanning_pair,1.0,-1.5,1.4376415398024714e-06,-2.5007631951276867e-06,1.0631091266249059e-06,-1.2528700309393835e-11,-2.504981622803786e-06
spanning_pair,1.0,-2.8,-3.137754874460564e-05,-2.4555919414781394e-05,5.593345857119115e-05,-9.588195878538694e-12,-8.571072933496273e-08
spanning_pair,1.0,-4.0,-4.0220699458551135e-05,-9.096548353353272e-09,4.022980309178348e-05,7.08487899559818e-12,8.805511181963758e-08
spanning_pair,1.0,-5.5,-0.00037451360382509944,-8.670538252978609e-14,0.00037451488209711193,1.278185307108156e-09,1.7064575393103805e-06
spanning_pair,8.0,-1.5,1.483942408710878e-06,-2.587891589499031e-06,1.1039359551451448e-06,-1.3225643007919855e-11,-2.5552996224932074e-06
spanning_pair,8.0,-2.8,-3.7472371213131316e-05,-3.172470984193809e-05,6.919707690913406e-05,-4.145935344709341e-12,-2.9957444777269524e-08
