s,l,required_negative_null,worst_null_direction_cosine,required_negative_radial_plus,required_negative_radial_minus,velocity,heat,electric_density,geometry_rho,geometry_p_r,geometry_j,geometry_p_t,endpoint_rho,endpoint_p_r,endpoint_j,endpoint_p_t,reservoir_rho,reservoir_p_r,reservoir_j,reservoir_p_t
1.285,-1.4,0.06800196403153815,0.0026457517798658264,0.02608905290458798,0.02564313179604971,-3.0308031703211545e-34,3.470566350084617,0.02608071067890359,0.006126400852988716,-0.006083607168180707,-0.0007327756456000659,-0.0008029441455279406,0.000944001730164976,0.0007672175369258181,-0.0008442559227346334,-0.003977964066150953,0.05027837744693965,-0.02608071067890359,-7.333836515493853e-36,0.02608071067890359
1.285,-1.375,0.0687462763215081,0.0022452510998531064,0.02391081430354615,0.023506332534694654,-4.223628588242781e-33,3.168966908932073,0.027547563469079005,0.0062152838300237115,-0.006155897500671954,-0.0006924876496552509,-0.0007100540033356817,0.0009522064728438803,0.0007419862868529938,-0.0007936080918681241,-0.0038698212923651523,0.049621330457854294,-0.027547563469079005,-9.323139330400107e-35,0.027547563469079005
1.285,-1.35,0.0698945745787796,0.0020582576220243595,0.02209817339910861,0.02170303926926197,-5.88954363801067e-32,2.8773426848554817,0.029049013424509957,0.006303094613859169,-0.006229788228623963,-0.0006556428353370362,-0.0006378975173118376,0.001033891512469552,0.0008183659531917891,-0.0007544263677986964,-0.003694005261880314,0.04917066867826911,-0.029049013424509957,-1.1850736668602116e-33,0.029049013424509957
1.285,-1.3250000000000002,0.02335046236955683,1.0,0.02335046236955683,0.022885368713665897,-8.21798602083339e-31,3.180781188762924,2.6033435160099645e-10,0.006390092872885435,-0.0063049835589687525,-0.0006220060308498589,-0.000584063376987707,0.001037151746117153,0.0008610854104140614,-0.0007382794448225918,-0.003418314800969151,0.02130478795933118,-2.6033435160099645e-10,-1.750824474871791e-32,2.6033435160099645e-10
1.285,-1.3,0.024915083707882674,1.0,0.024915083707882674,0.024253584226799095,-1.1475287774603099e-29,3.615106502888204,2.666738268587443e-10,0.006476555236996558,-0.0063812366386470564,-0.0005913611469651564,-0.000545925326299339,0.0008100820708618424,0.000734873532991665,-0.0007567360172360511,-0.0030105487359043657,0.02313469722851071,-2.666738268587443e-10,-2.6547730521531427e-31,2.666738268587443e-10
1.285,-1.275,0.02580985261290418,1.0,0.02580985261290418,0.02481442228196161,-1.6036458966330524e-28,4.020406164348791,2.7316990206501294e-10,0.006562755155620615,-0.00645834871740966,-0.0005635139781077385,-0.0005206748582096848,0.00026339852173798395,0.00035505934395994995,-0.0008123715608433817,-0.002459077817845259,0.02479808629311582,-2.7316990206501294e-10,-3.976734889023973e-30,2.7316990206501294e-10
1.285,-1.25,0.057442349125933156,1.0,0.057442349125933156,0.0561083644037539,-2.2430308079634947e-27,10.79292621888304,2.7982439963361764e-10,0.0066489558885562275,-0.00653616835850482,-0.0005382924969363413,-0.0005053780541455556,-0.0004416983143832101,-0.00016062753939172984,-0.0008717886774811566,-0.0018345604974974994,0.05749047042849428,-2.7982439963361764e-10,-1.2895289570777217e-28,2.7982439963361764e-10
1.285,-1.225,0.0528662823327747,1.0,0.052866282332774704,0.051358080072649574,-3.140354065118273e-26,10.197666746274892,0.0011822317112805912,0.00673541077462523,-0.0066145903858205,-0.000515546185462732,-0.0004970562974529547,-0.001081386712671335,-0.0006438573512105324,-0.0008925967504940138,-0.0012282271504533294,0.055140477366679326,-0.0011822317112805912,-1.6944799609058182e-27,0.0011822317112805912
1.285,-1.2000000000000002,0.049368847274986166,1.0,0.049368847274986166,0.04801980804520978,-4.401177547573759e-25,9.730000318702368,0.002401590620435261,0.006822367520095962,-0.006693554730516972,-0.0004951453557824959,-0.0004927878608137538,-0.0014318449482959806,-0.0009263003256436133,-0.0008324051632265931,-0.0007313081523049989,0.053582876344051816,-0.002401590620435261,-2.2525792558273856e-26,0.002401590620435261
1.285,-1.175,0.04803315864463612,0.107334124530664,0.0466313585137751,0.04587608189602926,-6.1748625606067236e-24,9.28363341364158,0.003781413511693461,0.006910073690091048,-0.006773045239851216,-0.000476980954880947,-0.0004898238521372712,-0.0013397591729965447,-0.0008911521879765218,-0.000665800109317408,-0.0004115861225516079,0.052403073527808534,-0.003781413511693461,-3.0023206806805784e-25,0.003781413511693461
1.285,-1.15,0.04821365132976238,-0.005640903363536459,0.04360792333485368,0.043710682620823046,-8.672835310580297e-23,8.667701166996595,0.005268462875862499,0.006998779481914474,-0.006853088418421925,-0.00046096484507282906,-0.0004857081330917305,-0.0009338470447916899,-0.0006277106280484129,-0.00043527502358048863,-0.0002430526563196681,0.050635014590033514,-0.005268462875862499,-3.934566316259295e-24,0.005268462875862499
1.285,-1.125,0.04794346935645233,-0.03484951102384343,0.04036155257135092,0.041348471085318333,-1.2194345925708407e-21,7.942700769507926,0.006717338567749479,0.007088730927237571,-0.006933752134897073,-0.0004470297796156011,-0.00047838688641345937,-0.0004133340982699131,-0.0002767988268368558,-0.00020030015112374643,-0.00017625159264253448,0.04841746211353137,-0.006717338567749479,-5.085057316620427e-23,0.006717338567749479
1.285,-1.1,0.047379222104965105,-0.04486065078729381,0.037285061317064716,0.038944186025206606,-1.7162624685794836e-20,7.242385014573141,0.007988666273767344,0.007180140993721064,-0.007015144291639409,-0.00043512691409056006,-0.000466289629632176,2.2554131980299422e-05,2.0760034680588114e-05,-2.034573705508869e-05,-0.00016172677055356107,0.04622497248032377,-0.007988666273767344,-6.562353727942557e-22,0.007988666273767344
1.285,-1.075,0.04681110252624748,-0.04405103693310464,0.03477773118340089,0.036722912045692245,-2.4175317888355224e-19,6.693658691406657,0.00900219750765257,0.007273117020253548,-0.007097410552833611,-0.0004252162647691161,-0.0004483600710905788,0.00022279171079579482,0.00015787144109411807,6.107895080372225e-05,-0.00015811398926866304,0.044547562437729164,-0.00900219750765257,-8.593204966421952e-21,0.00900219750765257
1.285,-1.05,0.04654998108535668,-0.038541592678984576,0.03307401664765866,0.035000218145403106,-3.5837307989301704e-18,6.3452377294708455,0.009784895601154964,0.007367516416067054,-0.0071807296132618435,-0.0004172418206606052,-0.0004240148093907546,0.0002291511007147627,0.00016235553926498224,6.430855377550785e-05,-0.00015641688873399378,0.043617293160511314,-0.009784895601154964,-1.2124620513511526e-19,0.009784895601154964
