s,l,rest_energy_residual,rest_force_residual,energy_term_scale,force_term_scale,endpoint_rest_power,endpoint_rest_force
0.00501953125,-2.0875000000000004,1.0870422580310225e-06,2.988213215178894e-05,0.0011576580590393617,0.012202281576899747,-2.95618115751959e-06,-3.744014048350576e-05
0.00501953125,-2.0125,3.277739541721607e-06,-1.3257735514631163e-05,0.0005925752464377975,0.006596276288748444,-3.7976523458907205e-05,-0.0005679831984196962
0.00501953125,-1.9125,6.8424258811057395e-06,1.135636671651429e-05,0.00014860498058389242,0.002850918139074708,5.899804029621839e-06,-0.00018744882453496437
0.00501953125,-1.8125,3.2197086502635303e-06,6.048844339098025e-08,2.8826035099589008e-05,0.0013472431429116347,1.0219085855394007e-05,-5.4314102332470834e-05
0.00501953125,-1.6125,8.123880634785213e-07,1.0888405409649986e-07,3.564468831926373e-05,0.0002375626959208234,5.281217182848279e-06,7.619583929538454e-06
0.00501953125,-1.5125,4.934821957834342e-07,-9.820885252527036e-08,1.0228089677373858e-05,0.0001177491618707002,3.191066843592752e-06,7.246263858939217e-06
0.00501953125,-1.4125,3.320172154814049e-07,-1.5245129307993048e-08,3.538361948900166e-06,6.307153366038884e-05,1.9351895880392918e-06,4.159471689037826e-06
0.00501953125,-1.2125000000000001,1.9484652182775793e-07,-6.98309466136249e-09,1.270872941565151e-06,2.3681896703550377e-05,7.328597323385797e-07,-9.522208958821702e-07
0.00501953125,-1.1125,1.7809299206787686e-08,-8.087835535375917e-09,5.136125911660975e-07,1.7322243264885474e-05,1.0773526368878852e-07,1.4175113066119525e-07
0.00501953125,-1.0125000000000002,-5.356198787378267e-09,-8.981830463709282e-09,8.27450035022609e-08,7.141423705175525e-06,-2.4784088182588282e-08,-3.578347156031437e-08
0.00501953125,-0.8125,-3.305030296658031e-08,-1.7971912463007544e-08,2.8544693244894005e-05,2.695942986272257e-06,-1.6360055497752257e-09,-2.1870507699319095e-09
0.00501953125,-0.7125,9.156945178245427e-08,-1.0159139386921078e-08,3.3400844038831786e-05,5.545728282858199e-06,4.921731548979603e-10,6.499904859261382e-10
