s,center,force_integral,maximum_abs_normal_force_density,proper_width,hoop_cone_failed_cells
0.0,-1.7,1.268259395395045,0.028233618055403538,5.54988937554485,3
0.0100390625,-1.7,1.2695468344627643,0.02835679844149899,5.524693298817076,3
0.020078125,-1.7,1.2708432366710667,0.028485755282197715,5.498551871224206,3
0.030117187499999996,-1.7,1.2721503301010681,0.028620627696319827,5.471467091381374,3
0.04015625,-1.7,1.2734698511795093,0.028761556967905937,5.443442216079347,3
0.0501953125,-1.7,1.2748035399413167,0.02890868672188982,5.4144817469016635,3
0.06023437499999999,-1.7,1.2761531454662325,0.029062163095025465,5.384591416109381,3
0.0702734375,-1.7,1.277520406008945,0.029222134889319327,5.353778174070552,3
0.0803125,-1.7,1.2789072109625121,0.029388753815730653,5.322050165495932,3
0.0903515625,-1.7,1.2803802364334016,0.02956219652406634,5.289416706424589,3
0.100390625,-1.7,1.2820107302706394,0.0297426469275423,5.255888261375098,3
0.1104296875,-1.7,1.2838158046608634,0.02993027388314096,5.221476419524771,3
0.12046874999999999,-1.7,1.2858121321475973,0.030125249889732718,5.186193872671854,3
0.1305078125,-1.7,1.288016008312112,0.03032775130801724,5.150054383405492,3
0.140546875,-1.7,1.2904433023328226,0.030537958578059268,5.113072753095826,3
0.1505859375,-1.7,1.2931095195481588,0.030756056426951204,5.075264790539214,3
0.160625,-1.7,1.2960297968742436,0.030982234076522716,5.0366472796497685,3
0.1706640625,-1.7,1.2992160913746444,0.031216682851207007,4.997237949108224,3
0.180703125,-1.7,1.3026369113609653,0.031459559933093545,4.957055433885475,3
0.1907421875,-1.7,1.3062867722014626,0.03171105188458993,4.9161192358577255,3
0.20078125,-1.7,1.3101758549694715,0.031971364732333946,4.874449685638827,3
0.2108203125,-1.7,1.3143142170302424,0.03224071013009909,4.832067903682736,3
0.220859375,-1.7,1.318711739296794,0.03251930556601356,4.788995763484232,3
0.2308984375,-1.7,1.3233782524460875,0.03280737460364699,4.745255848445088,3
0.24093749999999997,-1.7,1.3283234107512267,0.03310514713666094,4.700871407323617,3
0.2509765625,-1.7,1.3335568394253325,0.033412859631631465,4.655866311475938,3
0.261015625,-1.7,1.339064030697055,0.03373074075236708,4.6102650117362645,3
0.2710546875,-1.7,1.3447284272276052,0.034058961900039736,4.56409249751528,3
0.28109375,-1.7,1.350532267471675,0.034397760231531564,4.5173742513513675,3
0.2911328125,-1.7,1.3564744411821195,0.03474739029741348,4.470136201751465,3
0.301171875,-1.7,1.3625543161530322,0.03510811439709883,4.422404678353647,3
0.3112109375,-1.7,1.3687717331724514,0.03548020283812191,4.374206367179746,3
0.32125,-1.7,1.3751270007661294,0.035863934184771094,4.325568268203134,3
0.33128906249999995,-1.7,1.3816208878096916,0.0362595955286457,4.276517650046187,3
0.341328125,-1.7,1.3882546183547617,0.03666748278814613,4.227082002861687,3
