kind,path,match
production_output,coarse_eta095_recovery000_voltage050_states.npz,True
production_output,refined_eta100_recovery100_voltage000_summary.json,True
production_output,refined_eta095_recovery000_voltage050_states.npz,True
production_output,refined_eta098_recovery100_voltage050_summary.json,True
production_output,refined_eta095_recovery100_voltage050_source.csv,True
production_output,refined_eta098_recovery000_voltage050_inventories.csv,True
production_output,refined_eta095_recovery100_voltage050_inventories.csv,True
production_output,refined_eta100_recovery000_voltage050_source.csv,True
production_output,coarse_eta100_recovery000_voltage050_source.csv,True
production_output,refined_eta095_recovery000_voltage050_source.csv,True
production_output,coarse_eta100_recovery100_voltage050_source.csv,True
production_output,refined_eta095_recovery100_voltage050_states.npz,True
production_output,coarse_eta100_recovery100_voltage050_inventories.csv,True
production_output,coarse_eta100_recovery000_voltage050_inventories.csv,True
production_output,refined_eta100_recovery000_voltage050_states.npz,True
production_output,refined_eta100_recovery100_voltage050_states.npz,True
production_output,comparison.csv,True
production_output,coarse_eta098_recovery000_voltage050_states.npz,True
production_output,coarse_eta098_recovery100_voltage050_source.csv,True
production_output,refined_eta098_recovery000_voltage050_states.npz,True
production_output,refined_eta098_recovery000_voltage050_source.csv,True
production_output,coarse_eta095_recovery100_voltage050_inventories.csv,True
production_output,coarse_eta100_recovery100_voltage000_inventories.csv,True
production_output,coarse_eta095_recovery100_voltage050_summary.json,True
production_output,refined_eta100_recovery100_voltage000_inventories.csv,True
production_output,refined_eta095_recovery000_voltage050_summary.json,True
production_output,refined_eta098_recovery100_voltage050_states.npz,True
production_output,phase_comparison.csv,True
production_output,coarse_eta095_recovery000_voltage050_source.csv,True
production_output,refined_eta098_recovery100_voltage050_inventories.csv,True
production_output,coarse_eta098_recovery000_voltage050_source.csv,True
production_output,refined_eta098_recovery000_voltage050_summary.json,True
production_output,refined_eta100_recovery100_voltage050_summary.json,True
production_output,coarse_eta100_recovery000_voltage050_summary.json,True
production_output,refined_eta100_recovery100_voltage000_states.npz,True
production_output,coarse_eta095_recovery000_voltage050_summary.json,True
production_output,refined_eta098_recovery100_voltage050_covariant_checks.csv,True
production_output,coarse_eta100_recovery100_voltage000_states.npz,True
production_output,refined_eta098_recovery100_voltage050_source.csv,True
production_output,refined_eta095_recovery000_voltage050_inventories.csv,True
production_output,refined_eta095_recovery100_voltage050_summary.json,True
production_output,coarse_eta095_recovery100_voltage050_source.csv,True
production_output,coarse_eta098_recovery000_voltage050_summary.json,True
production_output,coarse_eta100_recovery000_voltage050_states.npz,True
production_output,coarse_eta100_recovery100_voltage050_summary.json,True
production_output,refined_eta100_recovery100_voltage000_source.csv,True
production_output,coarse_eta098_recovery100_voltage050_covariant_checks.csv,True
production_output,refined_eta100_recovery100_voltage050_inventories.csv,True
production_output,refined_eta100_recovery000_voltage050_inventories.csv,True
production_output,refined_eta100_recovery000_voltage050_summary.json,True
production_output,coarse_eta095_recovery100_voltage050_states.npz,True
production_output,coarse_eta098_recovery100_voltage050_summary.json,True
production_output,coarse_eta098_recovery100_voltage050_inventories.csv,True
production_output,coarse_eta098_recovery100_voltage050_states.npz,True
production_output,coarse_eta100_recovery100_voltage000_source.csv,True
production_output,refined_eta100_recovery100_voltage050_source.csv,True
production_output,coarse_eta100_recovery100_voltage050_states.npz,True
production_output,coarse_eta100_recovery100_voltage000_summary.json,True
production_output,coarse_eta095_recovery000_voltage050_inventories.csv,True
production_output,coarse_eta098_recovery000_voltage050_inventories.csv,True
production_output,hardware_benchmark.json,True
production_source_or_input,toolkit/adm_harness_cli/scripts/run_regenerative_converter.py,True
production_source_or_input,toolkit/adm_harness_cli/adm_harness/regenerative_converter.py,True
production_source_or_input,toolkit/adm_harness_cli/tests/test_regenerative_converter.py,True
production_source_or_input,toolkit/adm_harness_cli/adm_harness/pressure_linked_storage.py,True
production_source_or_input,toolkit/adm_harness_cli/adm_harness/graded_electrothermal.py,True
production_source_or_input,toolkit/adm_harness_cli/adm_harness/active_transfer_reservoir.py,True
production_source_or_input,toolkit/adm_harness_cli/adm_harness/source_ledger.py,True
production_source_or_input,supporting_reports/REGENERATIVE_CONVERTER_EVALUATION.md,True
production_source_or_input,supporting_reports/data/active_transfer_reservoir/metric_fine.npz,True
production_source_or_input,supporting_reports/data/active_transfer_reservoir/medium_baseline.npz,True
production_source_or_input,supporting_reports/data/pressure_linked_storage/retained_coefficients/manifest.json,True
production_source_or_input,supporting_reports/data/pressure_linked_storage/retained_coefficients/powered_finite_joint_states.npz,True
production_source_or_input,supporting_reports/data/pressure_linked_storage/retained_coefficients/powered_finite_joint_points.csv,True
production_source_or_input,supporting_reports/data/pressure_linked_storage/conversion_controls/manifest.json,True
production_source_or_input,supporting_reports/data/pressure_linked_storage/conversion_controls/powered_finite_n64_states.npz,True
production_source_or_input,supporting_reports/data/pressure_linked_storage/conversion_controls/powered_finite_n64_points.csv,True
