s,center,force_integral,maximum_abs_normal_force_density,proper_width,hoop_cone_failed_cells
0.0,-1.7,1.4080147226105693,0.005347753268988846,5.54988937554485,4
0.0100390625,-1.7,1.4095063116404585,0.005377388542741885,5.524693298817076,4
0.020078125,-1.7,1.411006531050665,0.005408238070888162,5.498551871224206,4
0.030117187499999996,-1.7,1.4125171787153283,0.0054403399448153525,5.471467091381374,4
0.04015625,-1.7,1.4140400687652683,0.005473733060543167,5.443442216079347,4
0.0501953125,-1.7,1.4155770311320226,0.005508457206981043,5.4144817469016635,4
0.06023437499999999,-1.7,1.417129916580285,0.005544553093900757,5.384591416109381,4
0.0702734375,-1.7,1.4187005719115076,0.005582062319945055,5.353778174070552,4
0.0803125,-1.7,1.4202910358403191,0.005621028227469132,5.322050165495932,4
0.0903515625,-1.7,1.421980268543771,0.0056618014879979885,5.289416706424589,4
0.100390625,-1.7,1.4238523485961971,0.005704762072859737,5.255888261375098,4
0.1104296875,-1.7,1.4259272299758794,0.005750041518568371,5.221476419524771,4
0.12046874999999999,-1.7,1.4282243625568278,0.005797773462326841,5.186193872671854,4
0.1305078125,-1.7,1.4307627709481627,0.00584809418891947,5.150054383405492,4
0.140546875,-1.7,1.433560993713525,0.005901142619167594,5.113072753095826,4
0.1505859375,-1.7,1.4366371617416076,0.00595706086735982,5.075264790539214,4
0.160625,-1.7,1.4400089931266304,0.006015994468404354,5.0366472796497685,4
0.1706640625,-1.7,1.443690703517659,0.006078079619709913,4.997237949108224,4
0.180703125,-1.7,1.4476486276875005,0.006143254602172135,4.957055433885475,4
0.1907421875,-1.7,1.4518775250771911,0.006211578236339298,4.9161192358577255,4
0.20078125,-1.7,1.456389407921859,0.006283186520900797,4.874449685638827,4
0.2108203125,-1.7,1.461196151463613,0.0063582202395195235,4.832067903682736,4
0.220859375,-1.7,1.4663094289068679,0.0064368249372638185,4.788995763484232,4
0.2308984375,-1.7,1.4717406353033209,0.006519150848638016,4.745255848445088,4
0.24093749999999997,-1.7,1.4774989223946065,0.006605344371395814,4.700871407323617,4
0.2509765625,-1.7,1.483595648459621,0.006695567995681592,4.655866311475938,4
0.261015625,-1.7,1.490014462503007,0.006789864768620398,4.6102650117362645,4
0.2710546875,-1.7,1.4966219527914855,0.006887741153416184,4.56409249751528,4
0.28109375,-1.7,1.5033981302934378,0.006989211128210471,4.5173742513513675,4
0.2911328125,-1.7,1.5103421083737056,0.007094378704028921,4.470136201751465,4
0.301171875,-1.7,1.5174535544203382,0.007203354480277575,4.422404678353647,4
0.3112109375,-1.7,1.5247326833855355,0.007316255896353238,4.374206367179746,4
0.32125,-1.7,1.5321802510392315,0.007433207494185931,4.325568268203134,4
0.33128906249999995,-1.7,1.5397975450128294,0.007554341191174309,4.276517650046187,4
0.341328125,-1.7,1.5475863781408838,0.007679796584969777,4.227082002861687,4
0.35136718749999996,-1.7,1.5555427521037972,0.007809689494262928,4.1772889939737095,4
0.36140625,-1.7,1.5636503681802003,0.00794407746634057,4.127166424080168,4
0.37144531249999996,-1.7,1.5719059116141192,0.008083086111672376,4.076742185835783,4
0.381484375,-1.7,1.5803071157485067,0.008226850987787051,4.026044221046485,4
0.39152343749999996,-1.7,1.5888523256160494,0.008375515778515072,3.9751004760923343,4
0.4015625,-1.7,1.5975404844948142,0.008529232585297046,3.923938860418619,4
0.41160156249999996,-1.7,1.6063711201516853,0.008688162234268324,3.872587206027734,4
0.421640625,-1.7,1.6153443315221518,0.008852474600711403,3.8210732293722547,4
0.43167968749999996,-1.7,1.624461350209934,0.009022352147223068,3.7694244930886334,4
0.44171875,-1.7,1.6338292773231387,0.009198580264894278,3.7176683661104755,4
0.45175781249999997,-1.7,1.6435324933177975,0.009381854933664885,3.665831987007681,4
0.461796875,-1.7,1.6535715980035945,0.009572422820128013,3.6139422286911858,4
0.47183593749999997,-1.7,1.6639471041474143,0.009770540285429967,3.5620256654848226,4
0.48187499999999994,-1.7,1.6746594318692278,0.009976473711110963,3.510108540982915,4
0.49191406249999997,-1.7,1.6857089056471835,0.010190499856927304,3.4582167345026202,4
0.5,-1.7,1.6948514074272705,0.010368950299348692,3.416456361238034,4
0.501953125,-1.7,1.697091264274848,0.010412878693572,3.406375730761984,4
0.5119921875,-1.7,1.7088154427043396,0.010643962466436205,3.3546105911867437,4
0.52203125,-1.7,1.7208864631366665,0.010884094139007325,3.3029459274890733,4
0.5320703124999999,-1.7,1.7334279404782853,0.01113439306284182,3.251405876687762,4
0.542109375,-1.7,1.7464932002634552,0.011395583370535648,3.200014074964572,4
0.5521484375,-1.7,1.76010054340703,0.011668195192331017,3.148793634596581,4
0.5621875,-1.7,1.7742675010017397,0.011952778836920312,3.097767122665736,4
0.5722265624999999,-1.7,1.7890108469133053,0.01224990570850847,3.046956541884611,4
0.582265625,-1.7,1.80434660522191,0.01256016921543883,2.996383313245847,4
0.5923046875,-1.7,1.8202900592702136,0.012884185725761506,2.9460682577464263,4
0.60234375,-1.7,1.836855761429452,0.013222595552172917,2.8960315809083492,4
0.6123828124999999,-1.7,1.854026602811045,0.013575837411425207,2.8462928591114167,4
0.622421875,-1.7,1.8716899177150752,0.013943653675425922,2.796871027832555,4
0.6324609375,-1.7,1.8898305925145884,0.014326492007703974,2.747784371850748,4
0.6425,-1.7,1.9084448599062047,0.014724902745801226,2.699050514742368,4
0.6525390624999999,-1.7,1.927528750687909,0.015139456382087479,2.650686410792787,4
0.6625781249999999,-1.7,1.9470780849874822,0.015570744117196517,2.60270833865303,4
0.6726171875,-1.7,1.9670884636041521,0.016019378414341527,2.555131896651458,4
0.68265625,-1.7,1.987555257443895,0.01648599353035624,2.5079720000172077,4
0.6926953124999999,-1.7,2.008473596174097,0.016971246106417613,2.461242877575056,4
0.7027343749999999,-1.7,2.029761912740027,0.017475157399667464,2.4149580704097313,4
0.7127734375,-1.7,2.0512826308438905,0.01799723302916158,2.3691304321262603,4
0.7228125,-1.7,2.073060363477076,0.01853836388418491,2.3237721304856285,4
0.7328515624999999,-1.7,2.0951231319248556,0.01909951225462604,2.278894650757205,4
0.7428906249999999,-1.7,2.117499315570152,0.01968169901198756,2.234508798678878,4
0.7529296875,-1.7,2.1402137265196766,0.02028592444696586,2.1906247049126444,4
0.76296875,-1.7,2.1632884313837906,0.020913129565514114,2.1472518308877833,4
