s,model,x,required_negative_null,worst_direction,auxiliary_rho
0.0,wave_and_heat_bound,-2.096875,0.12539201964472027,-1.0,0.02461630107304735
0.0,wave_and_heat_bound,-2.090625,0.12241382067192749,-1.0,0.024612850464309628
0.0,wave_and_heat_bound,-2.084375,0.11862599217281608,-1.0,0.02433018801218794
0.0,wave_and_heat_bound,-2.078125,0.11510218151182111,-1.0,0.02404130725699349
0.0,wave_and_heat_bound,-2.0718750000000004,0.11179856379105971,-1.0,0.0237433908299621
0.0,wave_and_heat_bound,-2.065625,0.10871666214271475,-1.0,0.023440762916443418
0.0,wave_and_heat_bound,-2.059375,0.10607046961692457,-1.0,0.023229510078212594
0.0,wave_and_heat_bound,-2.053125,0.10383015748407548,-1.0,0.02310231749639932
0.0,wave_and_heat_bound,-2.046875,0.10186751822174012,-1.0,0.023145359765288805
0.0,wave_and_heat_bound,-2.0406250000000004,0.10016352177324123,-1.0,0.02334322859978476
0.0,wave_and_heat_bound,-2.034375,0.0984966498687369,-1.0,0.023485455997883275
0.0,wave_and_heat_bound,-2.028125,0.09686813562044184,-1.0,0.023576307619073006
0.0,wave_and_heat_bound,-2.021875,0.09540582574462256,-1.0,0.02352375159053903
0.0,wave_and_heat_bound,-2.015625,0.094098007876935,-1.0,0.02334051944857054
0.0,wave_and_heat_bound,-2.0093750000000004,0.09279266577754577,-1.0,0.023098424368616283
0.0,wave_and_heat_bound,-2.003125,0.09149571093986644,-1.0,0.022804042401546355
0.0,wave_and_heat_bound,-1.9968750000000002,0.0901763684301014,-1.0,0.022474549667908787
0.0,wave_and_heat_bound,-1.990625,0.08884304737242284,-1.0,0.022114709352445784
0.0,wave_and_heat_bound,-1.984375,0.0874986372207252,-1.0,0.02173083444338103
0.0,wave_and_heat_bound,-1.9781250000000001,0.08614572362443226,-1.0,0.021325650601154038
0.0,wave_and_heat_bound,-1.971875,0.08478508109310476,-1.0,0.02090502025016414
0.0,wave_and_heat_bound,-1.9656250000000002,0.08341600804482815,-1.0,0.020470251240816896
0.0,wave_and_heat_bound,-1.959375,0.08204110538211001,-1.0,0.020027039248387384
0.0,wave_and_heat_bound,-1.953125,0.08065804113855972,-1.0,0.019575748498145924
0.0,wave_and_heat_bound,-1.9468750000000001,0.07927390642538562,-1.0,0.019122880397296697
0.0,wave_and_heat_bound,-1.940625,0.07788714362810581,-1.0,0.018668491604675964
0.0,wave_and_heat_bound,-1.9343750000000002,0.07656747714011786,-1.0,0.018242707462000022
0.0,wave_and_heat_bound,-1.928125,0.07531215014745826,-1.0,0.01784401287622901
0.0,wave_and_heat_bound,-1.921875,0.07418234205594908,-1.0,0.017530190974126638
0.0,wave_and_heat_bound,-1.9156250000000001,0.07317097460099747,-1.0,0.01729449306261582
0.0,wave_and_heat_bound,-1.909375,0.07222457706581395,-1.0,0.017059814692150697
0.0,wave_and_heat_bound,-1.9031250000000002,0.0713307245999034,-1.0,0.016824475584312423
0.0,wave_and_heat_bound,-1.896875,0.07032659202036468,-1.0,0.01658094800415644
0.0,wave_and_heat_bound,-1.890625,0.06922533711893725,-1.0,0.016330650785493044
0.0,wave_and_heat_bound,-1.8843750000000001,0.068098065919886,-1.0,0.016077637902284194
0.0,wave_and_heat_bound,-1.878125,0.06695058600555358,-1.0,0.0158229051108098
0.0,wave_and_heat_bound,-1.8718750000000002,0.06580946829711777,-1.0,0.015568629655545447
0.0,wave_and_heat_bound,-1.865625,0.06467692931392112,-1.0,0.015315370742227377
0.0,wave_and_heat_bound,-1.859375,0.06355520808312107,-1.0,0.015063621162145201
0.0,wave_and_heat_bound,-1.8531250000000001,0.062446399588780545,-1.0,0.014813924266683523
0.0,wave_and_heat_bound,-1.846875,0.061353960771914046,-1.0,0.01456708216925482
0.0,wave_and_heat_bound,-1.8406250000000002,0.060281070546700885,-1.0,0.01432392195723409
0.0,wave_and_heat_bound,-1.834375,0.05923135686189474,-1.0,0.014085293291729148
0.0,wave_and_heat_bound,-1.828125,0.058206811619480145,-1.0,0.013851737443189868
0.0,wave_and_heat_bound,-1.8218750000000001,0.05720886767826146,-1.0,0.0136235343381785
0.0,wave_and_heat_bound,-1.815625,0.05623628344386222,-1.0,0.013400428515266086
