s,assumed_field_ceiling_tesla,minimum_model_length_conversion_metres,slice_energy_at_that_conversion_joules
0.0,100.0,4.646543085885923e+17,5.562138750130427e+64
0.0,4414000000.0,10526830733.76965,1.2601129927798883e+57
0.5,100.0,5.7598131773667616e+17,9.502197950059373e+64
0.5,4414000000.0,13048965059.734394,2.152740813334702e+57
1.2849999999999135,100.0,1.0732451889260824e+18,5.360748911954199e+65
1.2849999999999135,4414000000.0,24314571566.064396,1.2144877462515178e+58
