run,regulator,first_harmonic,terms,tail_rho,tail_pr,tail_pt,tail_polarization,fit_residual_rho,fit_residual_pr,fit_residual_pt,fit_residual_polarization
annulus_192,2.0,96,3,-2.8056260847961606e-09,5.408600276232453e-10,-5.994615689544633e-11,-2.3250365623043653e-12,9.717557017433977e-11,9.452634430970322e-11,9.658681972141039e-11,5.59518551030676e-15
annulus_192,2.0,96,4,-2.8934965177697145e-09,4.625724039454405e-10,1.1839933690846471e-11,-2.318188909010689e-12,9.626483791691745e-11,9.371374854253946e-11,9.584279347596269e-11,5.523822571410972e-15
annulus_192,2.0,96,5,-2.9609082264370598e-09,3.928341987928665e-10,8.451591745109427e-11,-2.3138312210932817e-12,9.58306723933015e-11,9.333277339278061e-11,9.537472335628532e-11,5.4981864453000284e-15
annulus_192,2.0,128,3,-2.9409065564807583e-09,4.1314246156397947e-10,4.8822056297522523e-11,-2.3238143302380255e-12,9.583319052583888e-11,9.330921009175232e-11,9.547550246915407e-11,5.549442283566287e-15
annulus_192,2.0,128,4,-3.66025359297508e-09,-3.1476290087268687e-10,6.798885586141791e-10,-2.2779681841962116e-12,9.322013255232906e-11,9.17460866050979e-11,9.318312720098057e-11,5.423733493873962e-15
annulus_192,2.0,128,5,-5.622079427159395e-09,-2.6250861723457893e-09,2.614615834090681e-09,-2.0497497350780653e-12,9.199390835190935e-11,9.104914128018873e-11,9.254255672187874e-11,5.273755935323596e-15
annulus_192,2.0,144,3,-3.226697324798134e-09,1.0568502554347296e-10,2.936894046289782e-10,-2.2821135361558815e-12,9.418524137481095e-11,9.213212515129219e-11,9.406455176149059e-11,5.420281980102735e-15
annulus_192,2.0,144,4,-6.349569898506762e-09,-3.5368865182261244e-09,3.2745474163517266e-09,-1.9381503659745334e-12,9.201706865311697e-11,9.102815374103554e-11,9.257932560857054e-11,5.1629883034110174e-15
annulus_192,2.0,144,5,-1.5699935625280464e-08,-1.3892479357183769e-08,1.5939692744444555e-08,-1.2086094337253928e-12,9.28155047585535e-11,9.19124270900583e-11,9.366081371353374e-11,5.364383778681711e-15
annulus_192,4.0,96,3,-1.702883333534235e-07,3.4668953633370864e-08,-4.215196063938085e-09,-1.4675257094989294e-10,6.129830409583946e-11,5.699020890192118e-11,5.846941732490964e-11,1.913925557442967e-13
annulus_192,4.0,96,4,-1.7058491368928983e-07,3.468109620774769e-08,-4.2363173326225865e-09,-1.413242412392779e-10,5.822440005724502e-11,5.7116060497263586e-11,5.833151145874588e-11,5.969759023904023e-15
annulus_192,4.0,96,5,-1.7069623882390662e-07,3.473225219740143e-08,-4.2251212859530525e-09,-1.4100174567711883e-10,5.7507409844160395e-11,5.7445530962752604e-11,5.832715609796068e-11,5.297307028829571e-15
annulus_192,4.0,128,3,-1.706508574175904e-07,3.4691319411662593e-08,-4.20950463206123e-09,-1.4190470063077352e-10,5.7504355246309075e-11,5.7274149779884994e-11,5.824136309438272e-11,8.067680894351978e-15
annulus_192,4.0,128,4,-1.7129484559384172e-07,3.42676784381472e-08,-3.8033473370863525e-09,-1.4105048127190828e-10,5.606175423120797e-11,5.573525635628112e-11,5.7265165374679724e-11,5.192272579236148e-15
annulus_192,4.0,128,5,-1.7287282658399305e-07,3.2998130576960354e-08,-2.6253986487120596e-09,-1.4128531395295768e-10,5.5869509480577956e-11,5.450904606022431e-11,5.682110183092368e-11,4.984212474466709e-15
annulus_192,4.0,144,3,-1.7073702556836915e-07,3.480751884215998e-08,-4.3377746051479005e-09,-1.4151660463012424e-10,5.6655328183463987e-11,5.7443066323354424e-11,5.847649136685653e-11,4.617134106846964e-15
annulus_192,4.0,144,4,-1.7447318520945236e-07,3.073892623646162e-08,-4.758198779356653e-10,-1.4077722683623474e-10,5.5034347197865814e-11,5.593888554935733e-11,5.821693246795941e-11,5.104222197630491e-15
annulus_192,4.0,144,5,-1.7279680269917088e-07,3.2724227448243515e-08,-4.7833858410117275e-09,-1.4081815939266855e-10,5.534935539953893e-11,5.550600560932278e-11,5.727770023219632e-11,5.111705171511316e-15
annulus_192,8.0,96,3,-8.76131704517979e-06,2.1630350816399685e-06,-2.704985363582445e-07,-9.52166322215984e-09,9.748907492572473e-09,2.351483428321742e-10,6.005682411951607e-10,5.074194860278066e-11
annulus_192,8.0,96,4,-9.053553696967417e-06,2.1561222976094744e-06,-2.916724333790866e-07,-7.957063265390404e-09,8.761844107134315e-10,7.216974132545876e-11,1.692688084057823e-10,6.143518127303735e-12
annulus_192,8.0,96,5,-9.107811412217501e-06,2.155942687413097e-06,-3.031022381749181e-07,-7.571222685134747e-09,9.87461772304854e-11,7.332652189824013e-11,7.866184952443648e-11,5.828996238682639e-13
annulus_192,8.0,128,3,-9.04536099985015e-06,2.1572231040718816e-06,-2.956831892985337e-07,-7.944633684778515e-09,4.225370412947003e-10,7.058259753659366e-11,1.0041398433429987e-10,2.569670309393157e-12
annulus_192,8.0,128,4,-9.110539357692337e-06,2.158010485572956e-06,-3.053272111428172e-07,-7.547724974817058e-09,7.363347159043405e-11,7.043407682829641e-11,6.851741047311291e-11,1.3186230325721382e-13
annulus_192,8.0,128,5,-9.120707634878844e-06,2.1598643299762855e-06,-3.0821240557539824e-07,-7.48122339780157e-09,6.828770592345864e-11,7.140869795449884e-11,7.003424297641782e-11,6.5072473455258845e-15
annulus_192,8.0,144,3,-9.080882381651766e-06,2.1576147716223606e-06,-3.0091651790951395e-07,-7.72844209901081e-09,1.0702379216765165e-10,7.030838164046724e-11,7.186834064863877e-11,4.876033017630958e-13
annulus_192,8.0,144,4,-9.11595173326371e-06,2.1607368343462267e-06,-3.0816715416297204e-07,-7.50745342970081e-09,6.950310935928267e-11,7.256632588952476e-11,7.072074667246309e-11,1.3051337361314158e-14
annulus_192,8.0,144,5,-9.115096042223092e-06,2.173587119022453e-06,-3.1863791944433476e-07,-7.477135256383901e-09,6.966076734330418e-11,7.493394442708599e-11,7.264994735613569e-11,5.344101920731961e-15
annulus_192,16.0,96,3,-0.00016403917084136768,0.00011139456828829289,-4.6987812461532055e-05,-3.1957108994629857e-07,2.013228827425613e-06,1.912151238382601e-07,3.1742176803330354e-07,3.367044324968037e-10
annulus_192,16.0,96,4,-0.00023368925179292552,0.00011701577143505565,-3.661938139841539e-05,-3.08410611205953e-07,5.190973084488722e-07,1.3159651454398022e-08,5.9551935520793184e-08,2.707396610890544e-10
