run,regulator,required_opening_balance,geometric_integral,signed_quantum_balance,maximum_quantum_opening_balance,fraction_of_required_balance,required_weight_amplification_at_frozen_quantum_source
initial_profile,4.0,2.176589795121901,2.1765897951352584,-1.734773504059633e-05,1.0909438029132756e-05,5.012169979654694e-06,199514.38280409103
initial_profile,8.0,2.176589795121901,2.1765897951352584,-2.202869930100148e-05,9.633620580767122e-06,4.426015688559076e-06,225936.84034716056
updated_192,4.0,2.176589795121901,2.1765897951352584,-1.7660770120330212e-05,1.1474205294075263e-05,5.271643430374827e-06,189694.1652460924
updated_192,8.0,2.176589795121901,2.1765897951352584,-2.1712983671417946e-05,1.0184895992332175e-05,4.679290519122259e-06,213707.6114238745
updated_fine,4.0,2.176589793701831,2.1765897936910705,-1.7913698009140423e-05,1.1705217751961287e-05,5.377778479818037e-06,185950.38894830717
updated_fine,8.0,2.176589793701831,2.1765897936910705,-2.109247591161054e-05,1.0695642559257176e-05,4.91394501169032e-06,203502.4807198678
