location,regulator,pressure_derivative,lapse_term,angular_term,material_exchange,relative_residual
annulus,4.0,-8.921474266882119e-05,-8.823080177554278e-08,8.92966221032028e-05,-6.4348032530463435e-27,3.556204801887622e-05
annulus,8.0,-9.97278812693396e-05,-9.926497045415792e-08,9.976215106685726e-05,-6.43300168930644e-27,0.00032564458021331103
Higgs transition,4.0,-0.009929627244672232,0.0013203699267528317,0.00017951297469061573,0.008431880627541126,0.00010755965363585217
Higgs transition,8.0,-0.009281993776152322,0.0006286325177336095,0.0002593008769878156,0.00839847076505433,0.00023752095569328904
