case,medium,direct_metric,dt,derivative_step,initial_l,witness_s,witness_l,future_s,future_l,future_integral,witness_integral,necessary_preload,witness_stream_density,witness_power,witness_force,max_abs_l_until_future,packet_edge_distance
interpolated_baseline,baseline,False,0.00125,0.0,-1.305,-0.5525,-0.6553980044881346,0.48,-1.296438100402315,-1.505513635799803,0.0,1.505513635799803,1.0755807152505983,0.0,0.0,1.305,0.2471019955118654
direct_baseline,baseline,True,0.0025,2e-05,-1.305,-0.5525,-0.6553982730296214,0.48,-1.2964374304532538,-1.5053484716359615,0.0,1.5053484716359615,1.0754456600627829,0.0,0.0,1.305,0.24710172697037858
direct_refined_baseline,baseline,True,0.00125,1e-05,-1.305,-0.5525,-0.65539827302506,0.48,-1.2964374305514066,-1.5053498498322555,0.0,1.5053498498322555,1.0754466458121192,0.0,0.0,1.305,0.24710172697493993
direct_dense,dense,True,0.0025,2e-05,-1.305,-0.5525,-0.6553982730296214,0.48,-1.2964374304532538,-1.494134841264087,0.0,1.494134841264087,1.0674344584412243,0.0,0.0,1.305,0.24710172697037858
