case,direction,metric,medium,rays,dt,minimum_initial_proper_energy,max_required_initial_density_weight,max_live_stream_density,max_packet_interior_stream_density,minimum_ray_spacing,max_abs_log_gain,max_outer_seed_preload,witness_s,witness_l,initial_l,initial_preload,witness_integral,minimum_integral,minimum_integral_time
coarse,1,coarse,baseline,401,0.01,161.85190484276995,155.6242248890496,0.013516419220242014,0.013516419220242014,4.3371740066078246e-07,25.586441328254182,-0.0,-0.3599999999999999,-0.30944727281749773,-2.115,42.91557566174428,5.781058066065834,-42.91557566174428,-0.79
coarse,-1,coarse,baseline,401,0.01,121.16199266349082,32.42485386305889,1.0758797423443673,1.0758797423443673,0.005996788967872035,9.51521518909211,-0.0,-0.5499999999999999,-0.6542441043570495,-1.3050000000000006,1.5056616672847396,0.0,-1.5056616672847396,0.48
refined,1,fine,baseline,801,0.005,39021.87036505151,137602.13934424875,0.013561339785879232,0.013561339785879232,2.1369803260284925e-07,25.605573944251915,-0.0,-0.3599999999999999,-0.3092170607189919,-2.115,43.30620947878194,5.799530216194943,-43.30620947878194,-0.785
refined,-1,fine,baseline,801,0.005,116.7564291941374,37.11221032720195,1.0754916899546916,1.0754916899546916,0.0029988664308207014,9.51441773518724,-0.0,-0.5499999999999999,-0.6542490216316192,-1.3050000000000006,1.5055251143462973,0.0,-1.5055251143462973,0.48
dense_source,1,fine,dense,801,0.005,40797.846225659494,143870.32808312564,0.008791917600243906,0.008791917600243906,2.1369803260284925e-07,25.605573944251915,-0.0,-0.3599999999999999,-0.3092170607189919,-2.115,30.5449691861796,1.2906476417982977,-30.5449691861796,-0.865
dense_source,-1,fine,dense,801,0.005,110.13807635365671,35.07796615784812,1.1668687991937725,1.1668687991937725,0.0029988664308207014,9.51441773518724,-0.0,-0.5449999999999999,-0.6414676928121715,-1.2825000000000006,1.1096480365338925,0.0,-1.1096480365338925,0.4850000000000001
time_refined,1,fine,baseline,801,0.0025,39022.84620270685,137605.53167942006,0.013565201703051252,0.013565201703051252,2.136979224687252e-07,25.605576847859755,-0.0,-0.35749999999999993,-0.2991541617018361,-2.115,43.306262454448145,5.798853269785865,-43.306262454448145,-0.785
time_refined,-1,fine,baseline,801,0.0025,116.77463096818822,37.13613747102445,1.0755795481983266,1.0755795481983266,0.0029988539827351945,9.514418577433943,-0.0,-0.5525,-0.6553980044672522,-1.3050000000000006,1.5055119967256814,0.0,-1.5055119967256814,0.48
