grid,s,l,field,reference,interpolated,relative_error
coarse,-0.1892865486659734,3.7961858409105425,alpha,1.000071612820808,1.0000716124217697,3.990097836960776e-10
coarse,-0.1892865486659734,3.7961858409105425,beta,3.5856773628791994e-44,-1.327032767233681e-30,1.3270327672337169e-30
coarse,-0.1892865486659734,3.7961858409105425,gamma_ll,1.0002598551464805,1.0002598536992051,1.4468994263641224e-09
coarse,-0.1892865486659734,3.7961858409105425,gamma_omega,17.540995559744626,17.540995556079057,2.089715586003286e-10
coarse,2.854852249391948,5.281155838682102,alpha,1.0,1.0,0.0
coarse,2.854852249391948,5.281155838682102,beta,0.0,-5.23280980488709e-24,5.23280980488709e-24
coarse,2.854852249391948,5.281155838682102,gamma_ll,1.0,1.0,0.0
coarse,2.854852249391948,5.281155838682102,gamma_omega,30.953133888110457,30.953133889603894,4.8248312787566335e-11
coarse,-0.8712327043972741,-0.734334149786581,alpha,6.772318152988932,6.772201057697034,1.7290282183009275e-05
coarse,-0.8712327043972741,-0.734334149786581,beta,-1.341374718066867,-1.341344840799457,2.2273617511549173e-05
coarse,-0.8712327043972741,-0.734334149786581,gamma_ll,104.99994772953491,104.99784831577833,1.9994426682858688e-05
coarse,-0.8712327043972741,-0.734334149786581,gamma_omega,4.836333554669294,4.836333558350536,7.611637899460447e-10
coarse,-0.1547477512588602,-3.1305412265627046,alpha,1.0073500927982475,1.00734997156428,1.2034938835895808e-07
coarse,-0.1547477512588602,-3.1305412265627046,beta,1.9154175811345842e-30,4.1968360200719895e-23,4.1968358285302315e-23
coarse,-0.1547477512588602,-3.1305412265627046,gamma_ll,1.0268617923438226,1.0268613646571279,4.1649879069894004e-07
coarse,-0.1547477512588602,-3.1305412265627046,gamma_omega,13.17541083303191,13.17541086084705,2.1111402722587358e-09
coarse,0.7779005769635692,4.170884328678007,alpha,1.0000024913693994,1.0000024912261416,1.432574931197774e-10
coarse,0.7779005769635692,4.170884328678007,beta,1.1796542330304894e-82,-1.138883403332355e-31,1.138883403332355e-31
coarse,0.7779005769635692,4.170884328678007,gamma_ll,1.000009039598159,1.000009039078371,5.19783291795202e-10
coarse,0.7779005769635692,4.170884328678007,gamma_omega,20.481883971911927,20.48188394548954,1.290036984364845e-09
coarse,2.705151892617404,3.7961679942560433,alpha,1.0000000000000004,0.9999999999999994,9.992007221626405e-16
coarse,2.705151892617404,3.7961679942560433,beta,-4.4197874576711596e-08,-4.4190092328353206e-08,7.782248358390634e-12
