s,l,field,reference,interpolated,relative_error
-1.5,-5.5,beta,0.0,-1.0432142298808373e-68,1.0432142298808373e-68
-1.5,-5.5,gamma_ll,1.0000000000322045,1.0000000000161022,1.6102230659434856e-11
-1.5,-5.5,gamma_omega,33.312701984921944,33.31260099230789,3.031654835350092e-06
-1.5,-5.375,alpha,1.0000000000347604,1.000000000025194,9.566347713652594e-12
-1.5,-5.375,beta,0.0,9.893329393618183e-66,9.893329393618183e-66
-1.5,-5.375,gamma_ll,1.0000000001261236,1.0000000000914135,3.4710012637503144e-11
-1.5,-5.375,gamma_omega,31.953462433440855,31.953369568865206,2.906244537419673e-06
-1.5,-5.25,alpha,1.00000000013193,1.0000000001182732,1.3656853424112301e-11
-1.5,-5.25,beta,0.0,-7.899718891488043e-63,7.899718891488043e-63
-1.5,-5.25,gamma_ll,1.0000000004786886,1.0000000004291367,4.9551918100559896e-11
-1.5,-5.25,gamma_omega,30.625556124172228,30.625498556162366,1.8797376161246052e-06
-1.5,-5.125,alpha,1.0000000004852578,1.0000000004774683,7.789546781595084e-12
-1.5,-5.125,beta,0.0,5.663887762287567e-60,5.663887762287567e-60
-1.5,-5.125,gamma_ll,1.0000000017606885,1.0000000017324253,2.82631695327249e-11
-1.5,-5.125,gamma_omega,29.329029184359037,29.329014669949036,4.948820470586546e-07
-1.5,-5.0,alpha,1.0000000017297066,1.0000000017297066,0.0
-1.5,-5.0,beta,0.0,-3.5844568000480176e-57,3.5844568000480176e-57
-1.5,-5.0,gamma_ll,1.0000000062759917,1.0000000062759917,0.0
-1.5,-5.0,gamma_omega,28.06395020531505,28.06395020531504,2.531869998919575e-16
-1.5,5.0,alpha,1.0000000017297066,1.0000000017297066,0.0
-1.5,5.0,beta,0.0,3.7470046592071726e-107,3.7470046592071726e-107
-1.5,5.0,gamma_ll,1.0000000062759917,1.0000000062759917,0.0
-1.5,5.0,gamma_omega,28.06395020531505,28.063950205315052,1.2659349994597874e-16
-1.5,5.125,alpha,1.0000000004852578,1.0000000004774683,7.789546781595084e-12
-1.5,5.125,beta,0.0,-1.4401784446496685e-109,1.4401784446496685e-109
-1.5,5.125,gamma_ll,1.0000000017606885,1.0000000017324253,2.82631695327249e-11
-1.5,5.125,gamma_omega,29.329029184359037,29.329014669949075,4.948820457261914e-07
-1.5,5.25,alpha,1.00000000013193,1.0000000001182732,1.3656853424112301e-11
-1.5,5.25,beta,0.0,2.38807637182216e-112,2.38807637182216e-112
-1.5,5.25,gamma_ll,1.0000000004786886,1.0000000004291367,4.9551918100559896e-11
-1.5,5.25,gamma_omega,30.625556124172228,30.625498556162373,1.8797376158925954e-06
-1.5,5.375,alpha,1.0000000000347604,1.000000000025194,9.566347713652594e-12
-1.5,5.375,beta,0.0,-2.4832995653971253e-115,2.4832995653971253e-115
-1.5,5.375,gamma_ll,1.0000000001261236,1.0000000000914135,3.4710012637503144e-11
-1.5,5.375,gamma_omega,31.953462433440855,31.953369568865188,2.906244537975593e-06
-1.5,5.5,alpha,1.0000000000088758,1.0000000000044378,4.43800551859721e-12
-1.5,5.5,beta,0.0,8.674605889262473e-119,8.674605889262473e-119
-1.5,5.5,gamma_ll,1.0000000000322045,1.0000000000161022,1.6102230659434856e-11
-1.5,5.5,gamma_omega,33.312701984921944,33.31260099230789,3.031654835350092e-06
-1.5,5.625,alpha,1.0000000000021962,1.0000000000006044,1.5918377727040533e-12
-1.5,5.625,beta,0.0,-7.327144103416875e-122,7.327144103416875e-122
-1.5,5.625,gamma_ll,1.0000000000079692,1.0000000000021934,5.7758242632638855e-12
-1.5,5.625,gamma_omega,34.703244282341544,34.70315782735644,2.49126520846977e-06
-1.5,5.75,alpha,1.0000000000005267,1.0000000000000546,4.72066830070368e-13
-1.5,5.75,beta,0.0,1.0765653068338168e-124,1.0765653068338168e-124
-1.5,5.75,gamma_ll,1.0000000000019105,1.0000000000001976,1.7128520823884191e-12
-1.5,5.75,gamma_omega,36.125069497764784,36.12500719409836,1.7246656488502558e-06
-1.5,5.875,alpha,1.0000000000001226,1.000000000000002,1.2057022047427723e-13
