medium,moment,coordinate_L1,mask_removed_L1,removed_fraction
baseline,rho,0.057197075928108417,0.003959695860467075,0.06922899110164403
baseline,pressure,0.02879873911741494,0.0025382444637762104,0.08813734703549239
baseline,current,0.03284595674271288,0.0024690790974536136,0.0751714774757291
baseline,angular,0.27387817799030006,0.016602720951732045,0.06062082446130507
baseline,sum_absolute_moments,0.3927199497785363,0.025569740373428945,0.06510934926491078
dense,rho,0.05745280220724752,0.0038126738403838232,0.06636184300689975
dense,pressure,0.02918314655660296,0.00256764645332018,0.08798387961147479
dense,current,0.03349457478869698,0.0025202536467077382,0.0752436375922652
dense,angular,0.2829632879267648,0.018098465024806814,0.0639604704815664
dense,sum_absolute_moments,0.4030938114793122,0.026999038965218554,0.06697954222153622
