variant,s,l,rho,p_l,j_l,p_omega,stress_algebraic_type,radial_frame_margin
reference,-1.5,-1.3,0.006022638362805683,-0.010182450219899341,0.002878398809619067,0.021259210749931368,type_iv_flux_dominant,-0.0015969857621444764
reference,-0.578457,-0.75,0.012550300714789369,-0.0021811043815958774,-0.0059972526541516216,0.05058093522323645,type_iv_flux_dominant,-0.0016253089751097523
reference,0.650266,0.65,0.0074623453605128605,-0.007805477615990065,-0.0020327831489750864,0.03578024322083666,type_iv_flux_dominant,-0.003722434042472968
reference,1.264628,1.65,0.0080918275484143,-0.00414920939344215,0.00367193523958557,-0.04362640363487816,type_iv_flux_dominant,-0.00340125232419899
reference,1.615691,-2.05,-0.004743743556033101,-0.0053724068492379115,-0.008425810170507406,-0.008033366258028585,type_iv_flux_dominant,-0.006735469935743799
reference,1.878989361702128,-1.8,0.005295410197468822,-0.012633151689890813,-0.02301264680369205,-0.07771951867149454,type_iv_flux_dominant,-0.03868755211496211
reference,1.878989361702128,-0.981278,0.01745625031120299,-0.003727312495748576,-0.00888982802916145,-0.07418960503421056,type_iv_flux_dominant,-0.004050718242868486
receiver_early,-1.5,-1.3,0.006022638362805683,-0.010182450219899341,0.002878398809619067,0.021259210749931368,type_iv_flux_dominant,-0.0015969857621444764
receiver_early,-0.578457,-0.75,0.012550300714789369,-0.0021811043815958774,-0.0059972526541516216,0.05058093522323645,type_iv_flux_dominant,-0.0016253089751097523
receiver_early,0.650266,0.65,0.0074623453605128605,-0.007805477615990065,-0.0020327831489750864,0.03578024322083666,type_iv_flux_dominant,-0.003722434042472968
receiver_early,1.264628,1.65,0.0080918275484143,-0.00414920939344215,0.00367193523958557,-0.04362640363487816,type_iv_flux_dominant,-0.00340125232419899
receiver_early,1.615691,-2.05,-0.0035097712020343104,-0.005645716946785299,-0.008582702384725732,-0.00880327936698893,type_iv_flux_dominant,-0.008009916620631854
receiver_early,1.878989361702128,-1.8,0.002753627845927485,-0.0034555190617009865,-0.013993807433640185,-0.07208561408432083,type_iv_flux_dominant,-0.027285723651506867
receiver_early,1.878989361702128,-0.981278,0.01310317011168526,-0.0010034093944013783,-0.011512348173127771,-0.07066569076089768,type_iv_flux_dominant,-0.01092493562897166
receiver_late,-1.5,-1.3,0.006022638362805683,-0.010182450219899341,0.002878398809619067,0.021259210749931368,type_iv_flux_dominant,-0.0015969857621444764
receiver_late,-0.578457,-0.75,0.012550300714789369,-0.0021811043815958774,-0.0059972526541516216,0.05058093522323645,type_iv_flux_dominant,-0.0016253089751097523
receiver_late,0.650266,0.65,0.0074623453605128605,-0.007805477615990065,-0.0020327831489750864,0.03578024322083666,type_iv_flux_dominant,-0.003722434042472968
receiver_late,1.264628,1.65,0.0080918275484143,-0.00414920939344215,0.00367193523958557,-0.04362640363487816,type_iv_flux_dominant,-0.00340125232419899
receiver_late,1.615691,-2.05,-0.004743743556033101,-0.0053724068492379115,-0.008425810170507406,-0.008033366258028585,type_iv_flux_dominant,-0.006735469935743799
receiver_late,1.878989361702128,-1.8,0.003752043304056349,-0.0026873522505846638,-0.010398117672271164,-0.07184616262986304,type_iv_flux_dominant,-0.019731544291070643
receiver_late,1.878989361702128,-0.981278,0.025790839065249514,-0.0008464247914252295,-0.013250587388943566,-0.07712773356393818,type_iv_flux_dominant,-0.0015567605040628478
jacket_early,-1.5,-1.3,0.006023235768486937,-0.010183078471717346,0.002879252609672101,0.021259034526692727,type_iv_flux_dominant,-0.0015986625161137939
jacket_early,-0.578457,-0.75,0.012581408942215466,-0.0021629130600619466,-0.006024041446607457,0.05058775067342196,type_iv_flux_dominant,-0.0016295870110613932
jacket_early,0.650266,0.65,0.007421330699227046,-0.008652720134916865,-0.0019979069851536824,0.035969514346792714,type_iv_flux_dominant,-0.002764424534617546
jacket_early,1.264628,1.65,0.009577107265561487,-0.004705861534672543,0.004597134636846236,-0.043884087385792435,type_iv_flux_dominant,-0.004323023542803527
jacket_early,1.615691,-2.05,-0.008608104899725454,-0.013843034837139058,-0.010598785349776832,-0.010199951567237752,type_i_boost_diagonalizable,0.0012535690373108484
jacket_early,1.878989361702128,-1.8,-0.001282825425406453,-0.020238283195407325,-0.025298518542846534,-0.07814232744998609,type_iv_flux_dominant,-0.02907592846487929
jacket_early,1.878989361702128,-0.981278,0.01186443480459201,-0.012762313043004209,-0.009956230718297661,-0.07478659746479102,type_iv_flux_dominant,-0.019014583198183124
jacket_late,-1.5,-1.3,0.00602261703867916,-0.010182427806707329,0.0028783683378663895,0.021259217033889194,type_iv_flux_dominant,-0.0015969259077046102
jacket_late,-0.578457,-0.75,0.012549182611228086,-0.0021817671044610477,-0.0059962876580026605,0.05058068720290172,type_iv_flux_dominant,-0.0016251598092382816
jacket_late,0.650266,0.65,0.007474230449784726,-0.007776723399550823,-0.0020357888928752383,0.035762267967165154,type_iv_flux_dominant,-0.0037690848359843796
jacket_late,1.264628,1.65,0.007708906484696076,-0.004387228154247821,0.003457344881681764,-0.04363928505689828,type_iv_flux_dominant,-0.0035930114329152723
jacket_late,1.615691,-2.05,-0.00592815989066644,-0.00922567279258702,-0.008005371884382537,-0.009464388156836596,type_iv_flux_dominant,-0.0008569110855116135
jacket_late,1.878989361702128,-1.8,0.0015278227706758377,-0.01566575770498674,-0.021458647594480986,-0.07779207851702988,type_iv_flux_dominant,-0.028779360254651068
jacket_late,1.878989361702128,-0.981278,0.009816975749550191,-0.008592354882077274,-0.00837843426574101,-0.07380833844441378,type_iv_flux_dominant,-0.015532247664009102
