portal,coordinate,step,relative_residual
0.14,-1.5,0.008,1.670998973494388e-07
0.14,-2.8,0.008,1.425814013240779e-07
0.14,-4.0,0.008,1.1334508767172635e-07
0.14,-5.5,0.008,3.379173868823118e-07
1.4,-1.5,0.008,1.582153506754027e-07
1.4,-2.8,0.008,1.374454725133778e-07
1.4,-4.0,0.008,1.4048418842173423e-07
1.4,-5.5,0.008,4.5072848276428663e-07
14.0,-1.5,0.008,1.5210270793806577e-07
14.0,-2.8,0.008,1.449100246379461e-07
14.0,-4.0,0.008,1.6899179237968302e-07
14.0,-5.5,0.008,5.569741874821539e-07
