scenario,quantity,coarse_difference,fine_difference,ratio
released,final_separation,3.863475412368977e-06,1.2077253613851369e-06,3.1989685204076266
released,final_velocity,2.8146940875689586e-06,8.781349260661431e-07,3.2053093482777038
moving_held,final_separation,2.3942624878259267e-06,7.463873177293578e-07,3.207801674752053
moving_held,final_velocity,1.597732917600625e-07,4.907429473205438e-08,3.255743004202599
