case,operator_quadrature_error,energy_balance_error,saved_scalar_error,quantum_normalization_error,profile_error,min_final_frequency_squared,complete_energy,final_excitation,passed
equilibrium_m16_k8_h0.02,2.6645352591003757e-14,2.2170709712554526e-11,4.263256414560601e-14,1.949551631241775e-13,2.4868995751603507e-14,0.10712230700687317,12.879179867856465,1.659827830735594e-11,True
equilibrium_m24_k12_h0.01,4.973799150320701e-14,1.7285728404203837e-11,2.2737367544323206e-13,3.12194714524594e-13,4.263256414560601e-14,0.08730916269940617,15.06524800237662,1.7053025658242404e-11,True
equilibrium_m32_k16_h0.005,8.415490526658687e-14,2.3417712213813502e-11,3.552713678800501e-13,3.553823901825126e-13,8.526512829121202e-14,0.08366598401652056,16.744870635960524,-2.0463630789890885e-11,True
released_m16_k8_h0.02,2.6645352591003757e-14,3.978151141836861e-12,1.1368683772161603e-13,5.3512749786932545e-14,2.1316282072803006e-14,0.10609275968970468,9.99800000312689,3.94037271007619e-05,True
released_m24_k12_h0.01,5.484501741648273e-14,9.887202168101794e-12,2.2737367544323206e-13,8.104628079763643e-14,4.263256414560601e-14,0.08649893289895913,12.1841038151656,2.5678617475932697e-05,True
released_m32_k16_h0.005,8.393286066166183e-14,3.2235547564596345e-11,2.2737367544323206e-13,1.7630341631047486e-13,8.526512829121202e-14,0.08298421691520178,13.863802132044384,1.8281200254932628e-05,True
released_light_m16_k8_h0.02,2.6645352591003757e-14,4.848565993142984e-12,1.1368683772161603e-13,4.796163466380676e-14,2.842170943040401e-14,0.10588583464356512,8.498000003127004,5.896255800053041e-05,True
released_light_m24_k12_h0.01,4.973799150320701e-14,6.888711823194171e-12,4.547473508864641e-13,1.3233858453531866e-13,4.973799150320701e-14,0.08637329224136954,10.684103815157641,3.490963285912585e-05,True
released_light_m32_k16_h0.005,8.393286066166183e-14,2.6986413104168605e-11,2.2737367544323206e-13,1.7408297026122455e-13,7.105427357601002e-14,0.08289402520162992,12.363802132041428,2.3752986180625157e-05,True
moving_held_m16_k8_h0.02,2.6645352591003757e-14,1.0191847366058937e-11,1.1368683772161603e-13,7.527312106958561e-14,2.842170943040401e-14,0.10785627445343368,12.879698828767346,7.986650189195643e-06,True
moving_held_m24_k12_h0.01,5.1958437552457326e-14,7.601030915793672e-12,2.2737367544323206e-13,8.038014698286133e-14,4.973799150320701e-14,0.08806192801490113,15.06587268879025,8.745348850425216e-06,True
moving_held_m32_k16_h0.005,1.1368683772161603e-13,4.420641630531463e-11,2.2737367544323206e-13,1.6431300764452317e-13,5.684341886080802e-14,0.08443369660416412,16.74557774320533,9.27179371501552e-06,True
released_m24_k12_h0.02,5.3734794391857577e-14,1.0752287948889716e-11,4.973799150320701e-14,5.88418203051333e-14,4.263256414560601e-14,0.08649887603646192,12.184103815165827,2.5542260800648364e-05,True
released_m24_k12_h0.005,4.973799150320701e-14,1.2597922705026576e-11,1.1191048088221578e-13,1.9517720772910252e-13,4.973799150320701e-14,0.08649895067414841,12.184103815161052,2.5721041765791597e-05,True
moving_held_m24_k12_h0.02,5.639932965095795e-14,6.569855770521826e-12,3.197442310920451e-14,7.30526750203353e-14,5.684341886080802e-14,0.08806196420373127,15.065872688789113,8.697592875250848e-06,True
moving_held_m24_k12_h0.005,5.417888360170764e-14,9.162448577626492e-12,6.821210263296962e-13,1.7630341631047486e-13,4.618527782440651e-14,0.0880619167333884,15.06587268879548,8.760215678194072e-06,True
